metric,value,filter_type
volume_kalman_snr_improvement,24706.288442776622,volume
volume_kalman_noise_reduction,0.9999595221374732,volume
volume_kalman_smoothness_ratio,0.7599703695837392,volume
volume_kalman_tracking_rmse,3.670436286008896,volume
volume_kalman_high_freq_reduction,0.17269757926214513,volume
volume_kalman_low_freq_preservation,1.0000793122261187,volume
moving_average_snr_improvement,292.1333774261508,moving
moving_average_noise_reduction,0.9965804623200983,moving
moving_average_smoothness_ratio,0.0025006701991035227,moving
moving_average_tracking_rmse,33.73559658687922,moving
moving_average_high_freq_reduction,0.5189170799471315,moving
moving_average_low_freq_preservation,0.9991570419567982,moving
fisher_snr_improvement,4.221592594041541e-06,fisher
fisher_noise_reduction,6.467962001821537e-05,fisher
fisher_smoothness_ratio,0.0035130879638129294,fisher
fisher_tracking_rmse,3877.4350480230682,fisher
fisher_high_freq_reduction,0.9977265790181504,fisher
fisher_low_freq_preservation,3.61760774824093e-06,fisher
