scope,strategy_short,n,trades_per_day,gross_hit_rate,net_hit_rate,same_exit_price_gap_gross_hit_rate,same_exit_price_gap_net_hit_rate,gross_bps_mean,gross_bps_median,net_bps_mean,net_bps_median,same_exit_price_gap_gross_bps_mean,same_exit_price_gap_net_bps_mean,same_exit_price_gap_bps_mean,same_exit_price_gap_bps_median,friction_drag_bps_mean,fees_bps_mean,slippage_bps_mean,orderbook_slippage_bps_mean,entry_gap_bps_mean,entry_gap_bps_p90,entry_slippage_proxy_bps_mean,expected_friction_bps_mean,delayed_1m_fill_rate
all_local_candidates,global,20026,167.523178807947,0.6350244681913513,0.6120043942874264,0.38524917607110754,0.3640267652052332,221.01254797177984,110.46886512808086,200.79153436083172,90.35839629705951,31.39317031065,11.172156699701874,189.61937766112987,4.597017211338539e-13,20.221013610948123,20.221013610948123,0.0,0.0,1.0353686052481856,-0.0,0.21299057445465824,20.221013610948123,0.9254968540896834
all_local_candidates,long_dist,7429,65.50183688464364,0.5131242428321443,0.46951137434378787,0.5127204199757707,0.4712612733880738,241.56437222561954,8.068729304708517,221.3228067356049,-11.93933851601282,242.5823713908846,222.34080590086992,-1.0179991652650298,0.0,20.24156549001464,20.24156549001464,0.0,0.0,1.0684169187432524,0.0,0.05274847629878625,20.24156549001464,1.0
all_local_candidates,long_loc,2863,25.187683284457478,0.5326580509954593,0.5309116311561299,0.5351030387705205,0.5323087670275934,255.28212392707334,65.50073443105931,235.02684080632886,45.435233851339184,256.71876888700024,236.4634857662558,-1.4366449599268827,0.0,20.255283120744508,20.255283120744508,0.0,0.0,1.5079737884041793,0.0,0.0712811004058419,20.255283120744508,0.9035976248690185
all_local_candidates,short_dist,3626,31.923697725605283,0.7247655819084391,0.7134583563154991,0.277992277992278,0.2644787644787645,229.88792562962072,172.94615864562823,209.65803673723147,152.77321694548755,-229.42621003479726,-249.65609892718652,459.314135664418,349.53219060533985,20.229888892389216,20.229888892389216,0.0,0.0,-0.6309653460683906,-0.0,0.30717535711825783,20.229888892389216,0.7600661886376172
all_local_candidates,short_loc,6108,51.095155106308816,0.7779960707269156,0.7630975769482645,0.22364112639161754,0.21381794368041912,174.68389411960052,145.6317273918292,154.5092091410423,125.48609476069396,-176.25265326769994,-196.42733824625816,350.93654738730044,294.5721093039886,20.174684978558222,20.174684978558222,0.0,0.0,1.5775884664160231,3.0853078258720394,0.4381671963816593,20.174684978558222,0.9433529796987558
passes_current_deployment_rank,global,16707,139.7588009759498,0.669838989645059,0.6506853414736338,0.3705033818160053,0.3529658227090441,229.68823157252092,134.93299300079983,209.45854227983358,114.79805727828565,1.8197899546353173,-18.409899338052032,227.8684416178856,7.632783294297951e-13,20.229689292687343,20.229689292687343,0.0,0.0,0.5996465502948223,0.0,0.23442768391649027,20.229689292687343,0.9141677141318011
passes_current_deployment_rank,long_dist,4798,42.31973539140022,0.5441850771154648,0.5054189245518966,0.5441850771154648,0.5064610254272613,276.9801006364694,26.60512887306785,256.70311941124004,6.578522749510737,276.80732538595254,256.53034416072325,0.17277525051685866,0.0,20.27698122522926,20.27698122522926,0.0,0.0,-0.16108181625015516,0.0,0.023684670385905264,20.27698122522926,1.0
passes_current_deployment_rank,long_loc,2175,19.13489736070381,0.5517241379310345,0.5508045977011494,0.5540229885057472,0.5526436781609195,279.4978935231276,100.49939388488981,259.2183946167182,80.39889877745215,280.7964723290016,260.5169734225921,-1.2985788058739676,0.0,20.279498906409444,20.279498906409444,0.0,0.0,1.3184200650467164,0.0,0.04878911506180012,20.279498906409444,0.8997701149425288
passes_current_deployment_rank,short_dist,3626,31.923697725605283,0.7247655819084391,0.7134583563154991,0.277992277992278,0.2644787644787645,229.88792562962072,172.94615864562823,209.65803673723147,152.77321694548755,-229.42621003479726,-249.65609892718652,459.314135664418,349.53219060533985,20.229888892389216,20.229888892389216,0.0,0.0,-0.6309653460683906,-0.0,0.30717535711825783,20.229888892389216,0.7600661886376172
passes_current_deployment_rank,short_loc,6108,51.095155106308816,0.7779960707269156,0.7630975769482645,0.22364112639161754,0.21381794368041912,174.68389411960052,145.6317273918292,154.5092091410423,125.48609476069396,-176.25265326769994,-196.42733824625816,350.93654738730044,294.5721093039886,20.174684978558222,20.174684978558222,0.0,0.0,1.5775884664160231,3.0853078258720394,0.4381671963816593,20.174684978558222,0.9433529796987558
