strategy_short,variant,trades,hit_rate,mean_return_bps,gross_hit_rate,gross_return_bps,delay_cost_bps_mean,friction_drag_bps_mean,delayed_1m_fill_rate
global,delayed_entry_net,3028.0,0.7212681638044914,255.36278754395303,0.737450462351387,275.63842723878423,-0.306989533007311,20.275639694831188,0.9138044914134742
global,no_delay_same_exit_net,3028.0,0.7206076618229855,255.05579801094572,,275.3314377057769,0.0,20.275639694831188,0.9138044914134742
long_dist,delayed_entry_net,895.0,0.5642458100558659,260.4780450104664,0.6022346368715084,280.7588056639245,-0.8128719816673686,20.28076065345808,1.0
long_dist,no_delay_same_exit_net,895.0,0.5642458100558659,259.6651730287991,,279.94593368225713,0.0,20.28076065345808,1.0
long_loc,delayed_entry_net,464.0,0.6702586206896551,309.3846871381833,0.6724137931034483,329.71440134918055,-0.3221091243143642,20.329714210997256,0.9310344827586208
long_loc,no_delay_same_exit_net,464.0,0.6681034482758621,309.0625780138689,,329.3922922248662,0.0,20.329714210997256,0.9310344827586208
short_dist,delayed_entry_net,690.0,0.7985507246376812,260.5316663430798,0.8072463768115942,280.8124800512878,0.1401692922432543,20.280813708208,0.7478260869565218
short_dist,no_delay_same_exit_net,690.0,0.7985507246376812,260.671835635323,,280.952649343531,0.0,20.280813708208,0.7478260869565218
short_loc,delayed_entry_net,979.0,0.8345250255362615,221.43955647587364,0.8426966292134831,241.6812391710091,-0.15250465814078,20.241682695135452,0.9438202247191012
short_loc,no_delay_same_exit_net,979.0,0.8335035750766088,221.2870518177329,,241.52873451286837,0.0,20.241682695135452,0.9438202247191012
