scope,strategy_short,n,trades_per_day,gross_hit_rate,net_hit_rate,same_exit_price_gap_gross_hit_rate,same_exit_price_gap_net_hit_rate,gross_bps_mean,gross_bps_median,net_bps_mean,net_bps_median,same_exit_price_gap_gross_bps_mean,same_exit_price_gap_net_bps_mean,same_exit_price_gap_bps_mean,same_exit_price_gap_bps_median,friction_drag_bps_mean,fees_bps_mean,slippage_bps_mean,orderbook_slippage_bps_mean,entry_gap_bps_mean,entry_gap_bps_p90,entry_slippage_proxy_bps_mean,expected_friction_bps_mean,delayed_1m_fill_rate,adverse_reject_threshold_bps,reject_rate
all_local_candidates:reject_adverse_gap_ge_0bps,global,20026,167.523178807947,0.6350244681913513,0.6120043942874264,0.38524917607110754,0.3640267652052332,221.01254797177984,110.46886512808086,200.79153436083172,90.35839629705951,31.39317031065,11.172156699701874,189.61937766112987,4.597017211338539e-13,20.221013610948123,20.221013610948123,0.0,0.0,1.0353686052481856,-0.0,0.21299057445465824,20.221013610948123,0.9254968540896834,0.0,0.0
all_local_candidates:reject_adverse_gap_ge_0bps,long_dist,7429,65.50183688464364,0.5131242428321443,0.46951137434378787,0.5127204199757707,0.4712612733880738,241.56437222561954,8.068729304708517,221.3228067356049,-11.93933851601282,242.5823713908846,222.34080590086992,-1.0179991652650298,0.0,20.24156549001464,20.24156549001464,0.0,0.0,1.0684169187432524,0.0,0.05274847629878625,20.24156549001464,1.0,0.0,0.0
all_local_candidates:reject_adverse_gap_ge_0bps,long_loc,2863,25.187683284457478,0.5326580509954593,0.5309116311561299,0.5351030387705205,0.5323087670275934,255.28212392707334,65.50073443105931,235.02684080632886,45.435233851339184,256.71876888700024,236.4634857662558,-1.4366449599268827,0.0,20.255283120744508,20.255283120744508,0.0,0.0,1.5079737884041793,0.0,0.0712811004058419,20.255283120744508,0.9035976248690185,0.0,0.0
all_local_candidates:reject_adverse_gap_ge_0bps,short_dist,3626,31.923697725605283,0.7247655819084391,0.7134583563154991,0.277992277992278,0.2644787644787645,229.88792562962072,172.94615864562823,209.65803673723147,152.77321694548755,-229.42621003479726,-249.65609892718652,459.314135664418,349.53219060533985,20.229888892389216,20.229888892389216,0.0,0.0,-0.6309653460683906,-0.0,0.30717535711825783,20.229888892389216,0.7600661886376172,0.0,0.0
all_local_candidates:reject_adverse_gap_ge_0bps,short_loc,6108,51.095155106308816,0.7779960707269156,0.7630975769482645,0.22364112639161754,0.21381794368041912,174.68389411960052,145.6317273918292,154.5092091410423,125.48609476069396,-176.25265326769994,-196.42733824625816,350.93654738730044,294.5721093039886,20.174684978558222,20.174684978558222,0.0,0.0,1.5775884664160231,3.0853078258720394,0.4381671963816593,20.174684978558222,0.9433529796987558,0.0,0.0
all_local_candidates:reject_adverse_gap_ge_50bps,global,19747,165.18926455210874,0.6345267635590216,0.6117891325264597,0.38461538461538464,0.3633463310882666,223.21760784964988,110.94987629920637,202.9943891636182,90.83892965178774,32.0559268311402,11.832708145108489,191.1616810185097,4.5102810375396984e-13,20.2232186860317,20.2232186860317,0.0,0.0,-1.250398351954017,-0.0,0.13887683865013128,20.2232186860317,0.9244442193750949,50.0,0.01393188854489169
all_local_candidates:reject_adverse_gap_ge_50bps,long_dist,7394,65.19324026451139,0.512442520962943,0.46956992155802,0.5106843386529618,0.4692994319718691,242.2267599379707,8.068729042433947,221.98453206806118,-11.939341834726816,241.42971588099863,221.18748801108913,0.7970440569720668,0.0,20.24222786990955,20.24222786990955,0.0,0.0,-0.7851680967511264,0.0,0.035604222019591535,20.24222786990955,1.0,50.0,0.01393188854489169
all_local_candidates:reject_adverse_gap_ge_50bps,long_loc,2835,24.941348973607038,0.5329805996472663,0.5312169312169313,0.5319223985890652,0.5294532627865961,255.82991066158957,65.58656500334988,235.57407972878252,45.520980108390354,255.45123172611028,235.1954007933033,0.378678935479259,0.0,20.255830932807005,20.255830932807005,0.0,0.0,-0.4041803121044477,0.0,0.048009278722388346,20.255830932807005,0.9026455026455027,50.0,0.01393188854489169
all_local_candidates:reject_adverse_gap_ge_50bps,short_dist,3587,31.580337490829056,0.7251184834123223,0.7142458879286312,0.2779481460830778,0.26428770560356846,231.7482058060772,176.5972350844988,211.51645663674165,156.42063586626645,-230.30498312779244,-250.53673229712803,462.05318893386965,349.81489458485436,20.231749169335558,20.231749169335558,0.0,0.0,-1.936470301846801,0.0,0.19600665249141258,20.231749169335558,0.7574574853638137,50.0,0.01393188854489169
all_local_candidates:reject_adverse_gap_ge_50bps,short_loc,5931,49.61449982572324,0.7804754678806272,0.7656381723149553,0.22154779969650987,0.21176867307368066,178.77167902102107,146.75856133030297,158.59290620732318,126.61180499875735,-177.07354570118187,-197.25231851487976,355.84522472220294,292.838819719343,20.178772813697908,20.178772813697908,0.0,0.0,-1.9202868001342361,-0.0,0.28944194321853667,20.178772813697908,0.941662451525881,50.0,0.01393188854489169
