symbol,side,strategy_id,entry_time,exit_time,entry_price,exit_price,exit_reason,exit_reason_detail,close_order_id,close_order_status,close_order_type,close_order_cost,entry_notional_quote,net_pnl_pct,net_pnl,base_pred,calibrated_score,rank_percentile,policy_rank_pct,normalized_rank_score,adjusted_rank_score,deployment_rank_threshold,effective_threshold,entry_gap_bps,adverse_signal_gap_bps,entry_delay_adverse_bps,entry_delay_effect_bps,decision_to_entry_seconds,signal_to_entry_seconds,stop_price,stop_origin,policy_entry_price,realized_entry_price,theoretical_entry_price,signal_price,signal_bar_close_ts,signal_close_to_decision_seconds,decision_module,log,line,dedupe_key,exit_time_dt
SHIB/USD:USD,long,long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,2026-06-05T00:22:03.513000+00:00,2026-06-05T02:42:37.185460+00:00,4.94e-06,4.819e-06,,original_stop_loss: sl_mult=1.1 barrier_frac=0.0129567 params_source=artifacts/20260525_010004_nopenalty/simple_policy_optimiser/deployment/best_policy_params_perps.json params_hash=c5c8b3d4173cc304,a1f243d9-50f9-49a9-ae43-91733c7fab42,closed,market,5.898456,6.04656,,,0.5698170566862373,0.7271986290529548,0.4224011713030747,,,0.6499287100916055,0.6444,0.6444,3.0387038152990264,3.0387038152990264,8.103533538750263,-8.103533538750263,6.919478,4923.536177,4.87e-06,original_stop_loss,4.94e-06,,4.9360000957676675e-06,4.9360000957676675e-06,,,,logs/live_test_kraken_perps_20260605_002059.log,7055,a1f243d9-50f9-49a9-ae43-91733c7fab42,2026-06-05 02:42:37.185460+00:00
SHIB/USD:USD,long,long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,2026-06-05T02:22:06.574208+00:00,2026-06-05T03:07:41.320763+00:00,4.94e-06,4.77e-06,,original_stop_loss: sl_mult=1.1 barrier_frac=0.0128819,a1f27703-d6f9-4f6a-9c2c-ad8c0d93408c,closed,market,0.00954,0.00988,,,0.5698170566862373,0.7271986290529548,0.4224011713030747,,,0.6499287100916055,0.6444,0.6444,3.0387038152990264,3.0387038152990264,8.103533538750263,-8.103533538750263,6.919478,4923.536177,4.821e-06,original_stop_loss,4.94e-06,,4.9360000957676675e-06,4.9360000957676675e-06,,,simple_policy_stop.py,logs/live_test_kraken_perps_20260605_002059.log,8386,a1f27703-d6f9-4f6a-9c2c-ad8c0d93408c,2026-06-05 03:07:41.320763+00:00
STORJ/USD:USD,long,long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,2026-06-05T04:12:43.666000+00:00,2026-06-05T06:13:14.776481+00:00,0.08303,0.07946,,original_stop_loss: sl_mult=1.1 barrier_frac=0.005 params_source=artifacts/20260525_010004_nopenalty/simple_policy_optimiser/deployment/best_policy_params_perps.json params_hash=c5c8b3d4173cc304,a1f29643-5c73-4755-a6a0-95f0cfb0da55,closed,market,5.72112,5.978160000000001,,,0.6459723076103464,0.7639460653410531,0.487217028944701,,,0.6464386990687353,0.6444,0.6444,125.36692759295588,125.36692759295588,155.33268101761254,-155.33268101761254,6.597831,4350.333642,0.08146,original_stop_loss,0.08303,,0.08176,0.08176,,,,logs/live_test_kraken_perps_20260605_002059.log,18618,a1f29643-5c73-4755-a6a0-95f0cfb0da55,2026-06-05 06:13:14.776481+00:00
XLM/USD:USD,long,long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,2026-06-05T01:12:33.167000+00:00,2026-06-05T06:15:07.215542+00:00,0.1981,0.19216,,capital_preservation: mfe=0.0173649 trigger=0.00963701 lock_dist=-0.019274,a1f258cd-bc32-4b6a-a660-8d1d250c2454,closed,market,5.57264,5.7449,,,0.4336590296750462,0.746335384515667,0.4563013852911364,,,0.6475450617612116,0.6444,0.6444,0.0,0.0,-62.20527741547022,62.20527741547022,6.592505,4353.184178,0.19428,capital_preservation,0.1981,,0.19934,0.19934,,,simple_policy_stop.py,logs/live_test_kraken_perps_20260605_002059.log,18631,a1f258cd-bc32-4b6a-a660-8d1d250c2454,2026-06-05 06:15:07.215542+00:00
SUPER/USD:USD,long,long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,2026-06-05T03:12:46.689000+00:00,2026-06-05T06:23:41.030068+00:00,0.09774,0.09156,,capital_preservation: mfe=0.0182116 trigger=0.008371 lock_dist=-0.016742,a1f2c411-802f-490f-b881-e7c8c3dae9cb,closed,market,5.58516,5.96214,,,0.4618590542457265,0.7531018478775557,0.4685775425160491,,,0.669894121821922,0.6444,0.6444,0.0,0.0,8.191685439278285,-8.191685439278285,6.168578,4348.086708,0.09601,capital_preservation,0.09774,,0.09766,0.09766,,,simple_policy_stop.py,logs/live_test_kraken_perps_20260605_002059.log,18678,a1f2c411-802f-490f-b881-e7c8c3dae9cb,2026-06-05 06:23:41.030068+00:00
XLM/USD:USD,long,long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,2026-06-05T03:12:36.238851+00:00,2026-06-05T07:19:42.544834+00:00,0.1981,0.18568,,original_stop_loss: sl_mult=1.1 barrier_frac=0.0240925,a1f2d793-1b51-4aab-97c1-c72657501b55,closed,market,0.18568,0.1981,,,0.4336590296750462,0.746335384515667,0.4563013852911364,,,0.6475450617612116,0.6444,0.6444,0.0,0.0,-62.20527741547022,62.20527741547022,6.592505,4353.184178,0.18782,original_stop_loss,0.1981,,0.19934,0.19934,,,simple_policy_stop.py,logs/live_test_kraken_perps_20260605_002059.log,21552,a1f2d793-1b51-4aab-97c1-c72657501b55,2026-06-05 07:19:42.544834+00:00
RARE/USD:USD,long,long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,2026-06-05T15:11:02.654618+00:00,2026-06-05T15:29:45.836336+00:00,0.01287,0.01256,,original_stop_loss: sl_mult=0.5 barrier_frac=0.00872199 params_source=artifacts/20260525_010004_nopenalty/simple_policy_optimiser/deployment/best_policy_params_perps.json params_hash=823cbc30415791e1,a1f381c6-5c0f-4772-ac63-06e8d6ac216e,closed,market,5.70224,5.84298,,,0.5529065447741028,0.75854464777274,0.47649150533386014,,,0.6698651013151211,,0.6413,,19.48558067030426,31.17692907248726,-31.17692907248726,10.76229,4262.648263,0.01281,original_stop_loss,0.01287,,0.01283,0.01283,2026-06-05T15:00:00+00:00,651.885973,simple_policy_stop.py,logs/live_test_kraken_perps_20260605_144229.log,3553,a1f381c6-5c0f-4772-ac63-06e8d6ac216e,2026-06-05 15:29:45.836336+00:00
RARE/USD:USD,long,long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,2026-06-05T17:11:05.742372+00:00,2026-06-05T15:48:42.736781+00:00,0.01287,0.0124,,original_stop_loss: sl_mult=0.5 barrier_frac=0.00932401,a1f38cba-3710-4ae8-9e7e-12d7fc5c2772,closed,market,0.0124,0.01287,,,0.5529065447741028,0.75854464777274,0.4764915053338601,,,0.6698651013151211,0.6413,0.6413,19.48558067030426,19.48558067030426,31.17692907248726,-31.17692907248726,10.76229,4262.648263,0.01268,original_stop_loss,0.01283,,0.01283,0.01283,,,simple_policy_stop.py,logs/live_test_kraken_perps_20260605_154016.log,910,a1f38cba-3710-4ae8-9e7e-12d7fc5c2772,2026-06-05 15:48:42.736781+00:00
SHIB/USD:USD,long,long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,2026-06-05T18:11:46.639497+00:00,2026-06-05T18:33:53.835604+00:00,4.574e-06,4.464e-06,,original_stop_loss: sl_mult=0.5 barrier_frac=0.0198257 params_source=artifacts/20260525_010004_nopenalty/simple_policy_optimiser/deployment/best_policy_params_perps.json params_hash=823cbc30415791e1,a1f3c269-08d7-4d2f-9c65-7818af63e49d,closed,market,5.696064,5.836424,,,0.46419387528340894,0.740171452808045,0.44392391488400973,,,0.6587510832367454,,0.6413,,0.0,-8.736979509104126,8.736979509104126,15.767065,4306.63304,4.529e-06,original_stop_loss,4.574e-06,,4.577999789034948e-06,4.577999789034948e-06,2026-06-05T18:00:00+00:00,690.865975,simple_policy_stop.py,logs/live_test_kraken_perps_20260605_180909.log,1310,a1f3c269-08d7-4d2f-9c65-7818af63e49d,2026-06-05 18:33:53.835604+00:00
AEVO/USD:USD,long,long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,2026-06-05T17:12:40.327000+00:00,2026-06-05T18:52:43.908013+00:00,0.01961,0.01879,,original_stop_loss: sl_mult=0.5 barrier_frac=0.00713921,a1f3ad45-c15c-4580-a7e9-7c910c1f8155,closed,market,5.58063,5.82417,,,0.6004734238192548,0.8318580735766239,0.5884179037083027,,,0.6698651013151211,0.6413,0.6413,74.58847736625529,74.58847736625529,87.44855967078192,-87.44855967078192,20.127431,4360.339634,0.01954,original_stop_loss,0.01961,,0.01961,0.01944,,,,logs/live_test_kraken_perps_20260605_180909.log,1400,a1f3ad45-c15c-4580-a7e9-7c910c1f8155,2026-06-05 18:52:43.908013+00:00
ANKR/USD:USD,long,long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,2026-06-05T17:12:34.862000+00:00,2026-06-05T18:55:55.056094+00:00,0.003843,0.003646,,original_stop_loss: sl_mult=0.5 barrier_frac=0.00832683,a1f3ad3d-676b-4434-98a6-c9b6a84f6748,closed,market,5.538274,5.837517,,,0.6131373046934098,0.8462715275520571,0.6086809279223345,,,0.6698651013151211,0.6413,0.6413,93.3719095213048,93.3719095213048,107.83798001052114,-107.83798001052114,14.660226,4354.872429,0.003827,original_stop_loss,0.003843,,0.003843,0.003802,,,,logs/live_test_kraken_perps_20260605_180909.log,1417,a1f3ad3d-676b-4434-98a6-c9b6a84f6748,2026-06-05 18:55:55.056094+00:00
