2025-08-11 23:47:22,379 - INFO - Stage=EngineerFeatures | NaN_total=217 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10} | Inf_cols={}
2025-08-11 23:47:22,489 - INFO - Stage=EngineerFeatures | NaN_total=217 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10} | Inf_cols={}
2025-08-11 23:47:22,599 - INFO - Stage=EngineerFeatures | NaN_total=217 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10} | Inf_cols={}
2025-08-11 23:47:22,693 - INFO - Stage=EngineerFeatures | NaN_total=217 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10} | Inf_cols={}
2025-08-11 23:47:22,784 - INFO - Stage=EngineerFeatures | NaN_total=217 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10} | Inf_cols={}
2025-08-11 23:47:22,877 - INFO - Stage=EngineerFeatures | NaN_total=1676 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10, 'bullish_engulfing_count': 1459} | Inf_cols={}
2025-08-11 23:47:22,974 - INFO - Stage=EngineerFeatures | NaN_total=3135 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10, 'bullish_engulfing_count': 1459, 'bullish_engulfing_present': 1459} | Inf_cols={}
2025-08-11 23:47:23,073 - INFO - Stage=EngineerFeatures | NaN_total=4594 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10, 'bullish_engulfing_count': 1459, 'bullish_engulfing_present': 1459, 'bearish_engulfing_count': 1459} | Inf_cols={}
2025-08-11 23:47:23,189 - INFO - Stage=EngineerFeatures | NaN_total=6053 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10, 'bullish_engulfing_count': 1459, 'bullish_engulfing_present': 1459, 'bearish_engulfing_count': 1459, 'bearish_engulfing_present': 1459} | Inf_cols={}
2025-08-11 23:47:23,293 - INFO - Stage=EngineerFeatures | NaN_total=7512 | Inf_total=0 | NaN_cols={'autocorr_1': 50, 'autocorr_5': 50, 'autocorr_10': 50, 'rolling_corr_5': 6, 'rolling_corr_10': 11, 'momentum_5': 5, 'momentum_10': 10, 'momentum_20': 20, 'roc_5': 5, 'roc_10': 10, 'bullish_engulfing_count': 1459, 'bullish_engulfing_present': 1459, 'bearish_engulfing_count': 1459, 'bearish_engulfing_present': 1459, 'hammer_count': 1459} | Inf_cols={}
