symbol,rows,n_features,nan_cells,nan_pct_overall,all_nan_features,constant_features
0G/USDC,35299,777,352990,1.287001287001287,10,50
0G/USDT,35299,777,352990,1.287001287001287,10,57
1000CAT/USDC,35040,522,0,0.0,0,82
1000CAT/USDT,35299,777,352990,1.287001287001287,10,110
1000CHEEMS/USDC,35299,751,0,0.0,0,189
1000CHEEMS/USDT,35299,777,352990,1.287001287001287,10,83
1000SATS/USDC,35299,777,352990,1.287001287001287,10,131
1000SATS/USDT,35299,777,352990,1.287001287001287,10,123
1INCH/USDT,35299,777,352990,1.287001287001287,10,48
1MBABYDOGE/USDT,35299,777,352990,1.287001287001287,10,97
2Z/USDC,35299,769,70598,0.26007802340702213,2,127
2Z/USDT,35299,777,352990,1.287001287001287,10,138
A/USDC,35299,524,702095,3.79579011926251,0,101
A/USDT,35299,777,352990,1.287001287001287,10,106
A2Z/USDT,35299,777,352990,1.287001287001287,10,128
AAVE/USDC,35299,777,352990,1.287001287001287,10,147
AAVE/USDT,35299,777,352990,1.287001287001287,10,116
ACE/USDT,35299,777,352990,1.287001287001287,10,45
ACH/USDC,35299,752,35299,0.13297872340425532,1,193
ACH/USDT,35299,777,352990,1.287001287001287,10,65
ACM/USDT,35299,777,352990,1.287001287001287,10,44
ACT/USDC,35299,524,702095,3.79579011926251,0,101
ACT/USDT,35299,777,352990,1.287001287001287,10,72
ACX/USDT,35299,777,352990,1.287001287001287,10,78
ADA/USDC,35299,777,352990,1.287001287001287,10,44
ADA/USDT,35299,777,352990,1.287001287001287,10,48
ADX/USDT,35299,777,352990,1.287001287001287,10,44
AEUR/USDT,35040,504,0,0.0,0,71
AEVO/USDT,35299,777,352990,1.287001287001287,10,49
AGLD/USDT,35299,777,352990,1.287001287001287,10,44
AI/USDT,35299,777,352990,1.287001287001287,10,48
AIXBT/USDC,35299,776,317691,1.1597938144329898,9,44
AIXBT/USDT,35299,777,352990,1.287001287001287,10,51
ALGO/USDC,35299,777,352990,1.287001287001287,10,44
ALGO/USDT,35299,777,352990,1.287001287001287,10,44
ALICE/USDT,35299,777,352990,1.287001287001287,10,47
ALLO/USDC,35299,777,352990,1.287001287001287,10,132
ALLO/USDT,35299,777,352990,1.287001287001287,10,110
ALPINE/USDT,35299,777,352990,1.287001287001287,10,44
ALT/USDC,35299,777,352990,1.287001287001287,10,66
ALT/USDT,35299,777,352990,1.287001287001287,10,51
AMP/USDT,35299,777,352990,1.287001287001287,10,73
ANIME/USDT,35299,777,352990,1.287001287001287,10,107
ANKR/USDT,35299,777,352990,1.287001287001287,10,69
APE/USDC,35299,777,352990,1.287001287001287,10,48
APE/USDT,35299,777,352990,1.287001287001287,10,44
API3/USDC,35299,781,494186,1.792573623559539,14,51
API3/USDT,35299,777,352990,1.287001287001287,10,48
APT/USDC,35299,777,352990,1.287001287001287,10,99
APT/USDT,35299,777,352990,1.287001287001287,10,98
AR/USDC,35299,777,352990,1.287001287001287,10,103
AR/USDT,35299,777,352990,1.287001287001287,10,94
ARB/USDC,35299,777,352990,1.287001287001287,10,47
ARB/USDT,35299,777,352990,1.287001287001287,10,42
ARDR/USDT,35299,752,35299,0.13297872340425532,1,126
ARK/USDT,35299,769,70598,0.26007802340702213,2,44
ARKM/USDT,35299,777,352990,1.287001287001287,10,48
ARPA/USDT,35299,777,352990,1.287001287001287,10,64
ASR/USDT,35299,777,352990,1.287001287001287,10,98
ASTER/USDC,35299,777,352990,1.287001287001287,10,60
ASTER/USDT,35299,777,352990,1.287001287001287,10,70
ASTR/USDT,35299,777,352990,1.287001287001287,10,46
AT/USDC,35040,504,0,0.0,0,94
AT/USDT,35299,777,352990,1.287001287001287,10,143
ATA/USDT,35299,769,70598,0.26007802340702213,2,65
