symbol,feature,rows,nan_count,nan_pct,is_all_nan,is_constant_non_nan
0G/USDC,G_EXH_EFFORT,35299,0,0.0,False,False
0G/USDC,G_EXH_GIVEBACK,35299,0,0.0,False,False
0G/USDC,G_EXH_TAIL_FAIL,35299,0,0.0,False,False
0G/USDC,G_LIQ_EXCEL,35299,0,0.0,False,False
0G/USDC,G_LIQ_GOOD,35299,0,0.0,False,False
0G/USDC,G_LIQ_GREAT,35299,0,0.0,False,False
0G/USDC,G_META_AMBIG,35299,0,0.0,False,True
0G/USDC,G_META_EXH,35299,0,0.0,False,False
0G/USDC,G_META_MR_QUAL,35299,0,0.0,False,False
0G/USDC,G_META_TF_QUAL,35299,0,0.0,False,False
0G/USDC,G_MR_SPIKE,35299,0,0.0,False,False
0G/USDC,G_MR_TAIL,35299,0,0.0,False,False
0G/USDC,G_TF_GRIND,35299,0,0.0,False,False
0G/USDC,G_TF_TREND,35299,0,0.0,False,False
0G/USDC,G_VOL_LIQ_GT1,35299,0,0.0,False,False
0G/USDC,G_VOL_LIQ_GT2,35299,0,0.0,False,False
0G/USDC,G_VOL_LIQ_GT3,35299,0,0.0,False,False
0G/USDC,S,35299,0,0.0,False,False
0G/USDC,accel,35299,0,0.0,False,False
0G/USDC,accel_5h,35299,0,0.0,False,False
0G/USDC,accept,35299,0,0.0,False,False
0G/USDC,accept_bin3,35299,0,0.0,False,False
0G/USDC,accept_dir2h_abs_prod,35299,0,0.0,False,False
0G/USDC,accept_dir2h_prod,35299,0,0.0,False,False
0G/USDC,accept_dir2h_signed_mag,35299,0,0.0,False,False
0G/USDC,accept_gt66,35299,0,0.0,False,False
0G/USDC,accept_gt85,35299,0,0.0,False,False
0G/USDC,accept_x_dir_edge_2h,35299,0,0.0,False,False
0G/USDC,adx_10,35299,0,0.0,False,True
0G/USDC,adx_10_gt25,35299,0,0.0,False,True
0G/USDC,adx_10_slope,35299,0,0.0,False,True
0G/USDC,adx_14,35299,0,0.0,False,True
0G/USDC,adx_14_gt25,35299,0,0.0,False,True
0G/USDC,adx_14_slope,35299,0,0.0,False,True
0G/USDC,adx_7,35299,0,0.0,False,True
