regime_families_combo,count
trend|volatility,2937
volatility,1203
trend|volatility|volatility_term_structure,217
volatility|volatility_term_structure,94
trend,45
,23
trend|volatility_term_structure,21
compression|trend|volatility,18
volatility_term_structure,12
compression|volatility,7
compression|trend,1
