strategy_id,confidence_band,live_traded_symbol_group,rows,symbols,gross_hit_rate,net_hit_rate,mean_net_return,mean_gross_return,gross_hit_delta_vs_live_traded,within_5pct_of_live_traded
long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,"(0.76, 0.82]",False,296,72,0.5506756756756757,0.5337837837837838,0.012056684281233677,0.018942069793177967,0.2748136067101584,True
long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,"(0.76, 0.82]",True,58,8,0.27586206896551724,0.27586206896551724,-8.678610194555147e-05,0.006786443648454295,,False
long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,"(0.82, 0.88]",False,939,72,0.5218317358892439,0.5005324813631523,0.010848389200647181,0.01773256515855319,0.07617956197620046,True
long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,"(0.82, 0.88]",True,184,8,0.44565217391304346,0.41847826086956524,0.014418429127754045,0.02130617863623899,,False
long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,"(0.88, 0.94]",False,1190,73,0.5815126050420169,0.5563025210084034,0.017995890539880068,0.024887221172012187,0.08789558376542111,True
long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,"(0.88, 0.94]",True,235,8,0.49361702127659574,0.4765957446808511,0.01734804875803127,0.024238730830049925,,False
long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,"(0.94, 1.0]",False,2738,69,0.6157779401022644,0.6084733382030679,0.02256848471335162,0.029464392483676976,-0.03506004872455126,True
long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,"(0.94, 1.0]",True,716,8,0.6508379888268156,0.6396648044692738,0.034549814241208204,0.04145771535056203,,False
long_dist_ema20_atr_-0_92271453_loc_bb_channel_pos_48_0_60767579_leverage_build_score_0_45107844_return_autocorr_48_1_18643_rolling_range_20_-0_25967735,"(0.76, 0.82]",False,380,74,0.4789473684210526,0.45,0.01218317796259929,0.01906869009121805,-0.05836606441476827,False
long_dist_ema20_atr_-0_92271453_loc_bb_channel_pos_48_0_60767579_leverage_build_score_0_45107844_return_autocorr_48_1_18643_rolling_range_20_-0_25967735,"(0.76, 0.82]",True,67,8,0.5373134328358209,0.5223880597014925,0.015455262287357713,0.022344050045315113,,False
long_dist_ema20_atr_-0_92271453_loc_bb_channel_pos_48_0_60767579_leverage_build_score_0_45107844_return_autocorr_48_1_18643_rolling_range_20_-0_25967735,"(0.82, 0.88]",False,1181,79,0.5080440304826418,0.4724809483488569,0.014793593110084116,0.021681718168043356,0.08607871256356664,True
long_dist_ema20_atr_-0_92271453_loc_bb_channel_pos_48_0_60767579_leverage_build_score_0_45107844_return_autocorr_48_1_18643_rolling_range_20_-0_25967735,"(0.82, 0.88]",True,173,8,0.42196531791907516,0.41040462427745666,0.0060382423221718344,0.012917603407714627,,False
long_dist_ema20_atr_-0_92271453_loc_bb_channel_pos_48_0_60767579_leverage_build_score_0_45107844_return_autocorr_48_1_18643_rolling_range_20_-0_25967735,"(0.88, 0.94]",False,1367,66,0.5544989027066569,0.5084125822970007,0.016868147326036448,0.023758349055823427,0.02576327052274885,True
long_dist_ema20_atr_-0_92271453_loc_bb_channel_pos_48_0_60767579_leverage_build_score_0_45107844_return_autocorr_48_1_18643_rolling_range_20_-0_25967735,"(0.88, 0.94]",True,261,8,0.5287356321839081,0.5134099616858238,0.03353038912212065,0.04043727006844475,,False
long_dist_ema20_atr_-0_92271453_loc_bb_channel_pos_48_0_60767579_leverage_build_score_0_45107844_return_autocorr_48_1_18643_rolling_range_20_-0_25967735,"(0.94, 1.0]",False,1384,59,0.5541907514450867,0.5317919075144508,0.01848799694594358,0.025379820192224626,0.011956419020018538,True
long_dist_ema20_atr_-0_92271453_loc_bb_channel_pos_48_0_60767579_leverage_build_score_0_45107844_return_autocorr_48_1_18643_rolling_range_20_-0_25967735,"(0.94, 1.0]",True,367,8,0.5422343324250681,0.5367847411444142,0.052247513682381265,0.059173130075889854,,False
short_asset_minus_mkt_oi_1d_peer_resid_0_34164831_oi_expansion_compression_balance_24h_0_42287597,"(0.76, 0.82]",False,298,61,0.7684563758389261,0.7516778523489933,0.03437042933233339,0.04127815098406703,0.19702780441035472,True
short_asset_minus_mkt_oi_1d_peer_resid_0_34164831_oi_expansion_compression_balance_24h_0_42287597,"(0.76, 0.82]",True,49,8,0.5714285714285714,0.5714285714285714,0.011419278385877946,0.01830402606125815,,False
