symbol,rows,strategy_band_count,gross_hit_rate,net_hit_rate,mean_net_return,mean_gross_return,gross_hit_delta_vs_live_traded,net_return_delta_vs_live_traded,baseline_gross_hit_rate,baseline_mean_net_return,deployable_symbol,reject_reason
PYTH_USD:USD,1,1,1.0,1.0,0.0037404333296654248,0.010617494285486686,0.7241379310344828,0.003827219431610976,0.27586206896551724,-8.678610194555121e-05,True,
JUP_USD:USD,3,3,1.0,1.0,0.007059037312654049,0.013939420137893364,0.5882863934265289,-7.653552320728418e-05,0.41171360657347106,0.007135572835861334,True,
MANA_USD:USD,1,1,1.0,1.0,2.19616401215747e-06,0.006875515170142292,0.5780346820809248,-0.006036046158159677,0.42196531791907516,0.0060382423221718344,True,
DYDX_USD:USD,1,1,1.0,1.0,0.008216791784345836,0.01509833340201196,0.4736842105263158,-0.004787806831049318,0.5263157894736842,0.013004598615395154,True,
ETH_USD:USD,2,1,1.0,1.0,0.000899241782304494,0.007773458715922079,0.4626865671641791,-0.014556020505053223,0.5373134328358209,0.015455262287357717,True,
GRT_USD:USD,2,1,1.0,1.0,0.010245163085700726,0.0171287355026152,0.40718562874251496,-0.0073844496415474276,0.592814371257485,0.017629612727248153,True,
ENS_USD:USD,26,5,0.8846153846153846,0.8846153846153846,0.004501868180514836,0.011379691270864866,0.3827678637384769,-0.014473273080141312,0.5018475208769078,0.01897514126065615,True,
IMX_USD:USD,10,5,0.8,0.8,0.015161345025435818,0.02204983824014258,0.3166261121866152,0.00033679114200616396,0.48337388781338475,0.014824553883429653,True,
ASTR_USD:USD,230,12,0.8652173913043478,0.8347826086956521,0.024509201791720316,0.031407052260713,0.31400956545140724,0.0018178200313561268,0.5512078258529406,0.02269138176036419,True,
ENJ_USD:USD,45,14,0.8,0.8,0.022844828878422548,0.02974101308601461,0.30321665149159405,0.006243213135080409,0.496783348508406,0.01660161574334214,True,
ALT_USD:USD,122,15,0.8360655737704918,0.8360655737704918,0.018892727773709286,0.025784956093474493,0.29080987358078925,-0.005735047611404426,0.5452557001897026,0.024627775385113713,True,
COMP_USD:USD,31,8,0.8064516129032258,0.7741935483870968,0.0024966529593774297,0.009372468929411973,0.2801854241341556,-0.01771694869443286,0.5262661887690703,0.020213601653810295,True,
HFT_USD:USD,111,14,0.7837837837837838,0.7837837837837838,0.01828421432703835,0.025175833418213927,0.2690174812930912,-0.003938302047282466,0.5147663024906926,0.02222251637432082,True,
KSM_USD:USD,35,10,0.7714285714285715,0.7428571428571429,0.009154762161652797,0.016037242701749204,0.26750776692401945,-0.005572152626602462,0.503920804504552,0.014726914788255259,True,
BAND_USD:USD,272,15,0.8161764705882353,0.7647058823529411,0.019514544420247082,0.02640739507759941,0.2652200907424772,-0.009540196283681605,0.5509563798457581,0.02905474070392869,True,
YGG_USD:USD,175,12,0.7828571428571428,0.7828571428571428,0.04529682131865669,0.052215480488497515,0.26148316200942623,0.013465671774332173,0.5213739808477167,0.03183114954432451,True,
NOT_USD:USD,257,12,0.8132295719844358,0.7665369649805448,0.02328560607909056,0.030182231773520352,0.25611491734749564,-0.004261903127456734,0.5571146546369402,0.027547509206547298,True,
BEAM_USD:USD,187,12,0.786096256684492,0.7272727272727273,0.01789652287179163,0.024787754008275147,0.24951511913000926,-0.009578888822326118,0.5365811375544828,0.02747541169411775,True,
SYN_USD:USD,117,13,0.8205128205128205,0.811965811965812,0.022849597375886294,0.02974578661516353,0.2349277110751425,-0.003890322992448651,0.585585109437678,0.026739920368334943,True,
