,stage_name,timestamp,input_data_shape,output_data_shape,processing_time,memory_usage_mb,geometry_metrics,model_metrics,feature_metrics,quality_metrics,performance_scores,stability_scores,integrity_scores
0,OOF_Start,2026-01-25T08:17:46.106633,"[132484, 583]",,0.0,2275.9375,{},{},{},{},{},{},{}
1,TrainBatch_VOLATILITY_SPECIALIST,2026-01-25T08:20:25.353866,"[3541, 640]",,0.0,2382.4375,{},{},{},{},{},{},{}
2,TrainBatch_META_SUM_4H_COMPOSITE_DERIVED_FLOW_IMBALANCE_PROXY_OHLCV_VOLUME_SURGE_30MIN_INT,2026-01-25T08:22:18.868270,"[12719, 640]",,0.0,1469.3125,{},{},{},{},{},{},{}
3,TrainBatch_VOLATILITY_INNOVATION_SPECIALIST,2026-01-25T08:23:01.011694,"[549, 640]",,0.0,876.90625,{},{},{},{},{},{},{}
4,TrainBatch_LIQUIDITY_SPECIALIST,2026-01-25T08:23:18.786052,"[3492, 640]",,0.0,1475.015625,{},{},{},{},{},{},{}
5,TrainBatch_MARKET_FRAGILITY_FRAGILITY_ACCEL_100_POS,2026-01-25T08:23:43.511827,"[42571, 640]",,0.0,2033.3125,{},{},{},{},{},{},{}
6,TrainBatch_DISPERSION_SPECIALIST,2026-01-25T08:24:43.277007,"[552, 640]",,0.0,1333.234375,{},{},{},{},{},{},{}
7,TrainBatch_CAUSAL_SURPRISE,2026-01-25T08:25:26.371387,"[1538, 640]",,0.0,828.40625,{},{},{},{},{},{},{}
8,TrainBatch_MEAN_REVERSION_RELAXATION_ACCEL_100_POS,2026-01-25T08:25:49.909920,"[41995, 640]",,0.0,1661.546875,{},{},{},{},{},{},{}
9,TrainBatch_VOLUME_SPECIALIST,2026-01-25T08:26:47.810344,"[3554, 640]",,0.0,1271.59375,{},{},{},{},{},{},{}
10,TrainBatch_MEAN_REVERSION_DECAY_RATE_20_POS,2026-01-25T08:27:05.662027,"[41995, 640]",,0.0,830.328125,{},{},{},{},{},{},{}
11,TrainBatch_INVENTORY_SPECIALIST,2026-01-25T08:28:31.747232,"[3519, 640]",,0.0,1343.375,{},{},{},{},{},{},{}
12,TrainBatch_INFORMATION_SPECIALIST,2026-01-25T08:28:48.933337,"[3856, 640]",,0.0,1533.890625,{},{},{},{},{},{},{}
13,TrainBatch_EXHAUSTION_SPECIALIST,2026-01-25T08:29:01.713038,"[545, 640]",,0.0,1752.46875,{},{},{},{},{},{},{}
14,TrainBatch_MOMENTUM_DECAY_SPECIALIST,2026-01-25T08:29:14.549805,"[178, 640]",,0.0,1410.015625,{},{},{},{},{},{},{}
15,TrainBatch_SURPRISE_Z_CONTINUOUS_VOL_SURPRISE_Z_100_POS,2026-01-25T08:29:26.452824,"[34111, 640]",,0.0,2050.171875,{},{},{},{},{},{},{}
16,TrainBatch_SURPRISE_Z_CONTINUOUS_VOLUME_SURPRISE_Z_20_POS,2026-01-25T08:30:08.234769,"[34111, 640]",,0.0,1535.328125,{},{},{},{},{},{},{}
17,TrainBatch_FLOW_PRESSURE_CONTINUOUS_FLOW_ACCEL_100_POS,2026-01-25T08:31:09.697696,"[40386, 640]",,0.0,1784.953125,{},{},{},{},{},{},{}
18,TrainBatch_SURPRISE_Z_CONTINUOUS_RETURN_SURPRISE_Z_20_POS,2026-01-25T08:32:07.379042,"[34111, 640]",,0.0,1534.734375,{},{},{},{},{},{},{}
19,TrainBatch_FLOW_PRESSURE_CONTINUOUS_FLOW_ACCEL_20_POS,2026-01-25T08:33:32.514391,"[40386, 640]",,0.0,1397.375,{},{},{},{},{},{},{}
20,TrainBatch_FLOW_PRESSURE_CONTINUOUS_FLOW_PRESSURE_20_POS,2026-01-25T08:34:59.470557,"[40386, 640]",,0.0,824.203125,{},{},{},{},{},{},{}
