canonical_key,display_arity,structural_depth,groups_used,regime_families_used,location_families_used,all_families_used
(*)|(loc_ema_stack_pos_24>-0.17878027&loc_prev_day_range_pos_48>0.89738941)|(prior_range<=0.056209743&range_24h_pct>0.0311625),4,4,location|regime,compression|context,context|trend,compression|context|trend
(*)|(dist_ema50_atr<=-0.022501865)|(prior_range>0.056209743&range_24h_pct>0.0311625),3,3,location|regime,compression|context,context,compression|context
(*)|(dist_ema50_atr>-0.022501865)|(mark_index_basis<=-0.00013774534&prior_range>0.056209743&range_24h_pct>0.0311625&up_down_semivol_ratio_tanh<=0.20601758),5,5,location|regime,compression|context|mark_index|path_structure,context,compression|context|mark_index|path_structure
(*)|(dist_ema50_atr>-0.022501865)|(mark_index_basis<=-0.00013774534&prior_range>0.056209743&range_24h_pct>0.0311625&up_down_semivol_ratio_tanh>0.20601758),5,5,location|regime,compression|context|mark_index|path_structure,context,compression|context|mark_index|path_structure
(*)|(dist_ema50_atr>-0.022501865)|(mark_index_basis>-0.00013774534&prior_range>0.056209743&range_24h_pct>0.0311625),4,4,location|regime,compression|context|mark_index,context,compression|context|mark_index
(*)|(loc_vwap_dev_z_24<=0.079104528)|(efficiency_ratio_20<=-0.52287883&perp_index_basis>-0.00087543053&range_expansion_ratio<=0.39290431&trend_acceleration<=0.18968299&volume_entropy_24<=0.83004117),6,6,location|regime,liquidity|mark_index|path_structure|trend|volatility_term_structure,liquidity,liquidity|mark_index|path_structure|trend|volatility_term_structure
(*)|(loc_vwap_dev_z_24<=0.079104528)|(efficiency_ratio_20>-0.52287883&perp_index_basis>-0.00087543053&range_expansion_ratio<=0.39290431&trend_acceleration<=0.18968299&volume_entropy_24<=0.83004117),6,6,location|regime,liquidity|mark_index|path_structure|trend|volatility_term_structure,liquidity,liquidity|mark_index|path_structure|trend|volatility_term_structure
(*)|(loc_vwap_dev_z_24<=0.079104528)|(range_expansion_ratio<=0.39290431&trend_acceleration<=0.18968299&volume_entropy_24>0.83004117),4,4,location|regime,liquidity|trend|volatility_term_structure,liquidity,liquidity|trend|volatility_term_structure
(*)|(loc_vwap_dev_z_24>0.079104528)|(range_expansion_ratio<=0.39290431&trend_acceleration<=0.18968299&volume_percentile<=-0.61454976),4,4,location|regime,liquidity|trend|volatility_term_structure,liquidity,liquidity|trend|volatility_term_structure
(*)|(loc_vwap_dev_z_24>0.079104528)|(range_expansion_ratio<=0.39290431&trend_acceleration<=0.18968299&volume_percentile>-0.61454976),4,4,location|regime,liquidity|trend|volatility_term_structure,liquidity,liquidity|trend|volatility_term_structure
(*)|(*)|(bollinger_band_width<=-0.010596315&range_expansion_ratio<=0.39290431&trend_acceleration>0.18968299&variance_ratio_10_48<=-0.24959639),4,4,regime,compression|trend|volatility|volatility_term_structure,,compression|trend|volatility|volatility_term_structure
(*)|(*)|(bollinger_band_width>-0.010596315&range_expansion_ratio<=0.39290431&trend_acceleration>0.18968299&variance_ratio_10_48<=-0.24959639),4,4,regime,compression|trend|volatility|volatility_term_structure,,compression|trend|volatility|volatility_term_structure
(*)|(*)|(range_expansion_ratio<=0.39290431&trend_acceleration>0.18968299&variance_ratio_10_48>-0.24959639),3,3,regime,trend|volatility|volatility_term_structure,,trend|volatility|volatility_term_structure
(*)|(*)|(atr_compression_ratio<=0.28473812&efficiency_ratio_20<=0.042467535&range_expansion_ratio>0.39290431),3,3,regime,path_structure|volatility_term_structure,,path_structure|volatility_term_structure
(*)|(*)|(atr_compression_ratio<=0.28473812&efficiency_ratio_20>0.042467535&range_expansion_ratio>0.39290431),3,3,regime,path_structure|volatility_term_structure,,path_structure|volatility_term_structure
