metric,value,filter_type
volume_kalman_snr_improvement,1.5841887884647943,volume
volume_kalman_noise_reduction,-0.6750910470656706,volume
volume_kalman_smoothness_ratio,100.0,volume
volume_kalman_tracking_rmse,40.65942943679198,volume
volume_kalman_high_freq_reduction,-1.0,volume
volume_kalman_low_freq_preservation,1.4010999369962258,volume
moving_average_snr_improvement,57.899136876857014,moving
moving_average_noise_reduction,0.9827790668306094,moving
moving_average_smoothness_ratio,0.0019809515136663164,moving
moving_average_tracking_rmse,4.100471880278823,moving
moving_average_high_freq_reduction,0.9200680987362926,moving
moving_average_low_freq_preservation,0.9984203756190718,moving
fisher_snr_improvement,0.001334698054926659,fisher
fisher_noise_reduction,-0.001971609952600817,fisher
fisher_smoothness_ratio,0.17116377446176886,fisher
fisher_tracking_rmse,875.35998801341,fisher
fisher_high_freq_reduction,0.8317806131086086,fisher
fisher_low_freq_preservation,0.0011115532751116745,fisher
