metric,value,filter_type
volume_kalman_snr_improvement,24706.288442776622,volume
volume_kalman_noise_reduction,0.9999595221374732,volume
volume_kalman_smoothness_ratio,0.7599703695837392,volume
volume_kalman_tracking_rmse,3.670436286008896,volume
volume_kalman_high_freq_reduction,0.17269757926214513,volume
volume_kalman_low_freq_preservation,1.0000793122261187,volume
moving_average_snr_improvement,0.0,moving
moving_average_noise_reduction,,moving
moving_average_smoothness_ratio,,moving
moving_average_tracking_rmse,,moving
moving_average_high_freq_reduction,,moving
moving_average_low_freq_preservation,,moving
fisher_snr_improvement,0.0,fisher
fisher_noise_reduction,,fisher
fisher_smoothness_ratio,,fisher
fisher_tracking_rmse,,fisher
fisher_high_freq_reduction,,fisher
fisher_low_freq_preservation,,fisher
