side,strategy_id,rows,base_HR_by_base_top30,meta_HR_by_meta_top30,delta_top30,base_HR_by_base_top20,meta_HR_by_meta_top20,delta_top20,base_HR_by_base_top10,meta_HR_by_meta_top10,delta_top10,base_HR_by_base_top5,meta_HR_by_meta_top5,delta_top5
long,dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575,60216,0.5605867699972322,0.7410462219761971,0.18045945197896485,0.6116738625041515,0.8126868150116241,0.20101295250747264,0.7027565592826304,0.8885752241780139,0.18581866489538357,0.7708402524078379,0.9339090003321155,0.1630687479242776
short,dist_prior_day_low_0_023332626_loc_vwap_dev_z_48_-0_85210818_dist_ema_fast_0_003809185_ret24h_-1_0786834,45504,0.5155288602402578,0.7004101963082332,0.1848813360679754,0.5530161520712009,0.7611251510822986,0.2081089990110977,0.6214018896945727,0.8253131179960448,0.20391122830147212,0.6726713532513181,0.8681898066783831,0.19551845342706498
