side,strategy_id,rows,HR30,gross_mean30,HR20,gross_mean20,HR10,gross_mean10,week_std20,month_std20,TUW20,MDD20,Sortino20
long,dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575,60216,0.7410462219761971,0.029584525144446924,0.8126868150116241,0.03505443502510417,0.8885752241780139,0.04228550974248721,0.01842210593158039,0.016207056603809684,0.3604531410916581,-0.20100687257945538,2.35444334845393
short,dist_prior_day_low_0_023332626_loc_vwap_dev_z_48_-0_85210818_dist_ema_fast_0_003809185_ret24h_-1_0786834,45504,0.7004101963082332,0.02410751844032307,0.7611251510822986,0.02779724924659578,0.8253131179960448,0.032111911672402155,0.010056033662147107,0.008675120845736134,0.36415220293724965,-0.20717733539640903,2.2553220018077145
