side,strategy_id,meta_oof_rows,matched_rows,base_score_unique,meta_score_unique,period_start,period_end
long,dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575,60216,60216,1328,1989,2023-06-22 13:00:00,2026-03-20 17:00:00
short,dist_prior_day_low_0_023332626_loc_vwap_dev_z_48_-0_85210818_dist_ema_fast_0_003809185_ret24h_-1_0786834,45504,45504,1070,1190,2024-02-05 05:00:00,2026-03-21 00:00:00
