canonical_key,trigger,location,regime,mean_net_ret,directional_mean_ret,std_net_ret,mean_within_fold_std,mean_support_pct,std_support_pct,presence_freq,presence_freq_units,sign_consistency,min_support_actual,mean_uplift,mean_baseline_ret,mean_oos_ic,p25_oos_ic,p50_oos_ic,p75_oos_ic,mean_delta_ic,positive_ic_fraction,mean_ic,ic_tstat,ic_sign_consistency,decile_spread_sharpe,mask_ic_uplift,regression_beta,regression_slope_fit,learnability_step_c_score,trade_path_quality_score,quality_stability_score,full_quality_score,composite_score,required_hurdle,hurdle_excess,n_folds,discovery_count,n_instances,display_arity,structural_depth,pipeline_stage,parent_context_key,side,rule_type,accepted,rejection_reason,preset,within_mask_ic,delta_within_mask_ic,entropy_reduction,support_objective_score,source_target,source_horizon,rule_type_class,production_classification,classification_diagnostics
(*)|(*)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top30==1&reg_atr_change_rate_ts_top40==0),*,*,reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top30==1&reg_atr_change_rate_ts_top40==0,-0.36187824606895447,0.36187824606895447,0.015506050631662199,0.23233749469121298,0.1638888888888889,0.06098471777805597,1.0,1.0,0.59375,14,,,-0.1274997682732821,-0.14178961296227038,-0.1112951817311601,-0.10510763031323278,,0.0,,,,0.417414062386188,,,,0.4186354950252149,2.5261661453347374e-05,0.4067567436466096,0.015695502579935888,0.015695502579935888,9.068055555555556e-05,0.3617875655133989,3,1,1,4,4,stage_a_context,,short,4-way,True,,production,,,,0.8412698412698412,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.36187824606895447, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.3617875655133989, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 14, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 2.5261661453347374e-05, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""min_support_actual=14 < 50"", ""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(*)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top30==1&reg_atr_change_rate_ts_top40==0&reg_atr_change_rate_ts_top70==0),*,*,reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top30==1&reg_atr_change_rate_ts_top40==0&reg_atr_change_rate_ts_top70==0,-0.36187824606895447,0.36187824606895447,0.015506050631662199,0.23233749469121298,0.1638888888888889,0.06098471777805597,1.0,1.0,0.59375,14,,,-0.1274997682732821,-0.14178961296227038,-0.1112951817311601,-0.10510763031323278,,0.0,,,,0.417414062386188,,,,0.4186354950252149,2.5261661453347374e-05,0.4067567436466096,0.015695502579935888,0.015695502579935888,9.068055555555556e-05,0.3617875655133989,3,1,1,4,4,stage_a_context,,short,4-way,True,,production,,,,0.8412698412698412,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.36187824606895447, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.3617875655133989, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 14, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 2.5261661453347374e-05, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""min_support_actual=14 < 50"", ""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(loc_dist_ema20_atr_ts_top50==0)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top30==1&reg_atr_change_rate_ts_top60==0),*,loc_dist_ema20_atr_ts_top50==0,reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top30==1&reg_atr_change_rate_ts_top60==0,-0.3407779335975647,0.3407779335975647,0.043371336481169004,0.22359631955623627,0.3083333333333333,0.12266334536566453,1.0,1.0,0.7142857142857143,22,,,-0.1565239901709045,-0.23832208498351515,-0.11595238049238145,-0.05444009051903232,,0.3333333333333333,0.09587453851582624,0.5415688670870916,0.5,0.32268926565543427,0.06139428234681971,20.158527015089657,0.00047315357446134495,0.2243974435943167,0.0005771133058172829,0.47080626699020145,-inf,-inf,0.000105125,0.3406728085975647,3,1,1,4,4,stage_a_context,,short,4-way,True,,production,0.09587453851582624,0.06139428234681971,0.16936083272881786,-inf,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3407779335975647, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.3406728085975647, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 22, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0005771133058172829, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""min_support_actual=22 < 50"", ""structural_soundness_fail: ""], ""warnings"": [], ""classification"": ""research""}"
(*)|(loc_dist_ema20_atr_ts_top80==0)|(reg_atr_change_rate_ts_band25_75==0&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top40==1),*,loc_dist_ema20_atr_ts_top80==0,reg_atr_change_rate_ts_band25_75==0&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top40==1,-0.11335605382919312,0.11335605382919312,0.0,0.12344781309366226,0.06666666666666667,0.0,0.3333333333333333,0.3333333333333333,1.0,8,,,0.21024597968109507,0.21024597968109507,0.21024597968109507,0.21024597968109507,,1.0,,,,,,,,0.500001,0.06724746558850069,0.9965243595454014,0.2637102018002599,0.2637102018002599,9.30625e-05,0.11326299132919311,1,1,1,4,4,stage_a_context,,short,4-way,False,low_support,production,,,,0.4666666666666666,primary_target,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 1, ""threshold"": 3, ""passed"": false}, ""presence_freq"": {""value"": 0.3333333333333333, ""threshold"": 0.75, ""passed"": false}, ""directional_mean_ret"": {""value"": 0.11335605382919312, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.11326299132919311, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 8, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.06724746558850069, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""n_folds=1 < 3"", ""presence_freq=0.333 < 0.75"", ""min_support_actual=8 < 50"", ""structural_soundness_fail: low_support""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(loc_dist_ema20_atr_ts_top80==0)|(reg_atr_change_rate_ts_band25_75==0&reg_atr_change_rate_ts_top30==1),*,loc_dist_ema20_atr_ts_top80==0,reg_atr_change_rate_ts_band25_75==0&reg_atr_change_rate_ts_top30==1,-0.11335605382919312,0.11335605382919312,0.0,0.12344781309366226,0.06666666666666667,0.0,0.3333333333333333,0.3333333333333333,1.0,8,,,0.21024597968109507,0.21024597968109507,0.21024597968109507,0.21024597968109507,,1.0,,,,,,,,0.500001,0.06724746558850069,0.9965243595454014,0.2637102018002599,0.2637102018002599,7.238194444444444e-05,0.11328367188474867,1,1,1,3,3,stage_a_context,,short,3-way,False,low_support,production,,,,0.4666666666666666,primary_target,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 1, ""threshold"": 3, ""passed"": false}, ""presence_freq"": {""value"": 0.3333333333333333, ""threshold"": 0.75, ""passed"": false}, ""directional_mean_ret"": {""value"": 0.11335605382919312, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.11328367188474867, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 8, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.06724746558850069, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""n_folds=1 < 3"", ""presence_freq=0.333 < 0.75"", ""min_support_actual=8 < 50"", ""structural_soundness_fail: low_support""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(loc_dist_ema20_atr_ts_top80==0)|(reg_atr_change_rate_ts_band25_75==0&reg_atr_change_rate_ts_top70==1&reg_ema20_gt_ema50_raw==0),*,loc_dist_ema20_atr_ts_top80==0,reg_atr_change_rate_ts_band25_75==0&reg_atr_change_rate_ts_top70==1&reg_ema20_gt_ema50_raw==0,-0.11335605382919312,0.11335605382919312,0.0,0.12344781309366226,0.06666666666666667,0.0,0.3333333333333333,0.3333333333333333,1.0,8,,,0.21024597968109507,0.21024597968109507,0.21024597968109507,0.21024597968109507,,1.0,,,,,,,,0.500001,0.06724746558850069,0.9965243595454014,0.2637102018002599,0.2637102018002599,9.30625e-05,0.11326299132919311,1,1,1,4,4,stage_a_context,,short,4-way,False,low_support,production,,,,0.4666666666666666,primary_target,0,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 1, ""threshold"": 3, ""passed"": false}, ""presence_freq"": {""value"": 0.3333333333333333, ""threshold"": 0.75, ""passed"": false}, ""directional_mean_ret"": {""value"": 0.11335605382919312, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.11326299132919311, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 8, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.06724746558850069, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""n_folds=1 < 3"", ""presence_freq=0.333 < 0.75"", ""min_support_actual=8 < 50"", ""structural_soundness_fail: low_support""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(loc_dist_ema20_atr_ts_top50==0)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top40==1&reg_atr_change_rate_ts_top60==0),*,loc_dist_ema20_atr_ts_top50==0,reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top40==1&reg_atr_change_rate_ts_top60==0,-0.3210679441690445,0.3210679441690445,0.06472144297147008,0.20057475566864014,0.14444444444444446,0.06815468970214054,1.0,1.0,0.875,7,,,-0.05906247722162298,-0.13743973116751554,-0.03438600931538315,0.03165301067738949,,0.3333333333333333,,,,1.157894717400585,,,,0.5043062052911622,0.0034422019120851923,0.7018593379522601,0.09899813229249924,0.09899813229249924,9.017013888888889e-05,0.3209777740301556,3,1,1,5,5,stage_a_context,,short,5-way,False,low_support,production,,,,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3210679441690445, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.3209777740301556, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 7, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0034422019120851923, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""min_support_actual=7 < 50"", ""structural_soundness_fail: low_support""], ""warnings"": [], ""classification"": ""research""}"
(*)|(loc_dist_ema20_atr_ts_top50==0)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top40==1&reg_atr_change_rate_ts_top60==0&reg_atr_change_rate_ts_top70==0),*,loc_dist_ema20_atr_ts_top50==0,reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top40==1&reg_atr_change_rate_ts_top60==0&reg_atr_change_rate_ts_top70==0,-0.3210679441690445,0.3210679441690445,0.06472144297147008,0.20057475566864014,0.14444444444444446,0.06815468970214054,1.0,1.0,0.875,7,,,-0.05906247722162298,-0.13743973116751554,-0.03438600931538315,0.03165301067738949,,0.3333333333333333,,,,1.157894717400585,,,,0.5043062052911622,0.0034422019120851923,0.7018593379522601,0.09899813229249924,0.09899813229249924,9.017013888888889e-05,0.3209777740301556,3,1,1,5,5,stage_a_context,,short,5-way,False,low_support,production,,,,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.3210679441690445, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.3209777740301556, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 7, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0034422019120851923, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""min_support_actual=7 < 50"", ""structural_soundness_fail: low_support""], ""warnings"": [], ""classification"": ""research""}"
(*)|(*)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top40==1&reg_atr_change_rate_ts_top60==1&reg_atr_change_rate_ts_top70==0),*,*,reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top40==1&reg_atr_change_rate_ts_top60==1&reg_atr_change_rate_ts_top70==0,-0.20040717720985413,0.20040717720985413,0.025497081654517573,0.1617922236522039,0.1111111111111111,0.057868518488887945,1.0,1.0,0.59375,7,,,0.11812469678315311,0.10276205058813763,0.12881989991543094,0.1388349445443075,,1.0,,,,0.015116793423765991,,,,0.216208354747743,0.00283544700683855,1.7130716342240924,0.06101430800213881,0.06101430800213881,9.017361111111112e-05,0.20031700359874302,3,1,1,5,5,stage_a_context,,short,5-way,False,low_support,production,,,,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.20040717720985413, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.20031700359874302, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 7, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.00283544700683855, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""min_support_actual=7 < 50"", ""structural_soundness_fail: low_support""], ""warnings"": [], ""classification"": ""research""}"
(*)|(*)|(reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top30==1&reg_atr_change_rate_ts_top60==1&reg_atr_change_rate_ts_top70==0),*,*,reg_atr_change_rate_ts_band25_75==1&reg_atr_change_rate_ts_top30==1&reg_atr_change_rate_ts_top60==1&reg_atr_change_rate_ts_top70==0,-0.20040717720985413,0.20040717720985413,0.025497081654517573,0.1617922236522039,0.1111111111111111,0.057868518488887945,1.0,1.0,0.59375,7,,,0.11812469678315311,0.10276205058813763,0.12881989991543094,0.1388349445443075,,1.0,,,,0.015116793423765991,,,,0.216208354747743,0.00283544700683855,1.7130716342240924,0.06101430800213881,0.06101430800213881,9.017361111111112e-05,0.20031700359874302,3,1,1,4,4,stage_a_context,,short,4-way,False,low_support,production,,,,1.0,primary_target,0,ranking,research,"{""checks"": {""n_folds"": {""value"": 3, ""threshold"": 3, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.20040717720985413, ""threshold"": 0.0, ""passed"": true}, ""hurdle_excess"": {""value"": 0.20031700359874302, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 7, ""threshold"": 50, ""passed"": false}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.00283544700683855, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""min_support_actual=7 < 50"", ""structural_soundness_fail: low_support""], ""warnings"": [], ""classification"": ""research""}"
