reason,usage_count
all_negative_path,258
group_violation_location_2,124
group_violation_location_3,36
contradiction_reg_atr_change_rate_ts_bot20,6
group_violation_location_4,4
contradiction_reg_atr_change_rate_ts_top30,3
contradiction_reg_atr_change_rate_ts_band25_75,2
contradiction_reg_atr_change_rate_ts_band20_80,1
contradiction_reg_atr_change_rate_ts_band30_70,1
contradiction_reg_atr_change_rate_ts_bot30,1
