fold_id,seed,group,used_feature_count,split_count
0,42,location,4,4
0,42,regime,11,17
1,42,location,21,137
1,42,regime,30,872
2,42,location,3,4
2,42,regime,5,7
3,42,location,3,3
3,42,regime,6,11
4,42,location,29,281
4,42,regime,34,1739
