stage_order,stage_name,gate_name,metric_name,threshold,input_count,rejected_count,passed_count
1,scorer,below_hurdle,hurdle_excess,> 0,2455,0,2392
1,scorer,low_presence,presence_freq,>= 0.4000,2455,0,2392
1,scorer,low_sign_consistency,sign_consistency,>= 0.7500,2455,0,2392
1,scorer,low_support,min_support_actual,>= 10,2455,5,2392
1,scorer,non_positive_directional_ret,directional_mean_ret,> 0,2455,0,2392
2,pruner,beats_hurdle,hurdle_excess,> 0,2392,0,0
2,pruner,is_too_broad,mean_support_pct,<= 0.2000,2392,80,0
2,pruner,is_too_narrow,mean_support_pct,>= 0.0500,2392,1367,0
2,pruner,low_sign_consistency,sign_consistency,>= 0.7500,2392,0,0
