canonical_key,display_arity,structural_depth,groups_used,regime_families_used
(*)|(*)|(reg_prior_volatility_ts_bot30==1),1,1,regime,context
(*)|(loc_dist_ema50_atr_ts_top50==0)|(reg_prior_volatility_ts_top20==1),2,2,location|regime,context
(*)|(loc_dist_ema50_atr_ts_top50==1)|(reg_prior_volatility_ts_top20==1),2,2,location|regime,context
(*)|(*)|(reg_prior_volatility_ts_bot80==1),1,1,regime,context
(*)|(*)|(reg_prior_volatility_ts_bot30==0&reg_prior_volatility_ts_top20==1),2,2,regime,context
(*)|(*)|(reg_prior_volatility_ts_bot30==1&reg_prior_volatility_ts_top20==1),2,2,regime,context
(*)|(*)|(reg_prior_volatility_ts_top50==1),1,1,regime,context
(*)|(loc_dist_ema50_atr_ts_top20==1)|(*),1,1,location,
(*)|(*)|(reg_prior_volatility_ts_band40_60==1),1,1,regime,context
(*)|(*)|(reg_prior_volatility_ts_bot50==1),1,1,regime,context
(*)|(loc_dist_ema50_atr_ts_top20==1)|(*),1,1,location,
(*)|(*)|(reg_prior_volatility_ts_band20_80==0&reg_prior_volatility_ts_top20==1),2,2,regime,context
(*)|(*)|(reg_prior_volatility_ts_band20_80==1&reg_prior_volatility_ts_top20==1),2,2,regime,context
(*)|(*)|(reg_prior_volatility_ts_top30==1),1,1,regime,context
(*)|(*)|(reg_prior_volatility_ts_top30==1),1,1,regime,context
(*)|(*)|(reg_prior_volatility_ts_band30_70==1),1,1,regime,context
(*)|(*)|(reg_prior_volatility_ts_top20==1),1,1,regime,context
(*)|(*)|(reg_prior_volatility_ts_bot20==1),1,1,regime,context
(*)|(loc_dist_ema50_atr_ts_top20==1)|(*),1,1,location,
(*)|(*)|(reg_prior_volatility_ts_bot50==0&reg_prior_volatility_ts_top20==1),2,2,regime,context
(*)|(*)|(reg_prior_volatility_ts_bot50==1&reg_prior_volatility_ts_top20==1),2,2,regime,context
(*)|(*)|(reg_prior_volatility_ts_top20==1),1,1,regime,context
(*)|(*)|(reg_prior_volatility_ts_bot20==1),1,1,regime,context
(*)|(*)|(reg_prior_volatility_ts_band20_80==1),1,1,regime,context
(*)|(loc_dist_ema50_atr_ts_band25_75==1)|(*),1,1,location,
(*)|(loc_dist_ema50_atr_ts_bot20==1)|(*),1,1,location,
(*)|(*)|(reg_prior_volatility_ts_top20==1),1,1,regime,context
(*)|(*)|(reg_prior_volatility_ts_bot80==1),1,1,regime,context
(*)|(loc_dist_ema50_atr_ts_bot70==1)|(*),1,1,location,
(*)|(*)|(reg_prior_volatility_ts_top20==1),1,1,regime,context
(*)|(*)|(reg_prior_volatility_ts_band40_60==1),1,1,regime,context
(*)|(*)|(reg_prior_volatility_ts_top20==1),1,1,regime,context
(*)|(*)|(reg_prior_volatility_ts_bot30==1),1,1,regime,context
(*)|(*)|(reg_prior_volatility_ts_top20==1),1,1,regime,context
(*)|(*)|(reg_prior_volatility_ts_top20==1),1,1,regime,context
(*)|(*)|(reg_prior_volatility_ts_top20==1),1,1,regime,context
(*)|(loc_dist_ema50_atr_ts_top20==1)|(*),1,1,location,
(*)|(*)|(reg_prior_volatility_ts_top80==1),1,1,regime,context
(*)|(*)|(reg_prior_volatility_ts_top40==1),1,1,regime,context
(*)|(*)|(reg_prior_volatility_ts_bot20==1),1,1,regime,context
(*)|(*)|(reg_prior_volatility_ts_bot20==1),1,1,regime,context
(*)|(*)|(reg_prior_volatility_ts_top30==1),1,1,regime,context
(*)|(loc_dist_ema50_atr_ts_top30==1)|(*),1,1,location,
(*)|(*)|(reg_prior_volatility_ts_bot50==1),1,1,regime,context
(*)|(*)|(reg_prior_volatility_ts_bot20==1),1,1,regime,context
(*)|(*)|(reg_prior_volatility_ts_top20==1),1,1,regime,context
