metric,value,filter_type
volume_kalman_snr_improvement,3365.8711560984775,volume
volume_kalman_noise_reduction,0.9997028232593141,volume
volume_kalman_smoothness_ratio,0.6389179317019184,volume
volume_kalman_tracking_rmse,0.07592318037491005,volume
volume_kalman_high_freq_reduction,0.2399347831889993,volume
volume_kalman_low_freq_preservation,1.0008447369679865,volume
moving_average_snr_improvement,23.199703722420736,moving
moving_average_noise_reduction,0.9559448893592545,moving
moving_average_smoothness_ratio,0.002547550634444493,moving
moving_average_tracking_rmse,0.8979287920836002,moving
moving_average_high_freq_reduction,0.5386581572615754,moving
moving_average_low_freq_preservation,1.02566919440097,moving
fisher_snr_improvement,0.07065311122330847,fisher
fisher_noise_reduction,-0.06277626873301334,fisher
fisher_smoothness_ratio,3.5525160479073605,fisher
fisher_tracking_rmse,134.7064849320162,fisher
fisher_high_freq_reduction,-0.9749086095184265,fisher
fisher_low_freq_preservation,0.0653220608458506,fisher
