,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,blended_mu,blended_std,blended_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
chop_score,0.123214215,0.054951183,0.27627692,122.0,39.085377,380.80737,146.97449,54.443996,396.76553,0.05272136,0.02095265,0.13265824,0.31070626,0.1269971,0.76016206,1.0,1.0,0.047257524,1.0,0.75609756,1.0,0.0551596,1.0,1.6666666,0.89178234,1.0
vol_scale,0.081259534,0.049989015,0.13209125,105.333336,51.65484,214.79326,126.08688,82.23674,193.31874,0.04192508,0.028419191,0.061849486,0.24625641,0.12711002,0.4770845,6.0,0.15284686,0.44725108,0.6560577,0.31707317,0.6666667,0.056336455,4.0,4.6666665,0.54291683,2.0
kf_ret1h_mean,0.057199012,0.017725378,0.18457867,82.833336,22.81386,300.75406,99.561676,36.804745,269.32742,0.03163431,0.01162894,0.086055085,0.20081209,0.06421084,0.62801695,3.0,0.392803,0.57255185,0.45881078,0.75609756,0.6666667,0.0,5.0,1.6666666,0.54137033,3.0
amihud_z,0.058261923,0.029335734,0.115710475,75.833336,35.333725,162.7537,91.98505,48.519165,174.38982,0.030573009,0.016494585,0.05666762,0.18150282,0.08220484,0.40074614,8.5,0.0,0.57255185,0.46752447,0.24390244,0.6666667,0.0,5.0,5.1666665,0.41811407,4.0
vol_regime_z,0.048534233,0.030448088,0.077363536,61.0,27.562052,135.00447,81.55705,55.89337,119.00433,0.02574423,0.018835366,0.035187285,0.1653723,0.099443235,0.27501112,18.0,0.42689192,0.0,0.3877774,0.3902439,0.33333334,0.22824712,8.0,4.1666665,0.37225088,5.0
vol_z_30_calm,0.025753329,0.0037838216,0.17528151,45.166668,5.1126204,399.01804,46.193607,6.036221,353.50748,0.013830867,0.0019215415,0.099551775,0.09339055,0.017268095,0.5050814,2.0,0.45933023,0.36942035,0.2010207,0.73170733,0.0,0.22056364,15.5,1.8333334,0.30451638,6.0
asset_vol_level,0.037376817,0.013845099,0.10090405,59.666668,19.644054,181.23097,66.66161,23.07854,192.5499,0.020294596,0.0072250073,0.057006255,0.14114189,0.06783878,0.2936526,8.5,0.5690461,0.27902716,0.29630947,0.19512194,0.5,0.2785008,7.0,5.5,0.30067575,7.0
grind_score,0.01714355,0.0030776248,0.09549614,28.666666,2.3570225,348.6508,29.085184,2.262814,373.84778,0.008527767,0.00057396194,0.1267032,0.058888018,0.014869556,0.23321466,5.0,0.3201546,0.57255185,0.13043818,0.73170733,0.0,0.91675067,22.5,1.8333334,0.30050534,8.0
kf_vol_ratio_mean,0.03906522,0.024690252,0.061809465,60.0,30.89768,116.5136,63.317955,36.21168,110.71465,0.019571517,0.011879103,0.032245215,0.13877991,0.099881,0.1928281,19.0,0.5338508,0.57255185,0.3101509,0.3902439,0.16666667,0.051771816,13.5,4.1666665,0.29573256,9.0
rng_z,0.035221044,0.010511069,0.11802055,51.5,11.926861,222.3762,61.243168,16.511446,227.15912,0.018940557,0.005360758,0.06692051,0.124176234,0.039294038,0.39241925,4.0,0.0,0.57255185,0.27863654,0.3902439,0.16666667,0.29670972,9.0,4.1666665,0.29064655,10.0
kf_innov_var,0.004547691,0.0013351674,0.015489813,7.5,2.362908,23.805414,7.74062,2.371604,25.26442,0.0023965396,0.00064479606,0.008907316,0.014368039,0.008378355,0.024639748,27.0,0.0,0.57255185,0.027177982,0.902439,0.0,1.0,29.0,0.6666667,0.29055765,11.0
volume_entropy_12,0.049247872,0.03064697,0.07913843,71.0,35.08086,143.6966,74.89075,39.47454,142.08206,0.023278613,0.012630017,0.042905238,0.14921965,0.07771562,0.28651258,14.5,0.28772748,0.698271,0.39362776,0.07317073,0.33333334,0.0,9.0,6.3333335,0.28478795,12.0
regime_stability_24h,0.041803714,0.031671554,0.055177286,63.666668,37.752117,107.369995,64.315315,44.53746,92.87595,0.020764792,0.01550616,0.027806794,0.13831513,0.11453939,0.16702616,22.0,0.97828037,1.0,0.33260092,0.17073171,0.33333334,0.11084153,15.0,5.6666665,0.28115553,13.0
spike_score,0.036569543,0.011633499,0.114955224,50.0,9.380832,266.5009,55.890667,21.715622,143.84882,0.017691685,0.007113374,0.044001024,0.11059877,0.035691865,0.34271362,10.0,0.25974518,0.57255185,0.28969148,0.36585367,0.16666667,0.0,10.5,4.3333335,0.27579376,14.0
asset_atr_level,0.029651029,0.010983015,0.08004937,48.833332,13.158225,181.23222,52.482883,14.687042,187.54306,0.01613223,0.005110536,0.05092398,0.10554164,0.029774169,0.3741175,11.0,0.4620809,0.6838845,0.23297384,0.41463414,0.16666667,0.07624618,13.5,4.0,0.26060647,15.0
liq_low,0.0052158465,0.0056947237,0.0031848259,6.8333335,6.792561,4.5829,6.810766,7.417151,4.169304,0.0021526334,0.0023842896,0.0012956564,0.011103686,0.008947327,0.009186493,30.0,0.0,0.57255185,0.03265549,0.7804878,0.0,0.89068234,29.5,1.5,0.25761658,16.0
rvol_hod_base,0.027642684,0.009599691,0.07959819,44.166668,14.960133,130.39287,49.653122,19.713255,125.06471,0.015266246,0.006173167,0.03775344,0.099909686,0.033799075,0.2953319,16.0,0.08559953,0.6091701,0.21650954,0.41463414,0.16666667,0.11614944,13.5,4.0,0.25354624,17.0
time_since_peak_12h,0.02452433,0.006470805,0.092947125,46.0,7.3484693,287.95114,45.59413,7.225449,287.7087,0.013311122,0.0021980668,0.0806099,0.09583067,0.035439786,0.25913015,7.0,0.6324404,0.6675737,0.19094543,0.5365854,0.0,0.24942407,13.5,3.1666667,0.25163755,18.0
t_trail_proxy,0.0012324733,0.00247896,0.00020425105,2.1666667,4.412734,0.35461345,1.2954128,2.6960707,0.20747407,0.0004206528,0.00087085296,6.773006e-05,0.0,0.0,0.0,31.0,0.0,0.57255185,0.0,0.9512195,0.0,0.26132318,31.0,0.33333334,0.25087103,19.0
kf_atr_mean,0.031225435,0.011499477,0.08478889,49.833332,15.159339,163.81725,50.08571,15.983366,156.94931,0.015402786,0.005260821,0.045096733,0.105368316,0.04953776,0.2241216,12.0,0.3745555,0.3250979,0.24588075,0.3902439,0.0,0.1695685,14.0,4.1666665,0.2412738,20.0
amihud_illiq,0.017845329,0.0042340867,0.075212374,30.333334,6.209312,148.18246,31.425344,6.775737,145.74832,0.009473254,0.002052629,0.043720778,0.06421207,0.02246678,0.18352382,14.5,0.0,0.57255185,0.13619132,0.5609756,0.0,0.3112936,22.0,3.0,0.23071381,21.0
base_prob_x_entropy,0.017934106,0.0057484633,0.05595098,26.833334,6.9621997,103.419586,31.22548,9.345375,104.332954,0.009395549,0.0027691675,0.031878296,0.06307975,0.024578461,0.16189195,21.0,0.0,0.57255185,0.13691913,0.5365854,0.0,0.35375232,20.5,3.1666667,0.22713949,22.0
impact_z,0.015404545,0.008844949,0.02682887,19.333334,8.239471,45.364292,23.460463,11.752437,46.83227,0.0075484533,0.0039365087,0.01447454,0.048706155,0.030408189,0.07801483,26.0,0.0,0.57255185,0.11618191,0.4390244,0.0,0.4107986,26.5,3.8333333,0.19419608,23.0
time_since_trough_12h,0.015274179,0.020740585,0.011248504,24.5,29.443449,20.38654,21.725399,25.252602,18.690865,0.006726036,0.008132516,0.0055627995,0.038683604,0.04375017,0.03420378,29.0,0.0,0.57255185,0.11511318,0.34146342,0.16666667,0.4035251,28.0,4.5,0.19385436,24.0
vol_high,0.023335237,0.009051438,0.060159862,37.5,16.132265,87.17002,41.255344,15.706192,108.36512,0.012515546,0.0047957464,0.03266205,0.083345935,0.027204152,0.2553487,20.0,0.023694314,0.57255185,0.18119732,0.2195122,0.16666667,0.129739,18.5,5.3333335,0.18602353,25.0
vol_state,0.029472264,0.0132198585,0.06570526,45.166668,16.272848,125.363914,50.22028,18.790205,134.22293,0.01544253,0.0058178273,0.040989824,0.11049939,0.0639329,0.19098328,17.0,0.021579418,0.5819807,0.23150834,0.07317073,0.16666667,0.16564642,14.0,6.3333335,0.1789046,26.0
regime_transition_entropy_48h,0.02540167,0.006543242,0.09861242,42.666668,11.897712,153.00793,44.02331,15.2068615,127.445885,0.013358193,0.004727711,0.037743703,0.09007236,0.03606445,0.22495921,13.0,0.7221663,0.59426653,0.19813782,0.19512194,0.0,0.2228659,14.0,5.5,0.1688996,27.0
vol_regime_switch_12h,0.020266304,0.009370025,0.04383372,38.666668,15.860503,94.26631,36.655167,15.876343,84.629135,0.010906176,0.005015518,0.023715332,0.07218823,0.025099622,0.2076183,24.0,0.0,0.57255185,0.15603836,0.24390244,0.0,0.22149639,20.0,5.1666665,0.15787153,28.0
