metric,value,filter_type
volume_kalman_snr_improvement,123.3323752103892,volume
volume_kalman_noise_reduction,0.9918144301837334,volume
volume_kalman_smoothness_ratio,55.167179397136934,volume
volume_kalman_tracking_rmse,1060.041925950385,volume
volume_kalman_high_freq_reduction,-1.0,volume
volume_kalman_low_freq_preservation,1.0033635775438494,volume
moving_average_snr_improvement,349.00370857556004,moving
moving_average_noise_reduction,0.9971407846046644,moving
moving_average_smoothness_ratio,0.0025613686080614936,moving
moving_average_tracking_rmse,627.0678090695983,moving
moving_average_high_freq_reduction,0.6687530562294467,moving
moving_average_low_freq_preservation,0.9980631532365313,moving
fisher_snr_improvement,1.0531019061329195e-08,fisher
fisher_noise_reduction,-1.3787984964874767e-06,fisher
fisher_smoothness_ratio,1.0267512397668878e-05,fisher
fisher_tracking_rmse,102701.16969148112,fisher
fisher_high_freq_reduction,0.9999926679394466,fisher
fisher_low_freq_preservation,8.992992421368964e-09,fisher
