feature_name,group,regime_family,interaction_group
reg_prior_volatility_ts_top20,regime,context,regime:context
loc_dist_ema50_atr_ts_top20,location,,location
reg_prior_volatility_ts_bot20,regime,context,regime:context
loc_dist_ema50_atr_ts_bot20,location,,location
reg_prior_volatility_ts_top30,regime,context,regime:context
loc_dist_ema50_atr_ts_top30,location,,location
reg_prior_volatility_ts_bot30,regime,context,regime:context
loc_dist_ema50_atr_ts_bot30,location,,location
reg_prior_volatility_ts_top40,regime,context,regime:context
loc_dist_ema50_atr_ts_top40,location,,location
reg_prior_volatility_ts_bot40,regime,context,regime:context
loc_dist_ema50_atr_ts_bot40,location,,location
reg_prior_volatility_ts_top50,regime,context,regime:context
loc_dist_ema50_atr_ts_top50,location,,location
reg_prior_volatility_ts_bot50,regime,context,regime:context
loc_dist_ema50_atr_ts_bot50,location,,location
reg_prior_volatility_ts_top60,regime,context,regime:context
loc_dist_ema50_atr_ts_top60,location,,location
reg_prior_volatility_ts_bot60,regime,context,regime:context
loc_dist_ema50_atr_ts_bot60,location,,location
reg_prior_volatility_ts_top70,regime,context,regime:context
loc_dist_ema50_atr_ts_top70,location,,location
reg_prior_volatility_ts_bot70,regime,context,regime:context
loc_dist_ema50_atr_ts_bot70,location,,location
reg_prior_volatility_ts_top80,regime,context,regime:context
loc_dist_ema50_atr_ts_top80,location,,location
reg_prior_volatility_ts_bot80,regime,context,regime:context
loc_dist_ema50_atr_ts_bot80,location,,location
reg_prior_volatility_ts_band20_80,regime,context,regime:context
loc_dist_ema50_atr_ts_band20_80,location,,location
reg_prior_volatility_ts_band25_75,regime,context,regime:context
loc_dist_ema50_atr_ts_band25_75,location,,location
reg_prior_volatility_ts_band30_70,regime,context,regime:context
loc_dist_ema50_atr_ts_band30_70,location,,location
reg_prior_volatility_ts_band40_60,regime,context,regime:context
loc_dist_ema50_atr_ts_band40_60,location,,location
reg_rolling_std_4h_ts_top20,regime,volatility,regime:volatility
loc_loc_vwap_dev_z_24_ts_top20,location,,location
reg_rolling_std_4h_ts_bot20,regime,volatility,regime:volatility
loc_loc_vwap_dev_z_24_ts_bot20,location,,location
reg_rolling_std_4h_ts_top30,regime,volatility,regime:volatility
loc_loc_vwap_dev_z_24_ts_top30,location,,location
reg_rolling_std_4h_ts_bot30,regime,volatility,regime:volatility
loc_loc_vwap_dev_z_24_ts_bot30,location,,location
reg_rolling_std_4h_ts_top40,regime,volatility,regime:volatility
loc_loc_vwap_dev_z_24_ts_top40,location,,location
reg_rolling_std_4h_ts_bot40,regime,volatility,regime:volatility
loc_loc_vwap_dev_z_24_ts_bot40,location,,location
reg_rolling_std_4h_ts_top50,regime,volatility,regime:volatility
loc_loc_vwap_dev_z_24_ts_top50,location,,location
reg_rolling_std_4h_ts_bot50,regime,volatility,regime:volatility
loc_loc_vwap_dev_z_24_ts_bot50,location,,location
reg_rolling_std_4h_ts_top60,regime,volatility,regime:volatility
loc_loc_vwap_dev_z_24_ts_top60,location,,location
reg_rolling_std_4h_ts_bot60,regime,volatility,regime:volatility
loc_loc_vwap_dev_z_24_ts_bot60,location,,location
reg_rolling_std_4h_ts_top70,regime,volatility,regime:volatility
loc_loc_vwap_dev_z_24_ts_top70,location,,location
reg_rolling_std_4h_ts_bot70,regime,volatility,regime:volatility
loc_loc_vwap_dev_z_24_ts_bot70,location,,location
reg_rolling_std_4h_ts_top80,regime,volatility,regime:volatility
loc_loc_vwap_dev_z_24_ts_top80,location,,location
reg_rolling_std_4h_ts_bot80,regime,volatility,regime:volatility
loc_loc_vwap_dev_z_24_ts_bot80,location,,location
reg_rolling_std_4h_ts_band20_80,regime,volatility,regime:volatility
loc_loc_vwap_dev_z_24_ts_band20_80,location,,location
reg_rolling_std_4h_ts_band25_75,regime,volatility,regime:volatility
loc_loc_vwap_dev_z_24_ts_band25_75,location,,location
reg_rolling_std_4h_ts_band30_70,regime,volatility,regime:volatility
loc_loc_vwap_dev_z_24_ts_band30_70,location,,location
reg_rolling_std_4h_ts_band40_60,regime,volatility,regime:volatility
loc_loc_vwap_dev_z_24_ts_band40_60,location,,location
reg_trend_acceleration_ts_top20,regime,trend,regime:trend
loc_loc_range_pos_24_ts_top20,location,,location
reg_trend_acceleration_ts_bot20,regime,trend,regime:trend
loc_loc_range_pos_24_ts_bot20,location,,location
reg_trend_acceleration_ts_top30,regime,trend,regime:trend
loc_loc_range_pos_24_ts_top30,location,,location
reg_trend_acceleration_ts_bot30,regime,trend,regime:trend
loc_loc_range_pos_24_ts_bot30,location,,location
reg_trend_acceleration_ts_top40,regime,trend,regime:trend
loc_loc_range_pos_24_ts_top40,location,,location
reg_trend_acceleration_ts_bot40,regime,trend,regime:trend
loc_loc_range_pos_24_ts_bot40,location,,location
reg_trend_acceleration_ts_top50,regime,trend,regime:trend
loc_loc_range_pos_24_ts_top50,location,,location
reg_trend_acceleration_ts_bot50,regime,trend,regime:trend
loc_loc_range_pos_24_ts_bot50,location,,location
reg_trend_acceleration_ts_top60,regime,trend,regime:trend
loc_loc_range_pos_24_ts_top60,location,,location
reg_trend_acceleration_ts_bot60,regime,trend,regime:trend
loc_loc_range_pos_24_ts_bot60,location,,location
reg_trend_acceleration_ts_top70,regime,trend,regime:trend
loc_loc_range_pos_24_ts_top70,location,,location
reg_trend_acceleration_ts_bot70,regime,trend,regime:trend
loc_loc_range_pos_24_ts_bot70,location,,location
reg_trend_acceleration_ts_top80,regime,trend,regime:trend
loc_loc_range_pos_24_ts_top80,location,,location
reg_trend_acceleration_ts_bot80,regime,trend,regime:trend
loc_loc_range_pos_24_ts_bot80,location,,location
reg_trend_acceleration_ts_band20_80,regime,trend,regime:trend
loc_loc_range_pos_24_ts_band20_80,location,,location
reg_trend_acceleration_ts_band25_75,regime,trend,regime:trend
loc_loc_range_pos_24_ts_band25_75,location,,location
reg_trend_acceleration_ts_band30_70,regime,trend,regime:trend
loc_loc_range_pos_24_ts_band30_70,location,,location
reg_trend_acceleration_ts_band40_60,regime,trend,regime:trend
loc_loc_range_pos_24_ts_band40_60,location,,location
loc_loc_pullback_depth_24_ts_top20,location,,location
loc_loc_pullback_depth_24_ts_bot20,location,,location
loc_loc_pullback_depth_24_ts_top30,location,,location
loc_loc_pullback_depth_24_ts_bot30,location,,location
loc_loc_pullback_depth_24_ts_top40,location,,location
loc_loc_pullback_depth_24_ts_bot40,location,,location
loc_loc_pullback_depth_24_ts_top50,location,,location
loc_loc_pullback_depth_24_ts_bot50,location,,location
loc_loc_pullback_depth_24_ts_top60,location,,location
loc_loc_pullback_depth_24_ts_bot60,location,,location
loc_loc_pullback_depth_24_ts_top70,location,,location
loc_loc_pullback_depth_24_ts_bot70,location,,location
loc_loc_pullback_depth_24_ts_top80,location,,location
loc_loc_pullback_depth_24_ts_bot80,location,,location
loc_loc_pullback_depth_24_ts_band20_80,location,,location
loc_loc_pullback_depth_24_ts_band25_75,location,,location
loc_loc_pullback_depth_24_ts_band30_70,location,,location
loc_loc_pullback_depth_24_ts_band40_60,location,,location
