canonical_key,source_tree,source_leaf,source_target,source_horizon,side,count,support_pct,mean_net_ret,shrunk_mean_net_ret,mean_uplift,shrunk_mean_uplift,tstat_net_ret,presence_freq,sign_consistency,support_score,diversity_score,cheap_score,rejection_reason,mean_baseline_ret,std_support_pct,unique_symbol_count,unique_day_count,max_single_symbol_share,max_single_day_share,discovery_count,accepted
(*)|(*)|(downside_semivariance_24<=0.0000058598821&vol_asym_6<=0.34678617&vol_shock_asym_4_12>-0.94943571&volume_autocorr_48<=1.2979968&vov_mad_20<=-0.279549&zr_12h_x_range_z_48h>-0.44099939),45,7,atr_norm_returns_target,5,long,149,0.12293729372937294,0.006939499570219308,0.0025914421953951803,0.006839891803569932,0.002554245310105062,5.220464802573689,1.0,1.0,0.9884488448844884,0.5818791946308726,0.7782416931875293,a1_symbol_diversity_too_low,-0.0009502330258955644,0.04515669515669516,3,24,0.436241610738255,0.12751677852348994,1,False
(*)|(*)|(body_pct>1.3882636&vov_fast_slow_ratio<=0.36360443),18,2,atr_norm_returns_target,5,long,171,0.14108910891089108,0.005478784703371818,0.0022253496063576743,0.00864395771267051,0.003510966196832915,5.4778186790700305,1.0,1.0,0.9099009900990098,0.5076023391812866,0.7695906943071679,a1_symbol_diversity_too_low|a1_symbol_concentration_too_high,-0.0009502330258955644,0.04846866096866096,3,14,0.5847953216374269,0.15789473684210525,1,False
(*)|(*)|(autocorr_6h<=0.038506091&ffd_rv_12_06<=0.0032626709&session_progress<=0.5625&zr_6h_x_volume_z_48h>-0.83179402),36,8,atr_norm_returns_target,5,long,161,0.13283828382838284,0.005189066718083731,0.0020327001012444786,0.009271227011414501,0.0036317945227195493,3.953216510715962,1.0,1.0,0.9561056105610561,0.6105590062111802,0.7560884592480657,a1_symbol_diversity_too_low,-0.0009502330258955644,0.03126780626780627,3,27,0.37888198757763975,0.09937888198757763,1,False
(*)|(*)|(be_vol_units<=-0.32907692&press_12>1.4329444&realized_vol_minus_vol_state<=0.23476599&vov_mad_20<=0.48354885),15,10,atr_norm_returns_target,5,long,180,0.1485148514851485,0.005079249209827847,0.002126197343648866,0.006360010030984085,0.0026623297804119427,4.28945307718388,1.0,1.0,0.8683168316831682,0.5972222222222223,0.7485982718795489,a1_symbol_diversity_too_low,-0.0009502330258955644,0.03625356125356125,3,19,0.40555555555555556,0.13333333333333333,1,False
(*)|(*)|(mkt_rv_ratio<=-0.078048594&trend_stack_6_12_24>1.1685915&vp_accept_hvn_touchrate<=0.70833337),49,6,atr_norm_returns_target,5,long,170,0.14026402640264027,0.00457075834274292,0.0018500688530149916,0.004676439123862007,0.0018928444072774787,3.1123200691805497,1.0,1.0,0.9145214521452145,0.5941176470588236,0.7417966128326766,a1_symbol_diversity_too_low,-0.0009502330258955644,0.0007300569800569728,3,14,0.4117647058823529,0.17647058823529413,1,False
(*)|(*)|(shock_rel<=0.98719686&time_since_peak_12h>1.5&variance_ratio_10_48<=0.85442883&vol_regime_switch_12h<=1.1068653&volume_entropy_24<=0.36875558&vov_fast_slow_ratio<=0.54543662),7,6,atr_norm_returns_target,5,long,143,0.11798679867986799,0.005577268300356565,0.002029387702165366,0.007497089766081946,0.0027279486935107337,4.8775986207410424,1.0,1.0,0.9607260726072606,0.6216783216783217,0.7409718017561633,a1_symbol_diversity_too_low,-0.0009502330258955644,0.01433404558404558,3,26,0.35664335664335667,0.1258741258741259,1,False
(*)|(*)|(dir_path_long_2h>0.19962183&kf_score_mean<=-0.25348595&perm_entropy_ret_24<=-0.73562211),27,1,atr_norm_returns_target,5,long,210,0.17326732673267325,0.006577808516366141,0.003002912583558456,0.008178985298424767,0.003733884592759133,6.131219390345117,1.0,1.0,0.42970297029702975,0.5714285714285715,0.7385016698764753,a1_symbol_diversity_too_low,-0.0009502330258955644,0.005662393162393156,3,19,0.45714285714285713,0.14285714285714285,1,False
(*)|(dist_rolling_7d_high<=0.20928438)|(ffd_ema_spread_06>-0.0020511714&pullback_48>-0.0024718025&vov_fast_slow_ratio<=-0.14493078),41,5,atr_norm_returns_target,5,long,142,0.11716171617161716,0.004716759416419016,0.0017086220334987252,0.005844462616984103,0.0021171267643156698,3.252954834977651,1.0,1.0,0.9561056105610561,0.5535211267605634,0.7232495401615333,a1_symbol_diversity_too_low,-0.0009502330258955644,0.013283475783475787,3,20,0.49295774647887325,0.1267605633802817,1,False
(*)|(*)|(variance_ratio_10_48<=0.85442883&vol_regime_switch_12h<=1.1068653&volume_entropy_24>0.36875558&vov_fast_slow_ratio<=0.54543662&zr_6h>0.20562842),7,8,atr_norm_returns_target,5,long,169,0.13943894389438943,0.004346552685167662,0.0017531441617979354,0.0054032937635957075,0.002179371470280846,3.734965576687151,1.0,1.0,0.9191419141914192,0.5721893491124261,0.7152314663636274,a1_symbol_diversity_too_low,-0.0009502330258955644,0.013016381766381764,3,23,0.4556213017751479,0.13609467455621302,1,False
(*)|(*)|(asset_atr_level>-1.2705172&entropy_jump_24h>-0.47576675&ext_atrExp<=-0.075848788&ffd_rv_12_06<=0.0035907982),19,5,atr_norm_returns_target,5,long,132,0.10891089108910891,0.006569935516877608,0.00227023949797865,0.007848357944000675,0.0027119980330054688,5.0181845165063095,1.0,1.0,0.9099009900990098,0.09999999999999998,0.7152277800425739,a1_symbol_diversity_too_low|a1_symbol_concentration_too_high,-0.0009502330258955644,0.07724358974358975,1,10,1.0,0.18181818181818182,1,False
