fold_id,seed,regime_family,gain,split
0,42,basis,40.158398,19.0
0,42,compression,147.97559,33.0
0,42,context,142.03067,28.0
0,42,cross_asset,514.78845,55.0
0,42,cross_asset_orderbook,411.17526,48.0
0,42,cross_sectional,147.0769,23.0
0,42,liquidity,314.41312,59.0
0,42,mark_index,93.53918,29.0
0,42,momentum,70.70242,17.0
0,42,orderbook,37.59369,8.0
0,42,path_structure,573.0787,102.0
0,42,trend,163.99048,38.0
0,42,volatility,191.11977,40.0
0,42,volatility_term_structure,453.48026,60.0
1,42,basis,52.193382,34.0
1,42,compression,195.71497,55.0
1,42,context,84.358475,29.0
1,42,cross_asset,640.78503,86.0
1,42,cross_asset_orderbook,501.25015,77.0
1,42,cross_sectional,126.10394,32.0
1,42,liquidity,420.4969,107.0
1,42,mark_index,115.545784,53.0
1,42,momentum,47.19678,9.0
1,42,orderbook,79.721985,21.0
1,42,path_structure,557.53876,118.0
1,42,trend,261.23254,65.0
1,42,volatility,274.20462,79.0
1,42,volatility_term_structure,406.81735,87.0
2,42,basis,8.653106,11.0
2,42,compression,92.37906,24.0
2,42,context,31.575867,8.0
2,42,cross_asset,477.7036,43.0
2,42,cross_asset_orderbook,178.12839,25.0
2,42,cross_sectional,79.15928,14.0
2,42,liquidity,147.7393,41.0
2,42,mark_index,104.42449,29.0
2,42,momentum,8.6067,6.0
2,42,orderbook,31.699253,8.0
2,42,path_structure,279.432,51.0
2,42,trend,110.745636,24.0
2,42,volatility,98.70183,28.0
2,42,volatility_term_structure,265.4545,37.0
3,42,basis,255.00534,175.0
3,42,compression,441.99994,182.0
3,42,context,212.15161,88.0
3,42,cross_asset,627.2128,176.0
3,42,cross_asset_orderbook,488.32867,154.0
3,42,cross_sectional,372.12152,143.0
3,42,liquidity,721.0441,330.0
3,42,mark_index,384.26666,203.0
3,42,momentum,148.02846,57.0
3,42,orderbook,139.53635,61.0
3,42,path_structure,959.1067,341.0
3,42,trend,597.4961,171.0
3,42,volatility,686.17004,273.0
3,42,volatility_term_structure,805.4689,277.0
4,42,basis,190.10889,103.0
4,42,compression,364.40723,142.0
4,42,context,289.5565,80.0
4,42,cross_asset,663.4697,123.0
4,42,cross_asset_orderbook,330.7832,94.0
4,42,cross_sectional,181.64632,65.0
4,42,liquidity,360.6049,163.0
4,42,mark_index,283.18555,130.0
4,42,momentum,67.59195,33.0
4,42,orderbook,60.075092,27.0
4,42,path_structure,672.7138,212.0
4,42,trend,362.02414,100.0
4,42,volatility,380.9337,141.0
4,42,volatility_term_structure,519.2043,163.0
