fold_id,seed,regime_family,gain,split
0,42,compression,4.119,1.0
0,42,context,0.948966,3.0
0,42,liquidity,1.3478767,2.0
0,42,momentum,0.8262646,2.0
0,42,path_structure,10.80125,7.0
0,42,trend,6.565177,5.0
0,42,volatility,2.0592442,7.0
0,42,volatility_term_structure,9.5102215,4.0
1,42,compression,15.058546,33.0
1,42,context,6.0513296,9.0
1,42,liquidity,29.73779,36.0
1,42,momentum,8.608107,9.0
1,42,path_structure,47.915565,52.0
1,42,trend,34.42236,42.0
1,42,volatility,28.449184,36.0
1,42,volatility_term_structure,28.545275,44.0
2,42,compression,1.1236941,2.0
2,42,context,2.716467,3.0
2,42,liquidity,3.67969,1.0
2,42,path_structure,5.892762,6.0
2,42,trend,4.867323,4.0
2,42,volatility,14.025949,8.0
2,42,volatility_term_structure,4.099037,7.0
