within_leaf_mean_ic,within_leaf_positive_ic_fraction,within_leaf_mean_top_quantile_spread,within_leaf_mean_edge_uplift,within_leaf_hit_lift,within_leaf_valid_folds,within_leaf_future_edge_learnability_score,learnability_definition,canonical_key
0.10795593147224661,1.0,0.005288222720520376,0.0030097956780722503,0.029112599985959952,5,0.8723621088327715,within_leaf_future_edge,(*)|(dist_ema200_atr>-0.035324086&dist_range_mid_atr<=0.0018652943)|(donchian_zone_1d_atr>0.10905695&mark_perp_dislocation>-0.000045885852)
0.13558668286922826,0.8,0.005852341479794773,0.0037169354285701275,0.07830669706352865,5,0.9265349891915017,within_leaf_future_edge,(*)|(dist_ema200_atr<=0.014993349&dist_range_mid_atr>-0.00092359335&oiw_z_delta_entry_dist_14d_atr>-0.97919768)|(mark_perp_dislocation>0.00065656967)
0.033421469508991816,0.6,0.0009254025097879499,0.0003480357141633049,-0.002322108704574055,5,0.39946936986608916,within_leaf_future_edge,(*)|(zscore_price_200>-0.38404167)|(bollinger_band_width<=0.0029939318&mark_vs_perp_bps>0.14110425)
0.06893453105827846,1.0,0.004317953688758137,0.0022340071103653684,-0.01262725232121309,5,0.8047289007925688,within_leaf_future_edge,(*)|(dist_range_mid_atr>-0.00090216298)|(mark_perp_dislocation>0.0022563441&ob_spread_z_24h>-0.8416605)
0.04296315133040294,0.8,0.003152205497803733,0.0016239382146730325,-0.023370722272830824,5,0.6803926329833124,within_leaf_future_edge,(*)|(dist_local_swing<=0.003300041)|(mark_perp_dislocation>0.0041760015&mark_vs_perp_bps>-1.7346251)
0.026728210302798677,0.8,0.0030130593868383823,0.0020198793973058423,-0.00533581332534625,5,0.645753388145192,within_leaf_future_edge,(*)|(dist_local_swing<=0.039999485)|(asset_funding_rate_mean_15d<=-0.00000000000000000000000000000000001&mark_perp_dislocation>0.002629421)
0.05180257999428828,0.8,0.0008507594370598587,0.0006608021663449233,0.012509115706926666,5,0.5272861741585945,within_leaf_future_edge,(*)|(*)|(funding_mean_10d_robust_z<=-0.021531388&log_oi_to_volume_1d<=3.3398023&mark_perp_dislocation>0.0010966789)
0.07816027405153739,0.8,0.00238902448691895,0.0020160001677641546,0.02674375567401387,5,0.7710956110338487,within_leaf_future_edge,(*)|(*)|(dist_funding_pressure_price_96h_atr>-2.0534267&funding_mean_15d_robust_z<=0.063144073&log_oi_to_volume_7d<=40.145004&mark_perp_dislocation>0.00001472364)
0.05859728616656247,0.8,0.00388756184132079,0.002131688372156303,-0.029838713717135833,5,0.7631527748367192,within_leaf_future_edge,(*)|(*)|(asset_vol_level_pct<=0.38238361&mark_vs_perp_bps>0.2193367&xasset_ob_liquidity_peer_resid>-0.75408667)
0.12643679307621805,1.0,0.00679988887609016,0.004238328416193783,0.02205122373549039,5,0.876829951985646,within_leaf_future_edge,(*)|(*)|(mark_perp_dislocation>0.0020942169&ob_depth_mkt_resid<=-0.33579728)
0.04460463679478123,0.8,0.001977581960374076,0.0009714194031349687,-0.011845926266788109,5,0.6012620005780756,within_leaf_future_edge,(*)|(oiw_pos_delta_entry_dist_7d_atr<=-0.00000000000000000000000000000000001)|(log_oi_to_volume_7d<=1.1897656&mark_perp_dislocation>0.0030414509)
0.035387651257201,1.0,0.0022531595315007013,0.0015480100091768937,-0.04678869053169502,5,0.6553982227569325,within_leaf_future_edge,(*)|(*)|(dist_oiw_intensity_96h_atr<=-2.0368667&dist_oiw_signed_delta_12h_atr<=0.58120662&mark_perp_dislocation>0.0013572475)
0.06816181040022315,0.8,0.0025488834913333694,0.0019053253699355954,0.02338241324911101,5,0.7670200816797138,within_leaf_future_edge,(*)|(dist_local_swing<=0.072449684)|(mark_vs_perp_bps>2.0029001&ob_spread_z_24h<=-0.60688841)
0.0949350510510978,1.0,0.004223467956544487,0.0015900673770598672,-0.011666394692544125,5,0.7750320833803613,within_leaf_future_edge,(*)|(*)|(asset_vol_level_pct<=0.43658793&mark_perp_dislocation>0.004132058)
0.040245044638512494,1.0,0.0046883407109461666,0.00256277145265577,-0.013912561642861554,5,0.7550774815590849,within_leaf_future_edge,(*)|(*)|(asset_funding_rate_mean_3d<=-0.0000019748923&mark_perp_dislocation>0.0032595047&trend_acceleration>-0.68112344)
0.09222080312519498,0.8,0.004173244388416332,0.002534939721761432,-0.03359609544721256,5,0.7830377961987182,within_leaf_future_edge,(*)|(zscore_price_200<=-0.61086172)|(mark_perp_dislocation>0.001362011&trend_acceleration>-0.56409657)
0.0954249777774239,1.0,0.004452913065299693,0.0019445979589582062,0.029917931551402745,5,0.8390641806447395,within_leaf_future_edge,(*)|(dist_ma100_atr>-0.0087923659)|(asset_vol_level_pct<=0.6250869&log_oi_to_volume_7d<=1.2654138&mark_vs_perp_bps>-0.69440275)
0.09412327427351219,0.8,0.004825268835962812,0.0030876823185897245,-0.0063820957491134925,5,0.7985724544564028,within_leaf_future_edge,(*)|(zscore_price_200<=-0.74999988)|(mark_perp_dislocation>0.0028327124)
0.036450253307830804,1.0,0.002007323930683509,0.0010170987879727946,0.015860951300104287,5,0.6347432567424258,within_leaf_future_edge,(*)|(dist_prior_day_low<=0.082539923)|(amihud_illiq>-0.21655375&mark_perp_dislocation>0.0026880961&oi_value_log_7d_robust_z>-0.47756571)
0.0761342749620394,0.8,0.005026552285801259,0.0024041018031215645,-0.01294286688286488,5,0.7835965097869533,within_leaf_future_edge,(*)|(*)|(asset_vol_level_pct<=0.36535791&mark_perp_dislocation>0.0033386913)
0.13297858249348643,1.0,0.007587793412719941,0.004534796222074997,0.027639591891222746,5,0.8869601365099552,within_leaf_future_edge,(*)|(*)|(mark_perp_dislocation>0.0030159187&xasset_ob_liquidity_peer_resid<=-0.35845867)
0.09340579501932984,1.0,0.0049312623161072615,0.002277641215265161,-0.03887694365524526,5,0.8092204803939841,within_leaf_future_edge,(*)|(*)|(dist_oiw_signed_delta_12h_atr<=0.025410838&mark_perp_dislocation>0.0043983338&rvol_z_peer_resid>-1.6591562)
0.12421072972314769,1.0,0.006309152560703845,0.003102069747231605,-0.012585499593670247,5,0.831883080902026,within_leaf_future_edge,(*)|(oiw_z_delta_entry_dist_7d_atr<=0.073653646)|(asset_vol_level_pct<=0.39002782&mark_vs_perp_bps>1.8126553)
0.12570268012335367,1.0,0.00616944679508863,0.0028330134840448195,-0.009682361099591497,5,0.8267295706948947,within_leaf_future_edge,(*)|(*)|(asset_vol_level_pct<=0.43102852&exh_qual_surprise>-0.41240719&mark_perp_dislocation>0.00026006706)
0.07828536938731105,1.0,0.0037109238357309823,0.0015698073870256874,-0.04206893539898637,5,0.76916688253913,within_leaf_future_edge,(*)|(*)|(mark_perp_dislocation>0.0046171038&oi_chg_4h>-0.21217866)
