group,raw_source_features,generated_booleans,retained,dropped,drop_reason_all_zeros,drop_reason_all_ones,drop_reason_low_support,drop_reason_duplicate,support_min,support_p25,support_median,support_p75,support_max
regime,137,151,132,19,0,0,0,14,257136.0,257136.0,257136.0,257136.0,257136.0
location,58,44,44,0,0,0,0,0,257136.0,257136.0,257136.0,257136.0,257136.0
