feature,overall_finite_row_count,overall_finite_row_pct
atr_change_rate,720,0.008888888888888889
atr_compression_ratio,720,0.008888888888888889
atr_percentile,720,0.008888888888888889
bars_in_high_vol_state_log_norm,720,0.008888888888888889
bars_outside_ema20_atr_band_log_norm,720,0.008888888888888889
bars_since_ema20_ema50_cross_log_norm,720,0.008888888888888889
bollinger_band_width,720,0.008888888888888889
choppiness_index_20,720,0.008888888888888889
compression_ratio,720,0.008888888888888889
compression_score,720,0.008888888888888889
direction_entropy_20,720,0.008888888888888889
dist_ema200_atr,720,0.008888888888888889
dist_ema20_atr,720,0.008888888888888889
dist_ema50_atr,720,0.008888888888888889
dist_local_swing,720,0.008888888888888889
dist_ma100_atr,720,0.008888888888888889
dist_prior_day_high,720,0.008888888888888889
dist_prior_day_low,720,0.008888888888888889
dist_range_mid_atr,720,0.008888888888888889
dist_rolling_7d_high,720,0.008888888888888889
dist_vwap_atr,720,0.008888888888888889
dist_weekly_vwap,720,0.008888888888888889
distance_to_ema,720,0.008888888888888889
efficiency_ratio_20,720,0.008888888888888889
ema20_gt_ema50,720,0.008888888888888889
ema20_slope_5h,720,0.008888888888888889
ema50_ema200_spread_atr,720,0.008888888888888889
ema50_gt_ema200,720,0.008888888888888889
ema50_slope,720,0.008888888888888889
ema_slope_norm,720,0.008888888888888889
loc_bb_channel_pos_24,720,0.008888888888888889
loc_bb_channel_pos_48,720,0.008888888888888889
loc_ema_stack_pos_24,720,0.008888888888888889
loc_ema_stack_pos_48,720,0.008888888888888889
loc_initial_balance_pos_24,720,0.008888888888888889
loc_initial_balance_pos_48,720,0.008888888888888889
loc_pivot_ladder_pos_24,720,0.008888888888888889
loc_pivot_ladder_pos_48,720,0.008888888888888889
loc_prev_day_range_pos_24,720,0.008888888888888889
loc_prev_day_range_pos_48,720,0.008888888888888889
loc_prev_week_range_pos_24,720,0.008888888888888889
loc_prev_week_range_pos_48,720,0.008888888888888889
loc_prior_bar_pos_24,720,0.008888888888888889
loc_prior_bar_pos_48,720,0.008888888888888889
loc_pullback_depth_24,720,0.008888888888888889
loc_pullback_depth_48,720,0.008888888888888889
loc_range_pos_24,720,0.008888888888888889
loc_range_pos_48,720,0.008888888888888889
loc_session_pos_24,720,0.008888888888888889
loc_session_pos_48,720,0.008888888888888889
loc_swing_range_pos_24,720,0.008888888888888889
loc_swing_range_pos_48,720,0.008888888888888889
loc_vwap_dev_z_24,720,0.008888888888888889
loc_vwap_dev_z_48,720,0.008888888888888889
price_lt_ema200,720,0.008888888888888889
prior_range,720,0.008888888888888889
prior_volatility,720,0.008888888888888889
pullback_depth,720,0.008888888888888889
range_expansion_ratio,720,0.008888888888888889
realized_volatility_24h,720,0.008888888888888889
return_autocorr_48,720,0.008888888888888889
rolling_range_20,720,0.008888888888888889
tail_asymmetry_q90_q10_atr_norm,720,0.008888888888888889
trend_acceleration,720,0.008888888888888889
trend_strength_percentile,720,0.008888888888888889
true_range_percentile,720,0.008888888888888889
up_down_return_mass_ratio_tanh,720,0.008888888888888889
up_down_semivol_ratio_tanh,720,0.008888888888888889
variance_ratio_10_48,720,0.008888888888888889
volatility_autocorr_48,720,0.008888888888888889
volatility_of_volatility_48,720,0.008888888888888889
volatility_ratio_short_long,720,0.008888888888888889
volume_autocorr_48,720,0.008888888888888889
volume_percentile,720,0.008888888888888889
volume_trend_48,720,0.008888888888888889
volume_zscore_48h,720,0.008888888888888889
zscore_price_200,720,0.008888888888888889
zscore_price_50,720,0.008888888888888889
