,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
evr_6,0.015681319,0.0071651577,0.034319382,36.166668,11.17164,117.08466,121.72367,57.0932,259.51694,0.07343693,0.0313637,0.17194985,53.0,0.0,0.75,0.24783799,0.23853211,0.16666667,0.0,30.0,13.833333,0.22094393,46.0
grind_score,0.011853954,0.0037842682,0.037131675,32.0,5.1639776,198.29675,94.84611,29.699306,302.89542,0.053436026,0.016043084,0.1779838,48.0,0.0,0.75,0.1368356,0.4587156,0.0,0.6129379,39.5,9.833333,0.22058538,47.0
press_24,0.009381813,0.0021348433,0.041229445,33.666668,6.574361,172.40375,70.04253,17.99992,272.5543,0.04402543,0.010732289,0.18059878,43.5,0.0,0.75,0.06513783,0.6605505,0.0,0.34541264,46.5,6.1666665,0.21823406,48.0
body_ratio_15m,0.009370565,0.0021072265,0.041669704,26.666666,3.8151743,186.3902,71.71262,21.270666,241.77428,0.040303253,0.011071371,0.14671645,45.0,0.0,0.75,0.06481163,0.6146789,0.0,0.55460966,48.0,7.0,0.2170466,49.0
asset_vol_level,0.010698677,0.0028194387,0.040597335,41.0,5.354126,313.96347,81.07501,23.953068,274.41818,0.049115915,0.014679982,0.1643308,47.0,0.0,0.75,0.10332992,0.6055046,0.0,0.13826491,41.0,7.1666665,0.21512085,50.0
accept_gt66,0.010715797,0.0029417528,0.039033968,32.833332,4.524624,238.25798,77.24558,18.49528,322.61642,0.0468066,0.009909547,0.22108558,41.0,0.0,0.75,0.103826426,0.51376146,0.0,0.55257523,47.5,8.833333,0.21317367,51.0
amihud_z,0.014186125,0.004361308,0.04614353,33.166668,7.7763886,141.45741,121.06476,40.704987,360.07077,0.065685675,0.021448333,0.20116283,37.0,0.0,0.75,0.20447393,0.3119266,0.0,0.38265187,31.0,12.5,0.20957492,52.0
vol_regime_z,0.0102181,0.0033395665,0.031264406,28.333334,8.239471,97.43074,82.362595,29.62538,228.97926,0.045947824,0.01569471,0.13451682,57.0,0.0,0.75,0.08939207,0.5045872,0.0,0.4700472,45.5,9.0,0.1988148,53.0
trap_quality,0.011933992,0.0039653345,0.035916306,34.0,9.237604,125.14067,92.39754,34.925316,244.4446,0.053682175,0.019801788,0.14553109,52.0,0.0,0.75,0.13915688,0.44036698,0.0,0.13281311,41.5,10.166667,0.19326869,54.0
mr_soft,0.009294916,0.0034804335,0.02482319,28.5,8.976822,90.483025,76.16916,31.298792,185.3663,0.042566262,0.015679555,0.115557276,60.0,0.0,0.75,0.06261762,0.4678899,0.0,0.54919535,50.0,9.666667,0.17887194,55.0
tf_tape,0.0133845685,0.005367409,0.03337675,33.0,9.255629,117.658134,108.99312,48.52692,244.80228,0.06092125,0.025854569,0.14354905,55.0,0.4,0.75,0.18122694,0.28440368,0.0,0.13826491,28.5,13.0,0.17768899,56.0
ffd_vol_price_corr_10h_06,0.010708231,0.0034853264,0.032899704,31.333334,5.1854496,189.33319,79.583664,22.212122,285.13977,0.0484485,0.013055945,0.17978455,51.0,0.0,0.75,0.10360699,0.40366971,0.0,0.28021017,48.0,10.833333,0.17191178,57.0
dist_from_low_120h,0.012949803,0.004858697,0.034514893,40.833332,9.263129,179.99977,98.607864,40.573425,239.65222,0.05780045,0.0222426,0.1502024,54.0,0.0,0.75,0.16861774,0.23853211,0.0,0.29032907,37.5,13.833333,0.16688925,58.0
vol_shock_asym_8_24,0.012124717,0.0038705692,0.037981175,32.833332,7.289643,147.88486,95.6009,33.368332,273.89835,0.05379535,0.015484952,0.18688722,46.0,0.0,0.75,0.14468837,0.29357797,0.0,0.0,40.0,12.833333,0.15297309,59.0
up_down_semivol_ratio_tanh,0.012352367,0.0048026005,0.03177049,34.666668,10.143416,118.47861,91.54937,38.15626,219.65694,0.054477904,0.02268294,0.13084027,56.0,0.0,0.75,0.15129073,0.21100917,0.0,0.31545925,40.0,14.333333,0.15173516,60.0
