slice,n,auc,pr_auc,ece
rolling_decile_0,50,0.5,0.18,0.5533333333333339
rolling_decile_1,51,0.5,0.27450980392156865,0.4588235294117653
rolling_decile_2,51,0.8907692307692309,0.8784313725490196,0.2989413828643542
rolling_decile_3,50,0.3616666666666667,0.5847619047619047,0.18971146089651256
rolling_decile_4,51,0.5274294670846394,0.5758958755916159,0.21788277132610526
rolling_decile_5,51,0.52,0.52,0.34033918578324607
rolling_decile_6,50,0.5408163265306123,0.021739130434782608,0.8065628465608468
rolling_decile_7,51,0.6801948051948051,0.20177655677655676,0.6053552131963895
rolling_decile_8,51,0.37012987012987014,0.11282216235776608,0.5013651030032266
rolling_decile_9,51,0.6142857142857143,0.4850693900748705,0.20614548701273797
trend_regime=High,240,0.5091875528020277,0.44439429353310944,0.3113241189217933
trend_regime=Low,267,0.679379618226601,0.4422661771303629,0.5101049800550884
vol_regime=High,81,0.666023166023166,0.125503663003663,0.6703853557884059
vol_regime=Low,426,0.6060323310550748,0.46761071385739983,0.36718179297835396
