feature,row_type,mi_proxy_full,mi_mean_cv,mi_cv,hsic,pearson_corr,r2,n_features,mi_mean_avg,mi_mean_median,r2_mean,r2_median,n_high_mi,n_high_r2,hsic_mean,hsic_median,best_mi_feature_value,best_mi_feature,best_r2_feature_value,best_r2_feature,best_hsic_feature_value,best_hsic_feature,model_i,model_j,rep_feature_i,rep_feature_j,mi_proxy,mi_forward,mi_backward
risk_score,feature,0.018399841804479074,0.013082177632875149,0.0,0.03895989639619068,-0.018399841804479074,0.0003385541784298557,,,,,,,,,,,,,,,,,,,,,,
macro_trend_score_continuous,feature,0.22041221402163666,0.21833100100165798,0.014767681174201627,1.0,-0.22041221402163666,0.04858154408991976,,,,,,,,,,,,,,,,,,,,,,
vol_force_breakout,feature,0.04999988628911129,0.03394791968757503,0.4466218823406355,0.595317505543101,-0.04999988628911129,0.0024999886289240594,,,,,,,,,,,,,,,,,,,,,,
smc_predicted,feature,0.054707757782272874,0.0445674057367568,0.19766858869734605,0.650480140792093,-0.054707757782272874,0.002992938761563838,,,,,,,,,,,,,,,,,,,,,,
liquidity_score,feature,0.03614980844933358,0.0626038012492034,0.23188363494804484,0.45675080903049525,0.03614980844933358,0.0013068086509235098,,,,,,,,,,,,,,,,,,,,,,
path_risk_score,feature,0.010152862166116884,0.008218102866509683,0.0,0.003266961808026694,-0.010152862166116884,0.00010308061016416764,,,,,,,,,,,,,,,,,,,,,,
risk,model_reliability,,,,,,,1.0,0.013082177632875149,0.013082177632875149,0.0003385541784298557,0.0003385541784298557,0.0,0.0,0.03895989639619068,0.03895989639619068,0.013082177632875149,risk_score,0.0003385541784298557,risk_score,0.03895989639619068,risk_score,,,,,,,
macro_trend,model_reliability,,,,,,,1.0,0.21833100100165798,0.21833100100165798,0.04858154408991976,0.04858154408991976,1.0,0.0,1.0,1.0,0.21833100100165798,macro_trend_score_continuous,0.04858154408991976,macro_trend_score_continuous,1.0,macro_trend_score_continuous,,,,,,,
volume_force_breakout,model_reliability,,,,,,,1.0,0.03394791968757503,0.03394791968757503,0.0024999886289240594,0.0024999886289240594,0.0,0.0,0.595317505543101,0.595317505543101,0.03394791968757503,vol_force_breakout,0.0024999886289240594,vol_force_breakout,0.595317505543101,vol_force_breakout,,,,,,,
smc,model_reliability,,,,,,,1.0,0.0445674057367568,0.0445674057367568,0.002992938761563838,0.002992938761563838,0.0,0.0,0.650480140792093,0.650480140792093,0.0445674057367568,smc_predicted,0.002992938761563838,smc_predicted,0.650480140792093,smc_predicted,,,,,,,
