family,params,kappa,sl_mult,status,n,score
VOL_SHOCK,"{'lookback': 20, 'long_window': 40}",1.5,2.0,ANOVA (No Signal),0,0
VOL_SHOCK,"{'lookback': 20, 'long_window': 40}",2.0,1.0,ANOVA (No Signal),0,0
VOL_SHOCK,"{'lookback': 20, 'long_window': 40}",2.0,2.0,ANOVA (No Signal),0,0
VOL_SHOCK,"{'lookback': 20, 'long_window': 40}",3.0,1.0,ANOVA (No Signal),0,0
VOL_SHOCK,"{'lookback': 20, 'long_window': 40}",4.0,1.0,ANOVA (No Signal),0,0
MR_VWAP,{'lookback': 40},1.5,1.0,PASS,376,0
MR_VWAP,{'lookback': 40},1.5,2.0,PASS,376,0
MR_VWAP,{'lookback': 40},2.0,1.0,PASS,376,0
MR_VWAP,{'lookback': 40},2.0,2.0,PASS,376,0
MR_VWAP,{'lookback': 40},3.0,1.0,PASS,376,0
MR_VWAP,{'lookback': 40},4.0,1.0,PASS,376,0
KALMAN,"{'q_fast': 0.025, 'q_slow': 0.005}",1.5,1.0,ANOVA (No Signal),0,0
KALMAN,"{'q_fast': 0.025, 'q_slow': 0.005}",1.5,2.0,ANOVA (No Signal),0,0
KALMAN,"{'q_fast': 0.025, 'q_slow': 0.005}",2.0,1.0,ANOVA (No Signal),0,0
KALMAN,"{'q_fast': 0.025, 'q_slow': 0.005}",2.0,2.0,ANOVA (No Signal),0,0
KALMAN,"{'q_fast': 0.025, 'q_slow': 0.005}",3.0,1.0,ANOVA (No Signal),0,0
KALMAN,"{'q_fast': 0.025, 'q_slow': 0.005}",4.0,1.0,ANOVA (No Signal),0,0
ENTROPY,{'window': 50},1.5,1.0,Sample Size (< 3/day),44,0
ENTROPY,{'window': 50},1.5,2.0,Sample Size (< 3/day),44,0
ENTROPY,{'window': 50},2.0,1.0,Sample Size (< 3/day),44,0
ENTROPY,{'window': 50},2.0,2.0,Sample Size (< 3/day),44,0
ENTROPY,{'window': 50},3.0,1.0,Sample Size (< 3/day),44,0
ENTROPY,{'window': 50},4.0,1.0,Sample Size (< 3/day),44,0
LIQUIDITY,{'window': 50},1.5,1.0,ANOVA (No Signal),0,0
LIQUIDITY,{'window': 50},1.5,2.0,ANOVA (No Signal),0,0
LIQUIDITY,{'window': 50},2.0,1.0,ANOVA (No Signal),0,0
LIQUIDITY,{'window': 50},2.0,2.0,ANOVA (No Signal),0,0
LIQUIDITY,{'window': 50},3.0,1.0,ANOVA (No Signal),0,0
LIQUIDITY,{'window': 50},4.0,1.0,ANOVA (No Signal),0,0
BREAKOUT,"{'lookback': 50, 'anchor_window': 200}",1.5,1.0,Mutual Info (< 0.01),0,0
BREAKOUT,"{'lookback': 50, 'anchor_window': 200}",1.5,2.0,Mutual Info (< 0.01),0,0
BREAKOUT,"{'lookback': 50, 'anchor_window': 200}",2.0,1.0,Mutual Info (< 0.01),0,0
BREAKOUT,"{'lookback': 50, 'anchor_window': 200}",2.0,2.0,Mutual Info (< 0.01),0,0
BREAKOUT,"{'lookback': 50, 'anchor_window': 200}",3.0,1.0,Mutual Info (< 0.01),0,0
BREAKOUT,"{'lookback': 50, 'anchor_window': 200}",4.0,1.0,ANOVA (No Signal),0,0
VOL_SHOCK,"{'lookback': 25, 'long_window': 50}",1.5,1.0,ANOVA (No Signal),0,0
VOL_SHOCK,"{'lookback': 25, 'long_window': 50}",1.5,2.0,ANOVA (No Signal),0,0
VOL_SHOCK,"{'lookback': 25, 'long_window': 50}",2.0,1.0,ANOVA (No Signal),0,0
VOL_SHOCK,"{'lookback': 25, 'long_window': 50}",2.0,2.0,ANOVA (No Signal),0,0
VOL_SHOCK,"{'lookback': 25, 'long_window': 50}",3.0,1.0,PASS,601,0
VOL_SHOCK,"{'lookback': 25, 'long_window': 50}",4.0,1.0,PASS,601,0
MR_VWAP,{'lookback': 50},1.5,1.0,PASS,402,0
MR_VWAP,{'lookback': 50},1.5,2.0,PASS,402,0
MR_VWAP,{'lookback': 50},2.0,1.0,PASS,402,0
MR_VWAP,{'lookback': 50},2.0,2.0,PASS,402,0
MR_VWAP,{'lookback': 50},3.0,1.0,ANOVA (No Signal),0,0
MR_VWAP,{'lookback': 50},4.0,1.0,ANOVA (No Signal),0,0
KALMAN,"{'q_fast': 0.02, 'q_slow': 0.004}",1.5,1.0,ANOVA (No Signal),0,0
KALMAN,"{'q_fast': 0.02, 'q_slow': 0.004}",1.5,2.0,ANOVA (No Signal),0,0
KALMAN,"{'q_fast': 0.02, 'q_slow': 0.004}",2.0,1.0,ANOVA (No Signal),0,0
KALMAN,"{'q_fast': 0.02, 'q_slow': 0.004}",2.0,2.0,ANOVA (No Signal),0,0
KALMAN,"{'q_fast': 0.02, 'q_slow': 0.004}",3.0,1.0,ANOVA (No Signal),0,0
KALMAN,"{'q_fast': 0.02, 'q_slow': 0.004}",4.0,1.0,ANOVA (No Signal),0,0
