feature,importance,correlation_with_target
smc_adr_filled_pct,14.766143798828125,0.00912207809925897
smc_session_London,12.761795997619629,-0.032473695276993564
smc_dist_to_day_open,12.364644050598145,-0.018120443346404374
smc_dow_Sun,12.337010383605957,0.000513329061250635
smc_dist_to_pdl_atr,12.098215103149414,-0.03969042402233725
smc_session_NY_AM,11.842191696166992,-0.005787323968260563
smc_dow_Tue,11.718169212341309,-0.013263697663375998
smc_profile_skew,11.611180305480957,0.037610407028844196
smc_dow_Sat,11.466042518615723,0.010465878388749591
smc_dow_Thu,11.309589385986328,-0.016691160961970593
smc_dow_Fri,11.017740249633789,0.006834542884368811
smc_dow_Wed,10.950640678405762,0.015897175478588592
smc_dist_to_pdh_atr,10.921591758728027,-0.00844586539561927
smc_break_of_structure_mag,10.884664535522461,0.002711390166185694
smc_daily_wick_rejection,10.777087211608887,0.025979424449525963
smc_htf_trend_slope,10.55292797088623,-0.013649334903982846
smc_time_elapsed_session,10.487277030944824,0.0025578431970380918
smc_session_NY_PM,10.123143196105957,0.018150247243242094
smc_dist_to_week_open,10.043755531311035,-0.0019498960745364942
smc_fib_retracement_level,9.926749229431152,0.031040907971778435
smc_poc_dist_atr,9.675423622131348,-0.029148900841571186
smc_nwog_gap_size,9.58911418914795,0.006651810176822737
smc_is_inside_fvg,9.588654518127441,0.00017729503536876342
smc_session_Dead,9.507229804992676,0.007135816249064646
smc_dist_to_swing_low,9.394371032714844,-0.020387232124916336
smc_range_position,9.208925247192383,-0.03104090797004166
smc_gap_fill_ratio,9.200034141540527,-0.006219434706283886
smc_dist_to_swing_high,9.077231407165527,0.00790617372508041
smc_dow_Mon,9.004085540771484,-0.0037365757451670776
smc_rel_volume,8.697945594787598,-0.0029184861928433416
smc_session_Asia,8.673948287963867,0.01319595681333811
smc_atr_compression,8.28603744506836,0.006757293564579883
smc_consequent_encroachment,8.164865493774414,-0.005798791218364891
smc_current_fvg_size,7.9570441246032715,-6.017742705681521e-05
smc_market_structure_Downtrend,7.386698246002197,0.004289020168196185
smc_velocity_roc,7.227597713470459,-0.00901829363848624
smc_nearest_fvg_dist,7.065478324890137,-0.01642399115476852
smc_volume_imbalance_size,6.569924831390381,-0.0031457871890653794
smc_sweep_confirmed,6.368830680847168,-0.003764488953211684
smc_hvn_gravity,5.965789318084717,0.0008857424428033451
smc_is_in_value_area,5.693633079528809,-0.002110865826977357
smc_consecutive_candles,5.476239204406738,-0.013430738435059042
smc_wick_body_ratio,5.443905830383301,-0.002417507932311821
smc_close_position_in_candle,5.188514709472656,-0.008845437046837502
smc_displacement_strength,5.018096923828125,-0.001908640369612434
smc_market_structure_Uptrend,4.916028022766113,-0.0021910020565247723
smc_market_structure_Range,3.9736969470977783,-0.0015903466959889926
