timestamp,symbol,timeframe,uuid,family,final_score,learnability,robust_magnitude,stability,balance,mean_return,count,win_rate,return_std,sharpe_proxy,pos_ratio,param_kappa,param_sl_mult,param_horizon,raw_passed,raw_pos_rate,raw_pos_count,raw_mean_trade_ret,raw_mean_ret,raw_reason
20251220_002807,ETHUSDT,15m,Mean Reversion_3,Mean Reversion,-1.0,0.0,0.0,0.0,0.0,-0.0028340746946902565,5149,0.35735094193047195,0.005724078740552618,-0.4951145542630206,0.30374830064090114,3.1242177333881367,1.9488467486753904,11,False,0.30374830064090114,1564.0,0.0044050207884380735,-0.0028340746946902565,unprofitable
20251220_002807,ETHUSDT,15m,Mean Reversion_4,Mean Reversion,-1.0,0.0,0.0,0.0,0.0,-0.0028829967830396363,5149,0.16391532336375994,0.0039058998645244,-0.7381133368232341,0.15692367449990288,3.497327922401265,0.609102444252071,20,False,0.15692367449990288,808.0,0.005659729359915812,-0.0028829967830396363,unprofitable
20251220_002807,ETHUSDT,15m,Trend Continuation_0,Trend Continuation,-1.0,0.0,0.0,0.0,0.0,-0.003400813282078145,5053,0.31921630714427074,0.0089674422121932,-0.37924005543908107,0.3170393825450228,3.1854305348131313,1.5443897010793888,97,False,0.3170393825450228,1602.0,0.008327123327236846,-0.003400813282078145,unprofitable
20251220_002807,ETHUSDT,15m,Trend Continuation_4,Trend Continuation,-1.0,0.0,0.0,0.0,0.0,-0.0031243100345208566,5094,0.11228896741264233,0.006664624295342956,-0.46879012163299927,0.10149195131527287,5.2459918836018975,0.609102444252071,37,False,0.10149195131527287,517.0,0.01457775162938136,-0.0031243100345208566,unprofitable
20251220_002807,ETHUSDT,15m,Trend Continuation_3,Trend Continuation,-1.0,0.0,0.0,0.0,0.0,-0.003330247823663539,5105,0.3006856023506366,0.01028708099339589,-0.3237310783766321,0.2227228207639569,4.686326600082205,1.9488467486753904,21,False,0.2227228207639569,1137.0,0.012095306366126865,-0.003330247823663539,unprofitable
20251220_002807,ETHUSDT,15m,Trend Continuation_1,Trend Continuation,-1.0,0.0,0.0,0.0,0.0,-0.0031310748778518756,5096,0.12362637362637363,0.005814064554620646,-0.5385345910590145,0.11773940345368916,4.193963178886665,0.5651906845715444,32,False,0.11773940345368916,600.0,0.011256358392256418,-0.0031310748778518756,unprofitable
20251220_002807,ETHUSDT,15m,Momentum_0,Momentum,-1.0,0.0,0.0,0.0,0.0,-0.0031178216357136885,2343,0.29492104139991465,0.015053170903709211,-0.20712058977144238,0.19632949210414,4.2472407130841745,1.5443897010793888,39,False,0.19632949210414,460.0,0.022089195489395502,-0.0031178216357136885,unprofitable
20251220_002807,ETHUSDT,15m,Momentum_4,Momentum,-1.0,0.0,0.0,0.0,0.0,-0.0028467053943086974,2343,0.19078104993597952,0.00894242188934735,-0.31833718306016123,0.014511310285958173,6.99465584480253,0.609102444252071,12,False,0.014511310285958173,,,,pos_rate_limit
20251220_002807,ETHUSDT,15m,Momentum_3,Momentum,-1.0,0.0,0.0,0.0,0.0,-0.0026452741232297914,2343,0.3282116944088775,0.008863132514979725,-0.2984581487933879,0.0076824583866837385,6.248435466776273,1.9488467486753904,5,False,0.0076824583866837385,,,,pos_rate_limit
20251220_002807,ETHUSDT,15m,Momentum_5,Momentum,-1.0,0.0,0.0,0.0,0.0,-0.00288256853352957,2343,0.3094323516858728,0.010794289831364759,-0.26704568603361944,0.1702944942381562,3.100427059120603,1.1920859337748042,15,False,0.1702944942381562,399.0,0.015494561110423362,-0.00288256853352957,unprofitable
