feature,mean_importance,std_importance,model_count
volatility_1d,1451.0,,1
adaptive_filter_momentum,916.0,,1
unified_price_momentum,880.0,,1
price_position_in_range,751.0,,1
layer1_weight_volatility_adj,697.0,,1
layer1_weight_momentum,695.0,,1
VOL_CUSUM_h_0.10261995798796003_vol_span_100_risk_budget_0.4_pt_mult_2.0_sl_mult_0.8_horizon_48_0,273.0,,1
PRICE_CUSUM_k_0.12_vol_window_20_risk_budget_0.4_pt_mult_2.0_sl_mult_0.6_horizon_12_1,226.0,,1
unified_price_strength,39.0,,1
adaptive_filter_regime,26.0,,1
adaptive_filter_distance,0.0,,1
filter_consensus_score,0.0,,1
noise_reduction_momentum,0.0,,1
noise_reduction_smoothness,0.0,,1
noise_reduction_stability,0.0,,1
