family,params,kappa,sl_mult,status,n,score
ENTROPY,{'window': 20},1.5,1.0,Sample Size (< 3/day),7,0
ENTROPY,{'window': 20},1.5,2.0,Sample Size (< 3/day),7,0
ENTROPY,{'window': 20},2.0,1.0,Sample Size (< 3/day),7,0
ENTROPY,{'window': 20},2.0,2.0,Sample Size (< 3/day),7,0
ENTROPY,{'window': 20},3.0,1.0,Sample Size (< 3/day),7,0
ENTROPY,{'window': 20},4.0,1.0,Sample Size (< 3/day),7,0
LIQUIDITY,{'window': 20},1.5,1.0,PASS,53,0
LIQUIDITY,{'window': 20},1.5,2.0,Class Balance (< 7.5% minority),0,0
LIQUIDITY,{'window': 20},2.0,1.0,PASS,53,0
LIQUIDITY,{'window': 20},2.0,2.0,Class Balance (< 7.5% minority),0,0
LIQUIDITY,{'window': 20},3.0,1.0,PASS,53,0
LIQUIDITY,{'window': 20},4.0,1.0,PASS,53,0
BREAKOUT,"{'lookback': 20, 'anchor_window': 80}",1.5,1.0,PASS,194,0
BREAKOUT,"{'lookback': 20, 'anchor_window': 80}",1.5,2.0,Class Balance (< 7.5% minority),0,0
BREAKOUT,"{'lookback': 20, 'anchor_window': 80}",2.0,1.0,PASS,194,0
BREAKOUT,"{'lookback': 20, 'anchor_window': 80}",2.0,2.0,Class Balance (< 7.5% minority),0,0
BREAKOUT,"{'lookback': 20, 'anchor_window': 80}",3.0,1.0,PASS,194,0
BREAKOUT,"{'lookback': 20, 'anchor_window': 80}",4.0,1.0,PASS,194,0
VOL_SHOCK,"{'lookback': 10, 'long_window': 20}",1.5,1.0,PASS,52,0
VOL_SHOCK,"{'lookback': 10, 'long_window': 20}",1.5,2.0,Class Balance (< 7.5% minority),0,0
VOL_SHOCK,"{'lookback': 10, 'long_window': 20}",2.0,1.0,PASS,52,0
VOL_SHOCK,"{'lookback': 10, 'long_window': 20}",2.0,2.0,Class Balance (< 7.5% minority),0,0
VOL_SHOCK,"{'lookback': 10, 'long_window': 20}",3.0,1.0,PASS,52,0
VOL_SHOCK,"{'lookback': 10, 'long_window': 20}",4.0,1.0,PASS,52,0
MR_VWAP,{'lookback': 20},1.5,1.0,Sample Size (< 3/day),19,0
MR_VWAP,{'lookback': 20},1.5,2.0,Sample Size (< 3/day),19,0
MR_VWAP,{'lookback': 20},2.0,1.0,Sample Size (< 3/day),19,0
MR_VWAP,{'lookback': 20},2.0,2.0,Sample Size (< 3/day),19,0
MR_VWAP,{'lookback': 20},3.0,1.0,Sample Size (< 3/day),19,0
MR_VWAP,{'lookback': 20},4.0,1.0,Sample Size (< 3/day),19,0
KALMAN,"{'q_fast': 0.05, 'q_slow': 0.01}",1.5,1.0,Class Balance (< 7.5% minority),0,0
KALMAN,"{'q_fast': 0.05, 'q_slow': 0.01}",1.5,2.0,Class Balance (< 7.5% minority),0,0
KALMAN,"{'q_fast': 0.05, 'q_slow': 0.01}",2.0,1.0,Class Balance (< 7.5% minority),0,0
KALMAN,"{'q_fast': 0.05, 'q_slow': 0.01}",2.0,2.0,Class Balance (< 7.5% minority),0,0
KALMAN,"{'q_fast': 0.05, 'q_slow': 0.01}",3.0,1.0,Class Balance (< 7.5% minority),0,0
KALMAN,"{'q_fast': 0.05, 'q_slow': 0.01}",4.0,1.0,Class Balance (< 7.5% minority),0,0
ENTROPY,{'window': 30},1.5,1.0,Class Balance (< 7.5% minority),0,0
ENTROPY,{'window': 30},1.5,2.0,Class Balance (< 7.5% minority),0,0
ENTROPY,{'window': 30},2.0,1.0,Class Balance (< 7.5% minority),0,0
ENTROPY,{'window': 30},2.0,2.0,Class Balance (< 7.5% minority),0,0
ENTROPY,{'window': 30},3.0,1.0,Class Balance (< 7.5% minority),0,0
ENTROPY,{'window': 30},4.0,1.0,Class Balance (< 7.5% minority),0,0
LIQUIDITY,{'window': 30},1.5,1.0,PASS,49,0
LIQUIDITY,{'window': 30},1.5,2.0,Class Balance (< 7.5% minority),0,0
LIQUIDITY,{'window': 30},2.0,1.0,PASS,49,0
LIQUIDITY,{'window': 30},2.0,2.0,Class Balance (< 7.5% minority),0,0
LIQUIDITY,{'window': 30},3.0,1.0,PASS,49,0
LIQUIDITY,{'window': 30},4.0,1.0,PASS,49,0
BREAKOUT,"{'lookback': 30, 'anchor_window': 120}",1.5,1.0,PASS,186,0
BREAKOUT,"{'lookback': 30, 'anchor_window': 120}",1.5,2.0,Class Balance (< 7.5% minority),0,0
BREAKOUT,"{'lookback': 30, 'anchor_window': 120}",2.0,1.0,PASS,186,0
BREAKOUT,"{'lookback': 30, 'anchor_window': 120}",2.0,2.0,Class Balance (< 7.5% minority),0,0
BREAKOUT,"{'lookback': 30, 'anchor_window': 120}",3.0,1.0,PASS,186,0
BREAKOUT,"{'lookback': 30, 'anchor_window': 120}",4.0,1.0,PASS,186,0
VOL_SHOCK,"{'lookback': 15, 'long_window': 30}",1.5,1.0,Class Balance (< 7.5% minority),0,0
VOL_SHOCK,"{'lookback': 15, 'long_window': 30}",1.5,2.0,Class Balance (< 7.5% minority),0,0
VOL_SHOCK,"{'lookback': 15, 'long_window': 30}",2.0,1.0,Class Balance (< 7.5% minority),0,0
VOL_SHOCK,"{'lookback': 15, 'long_window': 30}",2.0,2.0,Class Balance (< 7.5% minority),0,0
VOL_SHOCK,"{'lookback': 15, 'long_window': 30}",3.0,1.0,Class Balance (< 7.5% minority),0,0
VOL_SHOCK,"{'lookback': 15, 'long_window': 30}",4.0,1.0,Class Balance (< 7.5% minority),0,0
MR_VWAP,{'lookback': 30},1.5,1.0,Sample Size (< 3/day),13,0
MR_VWAP,{'lookback': 30},1.5,2.0,Sample Size (< 3/day),13,0
MR_VWAP,{'lookback': 30},2.0,1.0,Sample Size (< 3/day),13,0
