metric,scope,regime,n_samples,wcov_between,wcov_within,wcov_ratio,mean,std
parkinson_volatility,GLOBAL,ALL,104508,2.4528385087082474,1.6166957261473656,1.5171924152861536,0.00514623877366811,1.2254475189109166
parkinson_volatility,REGIME,0,34586,,,,0.211534186542931,0.6878514690302625
parkinson_volatility,REGIME,1,52357,,,,-0.7293190127620384,0.5618169210011479
parkinson_volatility,REGIME,2,17565,,,,1.788024895938898,1.4805370248488245
rolling_kurtosis,GLOBAL,ALL,104508,2.2586108759009496,3.916882365262897,0.5766348487167308,0.033359310344004384,1.1370631102860254
rolling_kurtosis,REGIME,0,34586,,,,0.1015579533649557,0.9362458357742589
rolling_kurtosis,REGIME,1,52357,,,,-0.4397376030446006,0.5579383087347671
rolling_kurtosis,REGIME,2,17565,,,,1.3092612076832906,1.6536185601627629
rolling_skewness,GLOBAL,ALL,104508,4.671247151699749,23.89166686223669,0.19551784212795847,0.00019425362437711655,1.0858908096279105
rolling_skewness,REGIME,0,34586,,,,0.09433016744973624,1.090908781472886
rolling_skewness,REGIME,1,52357,,,,-0.01422206058688046,0.6737135738950183
rolling_skewness,REGIME,2,17565,,,,-0.1421905885279176,1.8113971630202255
volatility_of_volatility,GLOBAL,ALL,104508,2.3954623905705126,0.9878610410995625,2.4248981047528755,0.02066091985161772,1.2137427600115076
volatility_of_volatility,REGIME,0,34586,,,,0.19132623700235177,0.35419359198834194
volatility_of_volatility,REGIME,1,52357,,,,-0.782403527671253,0.3445492510687776
volatility_of_volatility,REGIME,2,17565,,,,2.078356030582028,1.3965632293609422
risk_score,GLOBAL,ALL,104508,,,,,
risk_score,REGIME,0,34586,,,,,
risk_score,REGIME,1,52357,,,,,
risk_score,REGIME,2,17565,,,,,
