uuid,family,score,CI_score,PSR,Overlap_Ratio,CV_freq,IR_cv,Dir_consistency,OOS_R2,IC,IC_IR,DSR,SPA_p,Sparsity,feature_importance,event_count,Parent_Overlap,Interventional_Contrast,Overlap_Support,Path_Stability,Structural_Importance,Layer2Score,survival_status,causal_quality_status
"COMPOSITE_SURPRISE_Z_CONTINUOUS_RETURN_SURPRISE_Z_20_POS_OHLCV_VOLATILITY_SPIKE_30MIN_INT_{'type': 'interaction', 'parents': ['SURPRISE_Z_CONTINUOUS_RETURN_SURPRISE_Z_20_POS', 'OHLCV_VOLATILITY_SPIKE_30MIN'], 'role': 'contextual_trigger', 'mi_score': 0.0004827531126590378, 'risk_budget': 0.7, 'pt_mult': 2.0, 'sl_mult': 1.0, 'horizon': 48}_384_Quiet",COMPOSITE_SURPRISE_Z_CONTINUOUS_RETURN_SURPRISE_Z_20_POS_OHLCV_VOLATILITY_SPIKE_30MIN_INT,0.45985947889111306,0.01,0.429402202152961,0.9779635258358662,0.6781590287924376,0.9670821624794429,0.6126519756838906,0.2358009140831852,0.3844005508764405,2.6374206878873667,0.06448454438648725,0.168,10.0,"[{'feature': 'spectral_information_specialist_d4_causal_residual', 'importance': 30.0}, {'feature': 'wavelet_denoised_returns', 'importance': 28.0}, {'feature': 'spectral_tick_rule_specialist_d1', 'importance': 19.0}, {'feature': 'spectral_tick_rule_specialist_d1_causal_denoised', 'importance': 17.0}, {'feature': 'spectral_information_specialist_d4', 'importance': 17.0}, {'feature': 'spectral_tick_rule_specialist_d3', 'importance': 16.0}, {'feature': 'spec_inventory_specialist', 'importance': 14.0}, {'feature': 'spectral_tick_rule_specialist_d4', 'importance': 14.0}, {'feature': 'spec_tick_rule_specialist_causal_adjusted', 'importance': 11.0}, {'feature': 'spectral_tick_rule_specialist_d2', 'importance': 10.0}, {'feature': 'downside_semivariance_w20', 'importance': 10.0}, {'feature': 'spec_tick_rule_specialist', 'importance': 9.0}, {'feature': 'volatility_trend_slope', 'importance': 8.0}, {'feature': 'spectral_information_specialist_d4_causal_denoised', 'importance': 7.0}, {'feature': 'residual_return', 'importance': 7.0}, {'feature': 'spectral_tick_rule_specialist_d2_causal_adjusted', 'importance': 7.0}, {'feature': 'spectral_information_specialist_d3_causal_adjusted', 'importance': 6.0}, {'feature': 'vol_acceleration_w10', 'importance': 6.0}, {'feature': 'spec_information_specialist_causal_denoised', 'importance': 6.0}, {'feature': 'spectral_information_specialist_d3', 'importance': 6.0}, {'feature': 'spectral_cusum_break_specialist_d4_causal_denoised', 'importance': 5.0}, {'feature': 'adx_w20', 'importance': 5.0}, {'feature': 'volatility_w10', 'importance': 5.0}, {'feature': 'spectral_inventory_specialist_d1_causal_denoised', 'importance': 5.0}, {'feature': 'spectral_tick_rule_specialist_d2_causal_denoised', 'importance': 5.0}, {'feature': 'drawdown_w50_x_ehlers_fisher_transform_w50_causal', 'importance': 4.0}, {'feature': 'spectral_bar_efficiency_specialist_d2', 'importance': 4.0}, {'feature': 'spectral_information_specialist_d1_causal_denoised', 'importance': 4.0}, {'feature': 'spectral_tick_rule_specialist_d3_causal_denoised', 'importance': 4.0}, {'feature': 'spectral_information_specialist_d2_causal_denoised', 'importance': 4.0}, {'feature': 'spectral_inventory_specialist_d3_causal_denoised', 'importance': 4.0}, {'feature': 'spectral_inventory_specialist_d2', 'importance': 4.0}, {'feature': 'spectral_information_specialist_d3_causal_denoised', 'importance': 4.0}, {'feature': 'spectral_trend_specialist_d1_causal_denoised', 'importance': 4.0}, {'feature': 'spectral_reversal_specialist_d2_causal_denoised', 'importance': 4.0}, {'feature': 'cci_w10', 'importance': 4.0}, {'feature': 'hilbert_transform_phase', 'importance': 4.0}, {'feature': 'vwap_zscore_w10_causal_denoised', 'importance': 3.0}, {'feature': 'signed_price_impact_w50', 'importance': 3.0}, {'feature': 'spectral_volatility_breakout_specialist_d1_causal_adjusted', 'importance': 3.0}, {'feature': 'spectral_entropy_specialist_d3_causal_adjusted', 'importance': 3.0}, {'feature': 'spectral_inventory_specialist_d3_causal_adjusted', 'importance': 3.0}, {'feature': 'spectral_inventory_specialist_d2_causal_adjusted', 'importance': 3.0}, {'feature': 'spectral_cusum_break_specialist_d1_causal_denoised', 'importance': 3.0}, {'feature': 'spectral_reversal_specialist_d2_causal_adjusted', 'importance': 3.0}, {'feature': 'compression_x_momentum_w20', 'importance': 3.0}, {'feature': 'dist_to_long_proxy_causal_adjusted', 'importance': 3.0}, {'feature': 'spectral_cusum_break_specialist_d4', 'importance': 2.0}, {'feature': 'donchian_width_w10', 'importance': 2.0}, {'feature': 'vol_ratio_w20_vs_w80', 'importance': 2.0}, {'feature': 'volatility_trend_slope_w10', 'importance': 2.0}, {'feature': 'force_index_w20_causal_adjusted', 'importance': 2.0}, {'feature': 'cci_w50_x_smoothed_return_causal', 'importance': 2.0}, {'feature': 'spectral_reversal_specialist_d3_causal_adjusted', 'importance': 2.0}, {'feature': 'dist_to_long_proxy', 'importance': 2.0}, {'feature': 'smoothed_return_causal_denoised', 'importance': 2.0}, {'feature': 'spectral_information_specialist_d2', 'importance': 2.0}, {'feature': 'ehlers_fisher_transform_w50_x_smoothed_return_causal', 'importance': 2.0}, {'feature': 'spectral_reversal_specialist_d1_causal_denoised', 'importance': 2.0}, {'feature': 'dist_to_short_proxy', 'importance': 2.0}, {'feature': 'ease_of_movement_w20_x_open_causal', 'importance': 2.0}, {'feature': 'rolling_kurtosis_w20', 'importance': 2.0}, {'feature': 'spectral_inventory_specialist_d2_causal_denoised', 'importance': 2.0}, {'feature': 'volatility_1d_causal_denoised', 'importance': 2.0}, {'feature': 'volume_weighted_rsi_w10', 'importance': 2.0}, {'feature': 'volatility_w50', 'importance': 1.0}, {'feature': 'volatility_1d_x_log_ret_causal', 'importance': 1.0}, {'feature': 'spectral_trend_specialist_d2_causal_adjusted', 'importance': 1.0}, {'feature': 'spectral_volume_specialist_d4', 'importance': 1.0}, {'feature': 'spectral_reversal_specialist_d3', 'importance': 1.0}, {'feature': 'sma_ratio_w20_vs_w80', 'importance': 1.0}, {'feature': 'spectral_volatility_specialist_d2_causal_adjusted', 'importance': 1.0}, {'feature': 'spectral_trend_specialist_d4', 'importance': 1.0}, {'feature': 'spectral_volatility_specialist_d4', 'importance': 1.0}, {'feature': 'macd_hist_w50', 'importance': 1.0}, {'feature': 'relative_volume_stress', 'importance': 1.0}, {'feature': 'spectral_inventory_specialist_d4_causal_adjusted', 'importance': 1.0}, {'feature': 'rolling_skewness_w20', 'importance': 1.0}, {'feature': 'spectral_volume_specialist_d1', 'importance': 1.0}, {'feature': 'spec_trend_specialist_causal_adjusted', 'importance': 1.0}, {'feature': 'spec_volume_specialist_x_open_causal', 'importance': 1.0}, {'feature': 'spectral_inventory_specialist_d3', 'importance': 1.0}, {'feature': 'cci_w50_x_open_causal', 'importance': 1.0}, {'feature': 'spectral_cusum_break_specialist_d4_causal_adjusted', 'importance': 0.0}, {'feature': 'yang_zhang_volatility_w20', 'importance': 0.0}, {'feature': 'spectral_information_specialist_d3_x_open_causal', 'importance': 0.0}, {'feature': 'trend_duration_w20', 'importance': 0.0}, {'feature': 'vwap_zscore_w10_x_open_causal', 'importance': 0.0}, {'feature': 'trend_efficiency_ratio_w20', 'importance': 0.0}, {'feature': 'bars_since_trend_exhaustion_signal_w10', 'importance': 0.0}, {'feature': 'hurst_proxy_w50', 'importance': 0.0}, {'feature': 'bar_duration', 'importance': 0.0}, {'feature': 'spectral_cusum_break_specialist_d1_causal_adjusted', 'importance': 0.0}, {'feature': 'spectral_reversal_specialist_d4_x_open_causal', 'importance': 0.0}, {'feature': 'tail_event_flag_w20', 'importance': 0.0}, {'feature': 'spectral_trend_specialist_d3_causal_adjusted', 'importance': 0.0}, {'feature': 'spectral_information_specialist_d4_causal_adjusted', 'importance': 0.0}, {'feature': 'spectral_trend_specialist_d4_causal_denoised', 'importance': 0.0}, {'feature': 'spectral_bar_efficiency_specialist_d3', 'importance': 0.0}, {'feature': 'spectral_volume_specialist_d4_causal_denoised', 'importance': 0.0}]",2632,0.9779635258358662,0.006126519756838906,0.02203647416413379,0.9670821624794429,0.013844005508764405,0.45985947889111306,PASSED,WEAK
"META_WEIGHTED_SUM_COMPOSITE_FLOW_PRESSURE_CONTINUOUS_FLOW_ACCEL_20_POS_OHLCV_RETURN_SHOCK_30MIN_INT_{'type': 'weighted_sum', 'source': 'COMPOSITE_FLOW_PRESSURE_CONTINUOUS_FLOW_ACCEL_20_POS_OHLCV_RETURN_SHOCK_30MIN_INT', 'parent_smooth': 'FLOW_PRESSURE_CONTINUOUS_FLOW_ACCEL_20_POS', 'level': 11, 'risk_budget': 0.7, 'pt_mult': 2.0, 'sl_mult': 1.0, 'horizon': 48}_480_Quiet",META_WEIGHTED_SUM_COMPOSITE_FLOW_PRESSURE_CONTINUOUS_FLOW_ACCEL_20_POS_OHLCV_RETURN_SHOCK_30MIN_INT,0.452809269903712,0.01,0.4871540498138913,0.5,0.7482232931810043,2.401056040645268,0.48039215686274506,0.11424890390397702,0.46357949641176377,2.0572240495107557,0.031972477097117494,0.316,10.0,"[{'feature': 'wavelet_denoised_returns', 'importance': 13.0}, {'feature': 'spectral_volatility_breakout_specialist_d4_causal_adjusted', 'importance': 8.0}, {'feature': 'spectral_tick_rule_specialist_d4', 'importance': 8.0}, {'feature': 'spectral_inventory_specialist_d3_causal_denoised', 'importance': 7.0}, {'feature': 'spectral_information_specialist_d1_causal_denoised', 'importance': 6.0}, {'feature': 'spectral_information_specialist_d3_causal_adjusted', 'importance': 5.0}, {'feature': 'spectral_cusum_break_specialist_d1_causal_denoised', 'importance': 4.0}, {'feature': 'ease_of_movement_w10_x_force_index_w20_causal', 'importance': 4.0}, {'feature': 'spectral_information_specialist_d3_x_open_causal', 'importance': 3.0}, {'feature': 'spectral_tick_rule_specialist_d4_causal_adjusted', 'importance': 3.0}, {'feature': 'spectral_reversal_specialist_d1_causal_adjusted', 'importance': 3.0}, {'feature': 'spectral_bar_efficiency_specialist_d3', 'importance': 3.0}, {'feature': 'spectral_volatility_breakout_specialist_d4', 'importance': 2.0}, {'feature': 'spectral_volatility_breakout_specialist_d2_causal_denoised', 'importance': 2.0}, {'feature': 'force_index_w20_x_smoothed_return_causal', 'importance': 2.0}, {'feature': 'ehlers_fisher_transform_w50_causal_adjusted', 'importance': 2.0}, {'feature': 'hurst_proxy_w50', 'importance': 1.0}, {'feature': 'spectral_entropy_specialist_d1_causal_adjusted', 'importance': 1.0}, {'feature': 'rolling_skewness_w20', 'importance': 1.0}, {'feature': 'aroon_oscillator_w10', 'importance': 1.0}, {'feature': 'bars_since_compression_ended_w20', 'importance': 1.0}, {'feature': 'spectral_information_specialist_d3_causal_denoised', 'importance': 1.0}, {'feature': 'touch_count_near_price_w10', 'importance': 1.0}, {'feature': 'ease_of_movement_w20_causal_adjusted', 'importance': 1.0}, {'feature': 'adx_w10', 'importance': 1.0}, {'feature': 'spectral_information_specialist_d1_causal_adjusted', 'importance': 1.0}, {'feature': 'volatility_w50', 'importance': 0.0}, {'feature': 'spectral_cusum_break_specialist_d4_causal_denoised', 'importance': 0.0}, {'feature': 'spectral_cusum_break_specialist_d4_causal_adjusted', 'importance': 0.0}, {'feature': 'spec_tick_rule_specialist_causal_adjusted', 'importance': 0.0}, {'feature': 'spectral_cusum_break_specialist_d4', 'importance': 0.0}, {'feature': 'spectral_inventory_specialist_d4_causal_denoised', 'importance': 0.0}, {'feature': 'spec_volume_specialist_causal_denoised', 'importance': 0.0}, {'feature': 'volatility_1d_x_log_ret_causal', 'importance': 0.0}, {'feature': 'max_runup_w10', 'importance': 0.0}, {'feature': 'cusum_trend_neg', 'importance': 0.0}, {'feature': 'rolling_kurtosis_w50', 'importance': 0.0}, {'feature': 'spec_volume_specialist', 'importance': 0.0}, {'feature': 'spectral_trend_specialist_d1_causal_adjusted', 'importance': 0.0}, {'feature': 'spectral_trend_specialist_d2_causal_adjusted', 'importance': 0.0}, {'feature': 'spectral_trend_specialist_d2', 'importance': 0.0}, {'feature': 'spectral_volume_specialist_d2', 'importance': 0.0}, {'feature': 'spectral_volume_specialist_d4', 'importance': 0.0}, {'feature': 'donchian_width_w20', 'importance': 0.0}, {'feature': 'donchian_width_w10', 'importance': 0.0}, {'feature': 'vol_acceleration_w10', 'importance': 0.0}, {'feature': 'compression_x_momentum_w10', 'importance': 0.0}, {'feature': 'spec_trend_specialist_causal_denoised', 'importance': 0.0}, {'feature': 'drawdown_w50_x_ehlers_fisher_transform_w50_causal', 'importance': 0.0}, {'feature': 'adx_trend_strength_w50_causal_adjusted', 'importance': 0.0}, {'feature': 'spectral_volume_specialist_d2_causal_adjusted', 'importance': 0.0}, {'feature': 'spec_information_specialist_causal_residual', 'importance': 0.0}, {'feature': 'left_tail_var_ratio_w10', 'importance': 0.0}, {'feature': 'spectral_volatility_breakout_specialist_d2', 'importance': 0.0}, {'feature': 'spectral_tick_rule_specialist_d1', 'importance': 0.0}, {'feature': 'cci_w50_x_smoothed_return_causal', 'importance': 0.0}, {'feature': 'spectral_trend_specialist_d4', 'importance': 0.0}, {'feature': 'spectral_tick_rule_specialist_d2', 'importance': 0.0}, {'feature': 'smoothed_return_causal_denoised', 'importance': 0.0}, {'feature': 'spectral_volatility_specialist_d4', 'importance': 0.0}, {'feature': 'spectral_cusum_break_specialist_d1_causal_adjusted', 'importance': 0.0}, {'feature': 'spectral_information_specialist_d2', 'importance': 0.0}, {'feature': 'spectral_inventory_specialist_d4_causal_adjusted', 'importance': 0.0}, {'feature': 'spectral_reversal_specialist_d4_x_open_causal', 'importance': 0.0}, {'feature': 'adx_trend_strength_w50', 'importance': 0.0}, {'feature': 'ehlers_fisher_transform_w50_x_smoothed_return_causal', 'importance': 0.0}, {'feature': 'spectral_reversal_specialist_d1_causal_denoised', 'importance': 0.0}, {'feature': 'spec_volatility_breakout_specialist_causal_adjusted', 'importance': 0.0}, {'feature': 'price_vol_correlation_w20', 'importance': 0.0}, {'feature': 'rogers_satchell_volatility_w10', 'importance': 0.0}]",102,0.5,0.004803921568627451,0.5,2.401056040645268,0.014635794964117639,0.452809269903712,PASSED,WEAK
"META_SUM_4H_COMPOSITE_MARKET_FRAGILITY_FRAGILITY_ACCEL_100_POS_OHLCV_RETURN_SHOCK_30MIN_INT_{'type': 'meta_aggregation', 'source': 'COMPOSITE_MARKET_FRAGILITY_FRAGILITY_ACCEL_100_POS_OHLCV_RETURN_SHOCK_30MIN_INT', 'method': 'rolling_sum_4h', 'level': 11, 'risk_budget': 0.7, 'pt_mult': 2.0, 'sl_mult': 1.0, 'horizon': 48}_585_Quiet",META_SUM_4H_COMPOSITE_MARKET_FRAGILITY_FRAGILITY_ACCEL_100_POS_OHLCV_RETURN_SHOCK_30MIN_INT,0.4176089617685188,0.01,0.48431871850016456,0.8865979381443299,1.1789531854769726,2.079493538999576,0.6649484536082474,0.0,0.34771459958643713,1.0358257300822018,0.4107461818385346,0.024,10.0,"[{'feature': 'spectral_volatility_breakout_specialist_d1_causal_adjusted', 'importance': 6.0}, {'feature': 'adx_trend_strength_w50_causal_adjusted', 'importance': 5.0}, {'feature': 'spectral_bar_efficiency_specialist_d1_causal_adjusted', 'importance': 5.0}, {'feature': 'spectral_volume_specialist_d4_causal_adjusted', 'importance': 5.0}, {'feature': 'spec_cusum_break_specialist', 'importance': 4.0}, {'feature': 'spec_cusum_break_specialist_x_close_causal', 'importance': 4.0}, {'feature': 'spectral_tick_rule_specialist_d4_causal_adjusted', 'importance': 3.0}, {'feature': 'spec_cusum_break_specialist_causal_adjusted', 'importance': 3.0}, {'feature': 'adx_trend_strength_w10', 'importance': 3.0}, {'feature': 'spectral_entropy_specialist_d3_causal_adjusted', 'importance': 3.0}, {'feature': 'ease_of_movement_w20_x_open_causal', 'importance': 3.0}, {'feature': 'volume_delta_w10', 'importance': 3.0}, {'feature': 'volume_weighted_rsi_w20', 'importance': 3.0}, {'feature': 'spec_volume_specialist_causal_denoised', 'importance': 2.0}, {'feature': 'vol_acceleration_w20', 'importance': 2.0}, {'feature': 'force_index_w20_causal_denoised', 'importance': 2.0}, {'feature': 'spectral_reversal_specialist_d1_causal_denoised', 'importance': 2.0}, {'feature': 'spectral_volume_specialist_d1', 'importance': 2.0}, {'feature': 'false_break_rate_w10', 'importance': 2.0}, {'feature': 'spectral_inventory_specialist_d1_causal_denoised', 'importance': 2.0}, {'feature': 'spectral_tick_rule_specialist_d4', 'importance': 2.0}, {'feature': 'shadow_asymmetry_w20', 'importance': 2.0}, {'feature': 'spectral_volume_specialist_d4', 'importance': 1.0}, {'feature': 'spec_trend_specialist_causal_denoised', 'importance': 1.0}, {'feature': 'spec_tick_rule_specialist_causal_denoised', 'importance': 1.0}, {'feature': 'adx_trend_strength_w20', 'importance': 1.0}, {'feature': 'drawdown_w20', 'importance': 1.0}, {'feature': 'geo_atr_14', 'importance': 1.0}, {'feature': 'spectral_information_specialist_d2', 'importance': 1.0}, {'feature': 'spectral_information_specialist_d2_causal_adjusted', 'importance': 1.0}, {'feature': 'adx_trend_strength_w50_causal_denoised', 'importance': 1.0}, {'feature': 'delta_volume_divergence_w10', 'importance': 1.0}, {'feature': 'spectral_inventory_specialist_d1_causal_adjusted', 'importance': 1.0}, {'feature': 'compression_x_momentum_w20', 'importance': 1.0}, {'feature': 'log_ret_x_smoothed_return_causal', 'importance': 1.0}, {'feature': 'spectral_trend_specialist_d3_causal_denoised', 'importance': 0.0}, {'feature': 'spectral_information_specialist_d3_causal_adjusted', 'importance': 0.0}, {'feature': 'spectral_cusum_break_specialist_d4_causal_adjusted', 'importance': 0.0}, {'feature': 'cusum_trend_neg', 'importance': 0.0}, {'feature': 'spectral_information_specialist_d3_x_open_causal', 'importance': 0.0}, {'feature': 'trend_duration_w20', 'importance': 0.0}, {'feature': 'spec_volume_specialist', 'importance': 0.0}, {'feature': 'aroon_oscillator_w20', 'importance': 0.0}, {'feature': 'rv_z_short', 'importance': 0.0}, {'feature': 'directional_consistency_w20', 'importance': 0.0}, {'feature': 'wavelet_denoised_returns', 'importance': 0.0}, {'feature': 'spectral_volatility_breakout_specialist_d2_causal_denoised', 'importance': 0.0}, {'feature': 'range_expansion_ratio_w10', 'importance': 0.0}, {'feature': 'vol_ratio_w20_vs_w80', 'importance': 0.0}, {'feature': 'body_to_range', 'importance': 0.0}, {'feature': 'force_index_w20', 'importance': 0.0}, {'feature': 'left_tail_var_ratio_w10', 'importance': 0.0}, {'feature': 'spectral_volatility_breakout_specialist_d2', 'importance': 0.0}, {'feature': 'cci_w50_x_smoothed_return_causal', 'importance': 0.0}, {'feature': 'downside_semivariance_w10', 'importance': 0.0}, {'feature': 'spectral_trend_specialist_d4', 'importance': 0.0}, {'feature': 'bar_duration', 'importance': 0.0}, {'feature': 'dist_to_long_proxy', 'importance': 0.0}, {'feature': 'spectral_volatility_specialist_d4', 'importance': 0.0}, {'feature': 'macd_hist_w50', 'importance': 0.0}, {'feature': 'spectral_cusum_break_specialist_d1_causal_adjusted', 'importance': 0.0}, {'feature': 'spectral_reversal_specialist_d4_x_open_causal', 'importance': 0.0}, {'feature': 'spectral_inventory_specialist_d4_causal_adjusted', 'importance': 0.0}, {'feature': 'adx_trend_strength_w50', 'importance': 0.0}, {'feature': 'spectral_information_specialist_d1_causal_denoised', 'importance': 0.0}, {'feature': 'spectral_trend_specialist_d3_causal_adjusted', 'importance': 0.0}, {'feature': 'tail_event_flag_w20', 'importance': 0.0}, {'feature': 'spectral_inventory_specialist_d3_causal_adjusted', 'importance': 0.0}, {'feature': 'spec_volatility_breakout_specialist_causal_adjusted', 'importance': 0.0}, {'feature': 'spectral_inventory_specialist_d2_causal_adjusted', 'importance': 0.0}]",97,0.8865979381443299,0.006649484536082474,0.11340206185567014,2.079493538999576,0.013477145995864373,0.4176089617685188,PASSED,WEAK
"RELAXATION_GEOMETRY_DISTANCE_FROM_MEAN_100_POS_{'source': 'distance_from_mean_100', 'side': 'positive', 'method': 'continuous_z_threshold', 'risk_budget': 0.7, 'pt_mult': 2.0, 'sl_mult': 1.0, 'horizon': 48}_346_Quiet",RELAXATION_GEOMETRY_DISTANCE_FROM_MEAN_100_POS,0.42550923300663845,0.01,0.4205154482510354,0.84375,1.1321007525704538,0.8759544703877588,0.65625,0.0,0.352890725311125,2.064068741456363,0.3114534754352472,0.024,10.0,"[{'feature': 'wavelet_denoised_returns', 'importance': 14.0}, {'feature': 'spectral_tick_rule_specialist_d1_causal_adjusted', 'importance': 10.0}, {'feature': 'price_impact_w10', 'importance': 10.0}, {'feature': 'cmf_w10', 'importance': 8.0}, {'feature': 'rolling_kurtosis_w10', 'importance': 6.0}, {'feature': 'spectral_information_specialist_d4_causal_residual', 'importance': 5.0}, {'feature': 'volume_weighted_rsi_w10', 'importance': 5.0}, {'feature': 'spec_trend_specialist_x_open_causal', 'importance': 4.0}, {'feature': 'smoothed_return_x_smoothed_return_causal', 'importance': 4.0}, {'feature': 'spectral_information_specialist_d3_causal_adjusted', 'importance': 3.0}, {'feature': 'returns_1h', 'importance': 3.0}, {'feature': 'spectral_tick_rule_specialist_d1_causal_denoised', 'importance': 3.0}, {'feature': 'adx_trend_strength_w50_x_adx_trend_strength_w50_causal', 'importance': 3.0}, {'feature': 'volume_without_progress_w10', 'importance': 2.0}, {'feature': 'rolling_skewness_w50', 'importance': 2.0}, {'feature': 'spectral_tick_rule_specialist_d4_causal_adjusted', 'importance': 2.0}, {'feature': 'spec_volume_specialist', 'importance': 2.0}, {'feature': 'vol_acceleration_w20', 'importance': 2.0}, {'feature': 'drawdown_w20', 'importance': 2.0}, {'feature': 'dist_to_short_proxy', 'importance': 2.0}, {'feature': 'spectral_inventory_specialist_d3_causal_denoised', 'importance': 2.0}, {'feature': 'aroon_oscillator_w10', 'importance': 2.0}, {'feature': 'tail_event_flag_w50', 'importance': 2.0}, {'feature': 'adx_w20', 'importance': 2.0}, {'feature': 'amihud_illiquidity', 'importance': 2.0}, {'feature': 'spectral_cusum_break_specialist_d4_causal_adjusted', 'importance': 1.0}, {'feature': 'spectral_trend_specialist_d1_causal_adjusted', 'importance': 1.0}, {'feature': 'donchian_width_w20', 'importance': 1.0}, {'feature': 'rv_z_short', 'importance': 1.0}, {'feature': 'sma_ratio_w20_vs_w80', 'importance': 1.0}, {'feature': 'spectral_bar_efficiency_specialist_d2', 'importance': 1.0}, {'feature': 'cci_w50_x_smoothed_return_causal', 'importance': 1.0}, {'feature': 'range_per_volume_w20', 'importance': 1.0}, {'feature': 'force_index_w20_causal_denoised', 'importance': 1.0}, {'feature': 'spectral_tick_rule_specialist_d2_causal_adjusted', 'importance': 1.0}, {'feature': 'volatility_1d_causal_denoised', 'importance': 1.0}, {'feature': 'parkinson_volatility_w20', 'importance': 1.0}, {'feature': 'ease_of_movement_w10_causal_residual', 'importance': 1.0}, {'feature': 'smoothed_return_x_open_causal', 'importance': 1.0}, {'feature': 'spectral_bar_efficiency_specialist_d4_causal_adjusted', 'importance': 1.0}, {'feature': 'trend_duration_w50', 'importance': 1.0}, {'feature': 'spec_volume_specialist_causal_adjusted', 'importance': 1.0}, {'feature': 'obv_slope_w50', 'importance': 1.0}, {'feature': 'signed_price_impact_w10', 'importance': 1.0}, {'feature': 'macd_hist_w20', 'importance': 1.0}, {'feature': 'bars_since_vol_spike_w50', 'importance': 0.0}, {'feature': 'yang_zhang_volatility_w20', 'importance': 0.0}, {'feature': 'spectral_information_specialist_d3_x_open_causal', 'importance': 0.0}, {'feature': 'ease_of_movement_w10_causal_denoised', 'importance': 0.0}, {'feature': 'trend_duration_w20', 'importance': 0.0}, {'feature': 'spectral_information_specialist_d4_causal_denoised', 'importance': 0.0}, {'feature': 'serial_corr', 'importance': 0.0}, {'feature': 'spectral_cusum_break_specialist_d3', 'importance': 0.0}, {'feature': 'force_index_w20', 'importance': 0.0}, {'feature': 'parkinson_volatility_w10', 'importance': 0.0}, {'feature': 'volatility_trend_slope_w10', 'importance': 0.0}, {'feature': 'absorption_x_vol_spike_w10', 'importance': 0.0}, {'feature': 'spectral_tick_rule_specialist_d1', 'importance': 0.0}, {'feature': 'touch_count_near_price_w50', 'importance': 0.0}, {'feature': 'signed_price_impact_w50', 'importance': 0.0}, {'feature': 'fracdiff_price', 'importance': 0.0}, {'feature': 'spectral_tick_rule_specialist_d2', 'importance': 0.0}, {'feature': 'dist_to_long_proxy', 'importance': 0.0}, {'feature': 'smoothed_return_causal_denoised', 'importance': 0.0}, {'feature': 'macd_hist_w50', 'importance': 0.0}, {'feature': 'spectral_cusum_break_specialist_d1_causal_adjusted', 'importance': 0.0}, {'feature': 'spectral_information_specialist_d2', 'importance': 0.0}, {'feature': 'spectral_inventory_specialist_d4_causal_adjusted', 'importance': 0.0}, {'feature': 'spectral_reversal_specialist_d4_x_open_causal', 'importance': 0.0}, {'feature': 'ehlers_fisher_transform_w50_x_smoothed_return_causal', 'importance': 0.0}]",128,0.84375,0.0065625,0.15625,0.8759544703877588,0.013528907253111249,0.42550923300663845,PASSED,WEAK
