feature,importance,model,head
VOL_CUSUM_h_0.10261995798796003_vol_span_100_risk_budget_0.4_pt_mult_2.0_sl_mult_0.8_horizon_48_0,273,alpha_model_0,alpha
PRICE_CUSUM_k_0.12_vol_window_20_risk_budget_0.4_pt_mult_2.0_sl_mult_0.6_horizon_12_1,226,alpha_model_0,alpha
price_position_in_range,751,alpha_model_0,alpha
unified_price_momentum,880,alpha_model_0,alpha
unified_price_strength,39,alpha_model_0,alpha
adaptive_filter_momentum,916,alpha_model_0,alpha
adaptive_filter_distance,0,alpha_model_0,alpha
adaptive_filter_regime,26,alpha_model_0,alpha
noise_reduction_momentum,0,alpha_model_0,alpha
noise_reduction_smoothness,0,alpha_model_0,alpha
noise_reduction_stability,0,alpha_model_0,alpha
filter_consensus_score,0,alpha_model_0,alpha
layer1_weight_momentum,695,alpha_model_0,alpha
layer1_weight_volatility_adj,697,alpha_model_0,alpha
volatility_1d,1451,alpha_model_0,alpha
