feature,mean_importance,std_importance,model_count
CAUSAL_SURPRISE_params_(2.0_all)_risk_budget_0.4_pt_mult_1.5_sl_mult_0.75_horizon_48_0,1540.0,,1
layer1_weight_volatility_adj,1520.0,,1
volatility_1d,1380.0,,1
price_position_in_range,1208.0,,1
adaptive_filter_momentum,1080.0,,1
layer1_weight_momentum,691.0,,1
adaptive_filter_regime,85.0,,1
adaptive_filter_distance,0.0,,1
filter_consensus_score,0.0,,1
noise_reduction_momentum,0.0,,1
noise_reduction_smoothness,0.0,,1
noise_reduction_stability,0.0,,1
