layer,metric,value
label_based_layer_2,n_total,30585
label_based_layer_2,n_labeled,30585
label_based_layer_2,coverage,1.0
label_based_layer_2,pos_rate,0.0
label_based_layer_2,mean_return,
label_based_layer_2,median_return,
label_based_layer_2,std_return,
label_based_layer_2,mean_weight,
label_based_layer_2,median_weight,
label_based_layer_2,std_weight,
label_based_layer_2,weight_entropy_norm,
label_based_layer_3,error,no_valid_oof_rows
label_based_layer_3,meta_prob_nan,0
label_based_layer_3,meta_prob_nan_pct,0.0
label_based_layer_3,size_trade_n,0
label_based_layer_4,layer4_enabled,False
label_based_layer_4,reason,"columns overlap but no suffix specified: Index(['high', 'low', 'close', 'volume', 'symbol', 'volatility_1d',
       'vol_regime', 'trend_regime'],
      dtype='object')"
label_based_layer_5,Total PnL,0.0
label_based_layer_5,Avg Trade PnL,0.0
label_based_layer_5,Trade Count,0
label_based_layer_5,Turnover Estimate,0.0
label_based_layer_5,Net Sortino,0.0
label_based_layer_5,Maximum Drawdown,1.000088900582341e-12
label_based_layer_5,Total Return,0.0
label_based_layer_5,AUC,
label_based_layer_5,Runtime,"{'n_rows': 30585, 'total_ms': 4.909665993181989}"
label_based_layer_5,pmin_sweep_csv,outcomes/layer5_pmin_sweep_20260101_145200.csv
