family,params,pt_mult,sl_mult,horizon,risk_budget,status,n,signals_per_day,target_signals_per_day,adaptive_used
ENTROPY,{'window': 12},1.5,1.0,12,0.4,ANOVA,289,0.88,7.5,True
ENTROPY,{'window': 12},1.5,1.0,12,0.7,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},1.5,1.0,12,1.0,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},1.5,1.0,24,0.4,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},1.5,1.0,24,0.7,ANOVA,289,0.88,7.5,True
ENTROPY,{'window': 12},1.5,1.0,24,1.0,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},1.5,1.0,48,0.4,Class Balance,289,0.88,7.5,True
ENTROPY,{'window': 12},1.5,1.0,48,0.7,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},1.5,1.0,48,1.0,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},2.0,1.0,12,0.4,ANOVA,289,0.88,7.5,True
ENTROPY,{'window': 12},2.0,1.0,12,0.7,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},2.0,1.0,12,1.0,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},2.0,1.0,24,0.4,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},2.0,1.0,24,0.7,ANOVA,289,0.88,7.5,True
ENTROPY,{'window': 12},2.0,1.0,24,1.0,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},2.0,1.0,48,0.4,Class Balance,289,0.88,7.5,True
ENTROPY,{'window': 12},2.0,1.0,48,0.7,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},2.0,1.0,48,1.0,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},2.5,1.0,12,0.4,ANOVA,289,0.88,7.5,True
ENTROPY,{'window': 12},2.5,1.0,12,0.7,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},2.5,1.0,12,1.0,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},2.5,1.0,24,0.4,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},2.5,1.0,24,0.7,ANOVA,289,0.88,7.5,True
ENTROPY,{'window': 12},2.5,1.0,24,1.0,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},2.5,1.0,48,0.4,Class Balance,289,0.88,7.5,True
ENTROPY,{'window': 12},2.5,1.0,48,0.7,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},2.5,1.0,48,1.0,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},3.0,1.0,12,0.4,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},3.0,1.0,12,0.7,ANOVA,289,0.88,7.5,True
ENTROPY,{'window': 12},3.0,1.0,12,1.0,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},3.0,1.0,24,0.4,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},3.0,1.0,24,0.7,ANOVA,289,0.88,7.5,True
ENTROPY,{'window': 12},3.0,1.0,24,1.0,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},3.0,1.0,48,0.4,Class Balance,289,0.88,7.5,True
ENTROPY,{'window': 12},3.0,1.0,48,0.7,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},3.0,1.0,48,1.0,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},3.5,1.0,12,0.4,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},3.5,1.0,12,0.7,ANOVA,289,0.88,7.5,True
ENTROPY,{'window': 12},3.5,1.0,12,1.0,ANOVA,289,0.88,7.5,True
ENTROPY,{'window': 12},3.5,1.0,24,0.4,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},3.5,1.0,24,0.7,ANOVA,289,0.88,7.5,True
ENTROPY,{'window': 12},3.5,1.0,24,1.0,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},3.5,1.0,48,0.4,Class Balance,289,0.88,7.5,True
ENTROPY,{'window': 12},3.5,1.0,48,0.7,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},3.5,1.0,48,1.0,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},4.0,1.0,12,0.4,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},4.0,1.0,12,0.7,ANOVA,289,0.88,7.5,True
ENTROPY,{'window': 12},4.0,1.0,12,1.0,ANOVA,289,0.88,7.5,True
ENTROPY,{'window': 12},4.0,1.0,24,0.4,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},4.0,1.0,24,0.7,ANOVA,289,0.88,7.5,True
ENTROPY,{'window': 12},4.0,1.0,24,1.0,ANOVA,289,0.88,7.5,True
ENTROPY,{'window': 12},4.0,1.0,48,0.4,Class Balance,289,0.88,7.5,True
ENTROPY,{'window': 12},4.0,1.0,48,0.7,PASS,289,0.88,7.5,True
ENTROPY,{'window': 12},4.0,1.0,48,1.0,PASS,289,0.88,7.5,True
ENTROPY,{'window': 24},1.5,1.0,12,0.4,Sample Size (< 0.5/day),86,0.26,7.5,True
ENTROPY,{'window': 24},1.5,1.0,12,0.7,Sample Size (< 0.5/day),86,0.26,7.5,True
