layer,metric,value
label_based_layer_2,n_total,7421
label_based_layer_2,n_labeled,7421
label_based_layer_2,coverage,1.0
label_based_layer_2,pos_rate,0.6209405740466244
label_based_layer_2,mean_return,0.0018589638804761206
label_based_layer_2,median_return,-0.0010626999384411812
label_based_layer_2,std_return,0.018213804553516975
label_based_layer_2,mean_weight,1.0
label_based_layer_2,median_weight,0.10190588114915537
label_based_layer_2,std_weight,4.71527400900406
label_based_layer_2,weight_entropy_norm,0.753747462882904
label_based_layer_3,n_eval,7421
label_based_layer_3,auc,0.5030218872494436
label_based_layer_3,log_loss,0.6920653005597249
label_based_layer_3,brier,0.24945926557975612
label_based_layer_3,ece,6.163749981748612e-18
label_based_layer_3,target_is_binary_like,True
label_based_layer_3,prob_mean,0.4776984233930737
label_based_layer_3,prob_std,0.006585901691439532
label_based_layer_3,meta_prob_nan,0
label_based_layer_3,meta_prob_nan_pct,0.0
label_based_layer_3,size_trade_n,404
label_based_layer_3,size_trade_n_eval,404
label_based_layer_3,size_trade_auc,0.5
label_based_layer_3,size_trade_log_loss,0.6930981649566267
label_based_layer_3,size_trade_brier,0.24997549259876475
label_based_layer_3,size_trade_ece,1.1102230246251565e-16
label_based_layer_3,size_trade_target_is_binary_like,True
label_based_layer_3,size_trade_prob_mean,0.5049504950495048
label_based_layer_3,size_trade_prob_std,1.1102230246251565e-16
label_based_layer_4,layer4_enabled,False
label_based_layer_4,reason,"Length mismatch: Expected axis has 14842 elements, new values have 7421 elements"
label_based_layer_5,Total PnL,0.00012621675286098272
label_based_layer_5,Avg Trade PnL,3.124177051014418e-07
label_based_layer_5,Trade Count,404
label_based_layer_5,Turnover Estimate,3.178525589943519
label_based_layer_5,Net Sortino,0.03358297248358782
label_based_layer_5,Maximum Drawdown,0.0035304443835164623
label_based_layer_5,Total Return,0.0001254783943764881
label_based_layer_5,AUC,0.5030218872494436
label_based_layer_5,Runtime,"{'n_rows': 7421, 'total_ms': 2.202750009018928}"
label_based_layer_5,pmin_sweep_csv,outcomes/layer5_pmin_sweep_20251230_010239.csv
