feature,row_type,mi_proxy_full,mi_mean_cv,mi_cv,hsic,pearson_corr,r2,n_features,mi_mean_avg,mi_mean_median,r2_mean,r2_median,n_high_mi,n_high_r2,hsic_mean,hsic_median,best_mi_feature_value,best_mi_feature,best_r2_feature_value,best_r2_feature,best_hsic_feature_value,best_hsic_feature,model_i,model_j,rep_feature_i,rep_feature_j,mi_proxy,mi_forward,mi_backward
smc_predicted,feature,0.001435584109975352,0.003436990716253163,0.6219288881365757,0.1483502536423131,0.0017228497497364882,2.96821126016708e-06,,,,,,,,,,,,,,,,,,,,,,
ml_volume_force_vol_zscore,feature,0.0,0.0035061488540412355,1.2545773568948289,0.007671199854393737,-0.011353896847357206,0.0001289109736204279,,,,,,,,,,,,,,,,,,,,,,
ml_volume_force_cvd_15m_zscore_over_1d,feature,0.0,0.0035061488540412355,1.2545773568948289,0.044034086601661034,-0.013419425361461611,0.00018008097703183908,,,,,,,,,,,,,,,,,,,,,,
ml_volume_force_amihud_validity,feature,0.004250629863202349,0.0035061488540412355,1.2545773568948289,0.010484028018628496,-0.03697155563839159,0.0013668959263226851,,,,,,,,,,,,,,,,,,,,,,
xgb_macro_regime_specialist_probability,feature,0.003011274531244723,0.004705138572806256,0.9413840787917293,0.2278324768151233,-0.0446488259556727,0.001993517659219952,,,,,,,,,,,,,,,,,,,,,,
liquidity_score,feature,0.008769975944536768,0.0180673126888939,0.26649690556028627,0.9408195174655054,0.10706995161569015,0.011463974538986229,,,,,,,,,,,,,,,,,,,,,,
ml_liquidity_regime_specialist_prediction,feature,0.0,0.0044406835665675715,1.2419099585262505,0.0006643208713275016,0.04216867680243459,0.0017781973032681853,,,,,,,,,,,,,,,,,,,,,,
ml_path_regime_specialist_prediction,feature,0.0023103044780263815,0.002439157934030156,1.3580078932998907,0.0015637532388688505,-0.018272887369860755,0.00033389841283161666,,,,,,,,,,,,,,,,,,,,,,
risk_score,feature,0.0009126088255548837,0.004065960061124941,0.6497278900305418,1.0,-0.018620024403775675,0.00034670530879720167,,,,,,,,,,,,,,,,,,,,,,
xgb_meso_regime_specialist_probability,feature,0.005312968304506782,0.01085268900729055,0.4167069368670084,0.44737591625064893,-0.026806067352166587,0.0007185652468888914,,,,,,,,,,,,,,,,,,,,,,
smc,model_reliability,,,,,,,1.0,0.003436990716253163,0.003436990716253163,2.96821126016708e-06,2.96821126016708e-06,0.0,0.0,0.1483502536423131,0.1483502536423131,0.003436990716253163,smc_predicted,2.96821126016708e-06,smc_predicted,0.1483502536423131,smc_predicted,,,,,,,
volume,model_reliability,,,,,,,3.0,0.0035061488540412355,0.0035061488540412355,0.000558629292324984,0.00018008097703183908,0.0,0.0,0.020729771491561088,0.010484028018628496,0.0035061488540412355,ml_volume_force_vol_zscore,0.0013668959263226851,ml_volume_force_amihud_validity,0.044034086601661034,ml_volume_force_cvd_15m_zscore_over_1d,,,,,,,
xgb_macro,model_reliability,,,,,,,1.0,0.004705138572806256,0.004705138572806256,0.001993517659219952,0.001993517659219952,0.0,0.0,0.2278324768151233,0.2278324768151233,0.004705138572806256,xgb_macro_regime_specialist_probability,0.001993517659219952,xgb_macro_regime_specialist_probability,0.2278324768151233,xgb_macro_regime_specialist_probability,,,,,,,
liquidity,model_reliability,,,,,,,2.0,0.011253998127730735,0.011253998127730735,0.006621085921127207,0.006621085921127207,0.0,0.0,0.47074191916841646,0.47074191916841646,0.0180673126888939,liquidity_score,0.011463974538986229,liquidity_score,0.9408195174655054,liquidity_score,,,,,,,
path,model_reliability,,,,,,,1.0,0.002439157934030156,0.002439157934030156,0.00033389841283161666,0.00033389841283161666,0.0,0.0,0.0015637532388688505,0.0015637532388688505,0.002439157934030156,ml_path_regime_specialist_prediction,0.00033389841283161666,ml_path_regime_specialist_prediction,0.0015637532388688505,ml_path_regime_specialist_prediction,,,,,,,
risk,model_reliability,,,,,,,1.0,0.004065960061124941,0.004065960061124941,0.00034670530879720167,0.00034670530879720167,0.0,0.0,1.0,1.0,0.004065960061124941,risk_score,0.00034670530879720167,risk_score,1.0,risk_score,,,,,,,
xgb_meso,model_reliability,,,,,,,1.0,0.01085268900729055,0.01085268900729055,0.0007185652468888914,0.0007185652468888914,0.0,0.0,0.44737591625064893,0.44737591625064893,0.01085268900729055,xgb_meso_regime_specialist_probability,0.0007185652468888914,xgb_meso_regime_specialist_probability,0.44737591625064893,xgb_meso_regime_specialist_probability,,,,,,,
liquidity|xgb_macro,model_pairwise,,,,,,0.21963912506046895,,,,,,,,,,,,,,,,liquidity,xgb_macro,liquidity_score,xgb_macro_regime_specialist_probability,0.46865672411741727,0.46865672411741727,0.46865672411741727
xgb_macro|xgb_meso,model_pairwise,,,,,,0.2097847900264605,,,,,,,,,,,,,,,,xgb_macro,xgb_meso,xgb_macro_regime_specialist_probability,xgb_meso_regime_specialist_probability,0.45802269597309314,0.45802269597309314,0.45802269597309314
risk|smc,model_pairwise,,,,,,0.20583390982194558,,,,,,,,,,,,,,,,risk,smc,risk_score,smc_predicted,0.45368922162857866,0.45368922162857866,0.45368922162857866
liquidity|xgb_meso,model_pairwise,,,,,,0.1711450585041839,,,,,,,,,,,,,,,,liquidity,xgb_meso,liquidity_score,xgb_meso_regime_specialist_probability,0.4136968195480646,0.4136968195480646,0.4136968195480646
liquidity|risk,model_pairwise,,,,,,0.1445088954688913,,,,,,,,,,,,,,,,liquidity,risk,liquidity_score,risk_score,0.3801432565085054,0.3801432565085054,0.3801432565085054
risk|xgb_meso,model_pairwise,,,,,,0.12905817772181494,,,,,,,,,,,,,,,,risk,xgb_meso,risk_score,xgb_meso_regime_specialist_probability,0.3592466808779379,0.3592466808779379,0.3592466808779379
smc|xgb_meso,model_pairwise,,,,,,0.09794490673419688,,,,,,,,,,,,,,,,smc,xgb_meso,smc_predicted,xgb_meso_regime_specialist_probability,0.31296150998836403,0.31296150998836403,0.31296150998836403
liquidity|smc,model_pairwise,,,,,,0.08289207411758669,,,,,,,,,,,,,,,,liquidity,smc,liquidity_score,smc_predicted,0.28790983678503707,0.28790983678503707,0.28790983678503707
risk|xgb_macro,model_pairwise,,,,,,0.033355403585011066,,,,,,,,,,,,,,,,risk,xgb_macro,risk_score,xgb_macro_regime_specialist_probability,0.18263461770707948,0.18263461770707948,0.18263461770707948
volume|xgb_macro,model_pairwise,,,,,,0.020597727060108244,,,,,,,,,,,,,,,,volume,xgb_macro,ml_volume_force_vol_zscore,xgb_macro_regime_specialist_probability,0.14351908256433443,0.14351908256433443,0.14351908256433443
smc|xgb_macro,model_pairwise,,,,,,0.015019970864030419,,,,,,,,,,,,,,,,smc,xgb_macro,smc_predicted,xgb_macro_regime_specialist_probability,0.12255599073089173,0.12255599073089173,0.12255599073089173
liquidity|volume,model_pairwise,,,,,,0.0134287111281901,,,,,,,,,,,,,,,,liquidity,volume,liquidity_score,ml_volume_force_vol_zscore,0.1158823158561741,0.1158823158561741,0.1158823158561741
risk|volume,model_pairwise,,,,,,0.013046574532992468,,,,,,,,,,,,,,,,risk,volume,risk_score,ml_volume_force_vol_zscore,0.11422160274218038,0.11422160274218038,0.11422160274218038
path|xgb_macro,model_pairwise,,,,,,0.01031521841041711,,,,,,,,,,,,,,,,path,xgb_macro,ml_path_regime_specialist_prediction,xgb_macro_regime_specialist_probability,0.10156386370366731,0.10156386370366731,0.10156386370366731
liquidity|path,model_pairwise,,,,,,0.008530424373637355,,,,,,,,,,,,,,,,liquidity,path,liquidity_score,ml_path_regime_specialist_prediction,0.09236029652203026,0.09236029652203026,0.09236029652203026
path|xgb_meso,model_pairwise,,,,,,0.006909729291429926,,,,,,,,,,,,,,,,path,xgb_meso,ml_path_regime_specialist_prediction,xgb_meso_regime_specialist_probability,0.08312478145192279,0.08312478145192279,0.08312478145192279
volume|xgb_meso,model_pairwise,,,,,,0.004819122433428982,,,,,,,,,,,,,,,,volume,xgb_meso,ml_volume_force_vol_zscore,xgb_meso_regime_specialist_probability,0.06941989940520644,0.06941989940520644,0.06941989940520644
path|risk,model_pairwise,,,,,,0.0023149017864960565,,,,,,,,,,,,,,,,path,risk,ml_path_regime_specialist_prediction,risk_score,0.04811342626020367,0.04811342626020367,0.04811342626020367
smc|volume,model_pairwise,,,,,,0.001124649645433128,,,,,,,,,,,,,,,,smc,volume,smc_predicted,ml_volume_force_vol_zscore,0.03353579647828762,0.03353579647828762,0.03353579647828762
path|volume,model_pairwise,,,,,,0.0007094087202586415,,,,,,,,,,,,,,,,path,volume,ml_path_regime_specialist_prediction,ml_volume_force_vol_zscore,0.02663472771136663,0.02663472771136663,0.02663472771136663
path|smc,model_pairwise,,,,,,0.000169375674484046,,,,,,,,,,,,,,,,path,smc,ml_path_regime_specialist_prediction,smc_predicted,0.013014440997754994,0.013014440997754994,0.013014440997754994
