metric,scope,regime,n_samples,wcov_between,wcov_within,wcov_ratio,mean,std
parkinson_volatility,GLOBAL,ALL,104508,2.4537586444641244,1.6912839493576308,1.4508259425555543,0.008341657204794569,1.2290647933991112
parkinson_volatility,REGIME,0,36588,,,,0.25444441387899047,0.8014501771409082
parkinson_volatility,REGIME,1,50896,,,,-0.6906476052338419,0.5882267761880547
parkinson_volatility,REGIME,2,17024,,,,1.5691587295662466,1.6826782969737173
rolling_kurtosis,GLOBAL,ALL,104508,2.359588001955339,4.966755651535417,0.4750763199866971,0.03291133104725435,1.1396884239540297
rolling_kurtosis,REGIME,0,36588,,,,0.04905179473617817,0.6640210158448302
rolling_kurtosis,REGIME,1,50896,,,,-0.5899651417549039,0.33484284334064535
rolling_kurtosis,REGIME,2,17024,,,,1.8604121342831743,1.4800804286586424
rolling_skewness,GLOBAL,ALL,104508,3.478687944698915,205.94000575953058,0.016891754138299617,-7.308353146391963e-05,1.0887036965503223
rolling_skewness,REGIME,0,36588,,,,0.03287256510588432,1.0170360075377043
rolling_skewness,REGIME,1,50896,,,,-0.0010618521520601258,0.5919256525887723
rolling_skewness,REGIME,2,17024,,,,-0.06792382510979056,1.999686869565857
volatility_of_volatility,GLOBAL,ALL,104508,2.3816275639429976,1.2609102489938038,1.8888160731149235,0.023576858242099735,1.2191211821806431
volatility_of_volatility,REGIME,0,36588,,,,0.23575595266232785,0.561616351753598
volatility_of_volatility,REGIME,1,50896,,,,-0.7448977886629938,0.37944901218289256
volatility_of_volatility,REGIME,2,17024,,,,1.8650404932417666,1.6620116462989916
risk_score,GLOBAL,ALL,104508,,,,,
risk_score,REGIME,0,36588,,,,,
risk_score,REGIME,1,50896,,,,,
risk_score,REGIME,2,17024,,,,,
