timestamp,symbol,exchange,timeframe,direction,specialist_name,training_success,auc,mi_score,best_auc,best_mi,n_features,n_samples,compliance,enhanced_mi_score,ensemble_ready,hyperparams_n_estimators,hyperparams_max_depth,hyperparams_learning_rate,hyperparams_subsample,hyperparams_colsample_bytree,hyperparams_gamma,hyperparams_reg_alpha,hyperparams_reg_lambda,hyperparams_min_child_weight
2026-01-11T10:51:43.943033,ETHUSDT,binance,15m,long,EnhancedMLMomentumPersistenceStep,False,0.0,0.0,0.0,0.0,0,0,False,0.0,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-01-11T10:51:43.943159,ETHUSDT,binance,15m,long,EnhancedMLSMCRegimeStep,False,0.0,0.0,0.0,0.0,0,0,False,0.0,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-01-11T10:51:43.943169,ETHUSDT,binance,15m,long,EnhancedMLVolatilityBurstStep,False,0.0,0.0,0.0,0.0,0,0,False,0.0,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-01-11T10:51:43.943177,ETHUSDT,binance,15m,long,EnhancedMLVolumeForceStep,False,0.0,0.0,0.0,0.0,0,0,False,0.0,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-01-11T10:51:43.943184,ETHUSDT,binance,15m,long,EnhancedXGBMacroRegimeStep,False,0.0,0.0,0.0,0.0,0,0,False,0.0,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-01-11T10:51:43.943192,ETHUSDT,binance,15m,long,EnhancedXGBMesoRegimeStep,False,0.0,0.0,0.0,0.0,0,0,False,0.0,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-01-11T10:51:43.943199,ETHUSDT,binance,15m,long,EnhancedMLLiquidityRegimeStep,False,0.0,0.0,0.0,0.0,0,0,False,0.0,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-01-11T10:51:43.943211,ETHUSDT,binance,15m,long,EnhancedMLPathRegimeStep,False,0.0,0.0,0.0,0.0,0,0,False,0.0,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-01-11T10:51:43.943219,ETHUSDT,binance,15m,long,EnhancedMLRiskRegimeStep,True,0.0,0.0,0.0,0.0,0,0,False,0.0,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-01-11T10:51:43.943227,ETHUSDT,binance,15m,long,EnhancedMLMicrostructureStep,False,0.0,0.0,0.0,0.0,0,0,False,0.0,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2026-01-11T10:51:43.943233,ETHUSDT,binance,15m,long,EnhancedMLSpectralStep,False,0.0,0.0,0.0,0.0,0,0,False,0.0,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
