feature,importance,correlation_with_target
smc_adr_filled_pct,15.797747611999512,0.00912207809925897
smc_session_London,13.854089736938477,-0.032473695276993564
smc_dist_to_day_open,13.373979568481445,-0.018120443346404374
smc_dist_to_pdl_atr,12.782761573791504,-0.03969042402233725
smc_dow_Sun,12.533936500549316,0.000513329061250635
smc_dow_Sat,12.518495559692383,0.010465878388749591
smc_profile_skew,12.413290023803711,0.037610407028844196
smc_dow_Tue,12.103833198547363,-0.013263697663375998
smc_session_NY_AM,11.86633014678955,-0.005787323968260563
smc_session_Dead,11.84862995147705,0.007135816249064646
smc_dow_Fri,11.827645301818848,0.006834542884368811
smc_dist_to_pdh_atr,11.450532913208008,-0.00844586539561927
smc_dow_Wed,11.433850288391113,0.015897175478588592
smc_fib_retracement_level,11.367225646972656,0.031040907971778435
smc_daily_wick_rejection,11.327068328857422,0.025979424449525963
smc_break_of_structure_mag,11.300950050354004,0.002711390166185694
smc_htf_trend_slope,11.23630428314209,-0.013649334903982846
smc_time_elapsed_session,11.169746398925781,0.0025578431970380918
smc_dow_Thu,10.972901344299316,-0.016691160961970593
smc_poc_dist_atr,10.539834976196289,-0.029148900841571186
smc_session_NY_PM,10.49221420288086,0.018150247243242094
smc_dist_to_week_open,10.48586654663086,-0.0019498960745364942
smc_nwog_gap_size,10.069416046142578,0.006651810176822737
smc_dow_Mon,9.966388702392578,-0.0037365757451670776
smc_dist_to_swing_low,9.858138084411621,-0.020387232124916336
smc_gap_fill_ratio,9.834043502807617,-0.006219434706283886
smc_dist_to_swing_high,9.553894996643066,0.00790617372508041
smc_rel_volume,9.473093032836914,-0.0029184861928433416
smc_session_Asia,9.415372848510742,0.01319595681333811
smc_range_position,9.392725944519043,-0.03104090797004166
smc_market_structure_Downtrend,8.870498657226562,0.004289020168196185
smc_atr_compression,8.759765625,0.006757293564579883
smc_consequent_encroachment,8.573853492736816,-0.005798791218364891
smc_current_fvg_size,8.340437889099121,-6.017742705681521e-05
smc_velocity_roc,7.6547160148620605,-0.00901829363848624
smc_nearest_fvg_dist,7.291369438171387,-0.01642399115476852
smc_is_inside_fvg,6.983209609985352,0.00017729503536876342
smc_volume_imbalance_size,6.861597537994385,-0.0031457871890653794
smc_hvn_gravity,6.151752471923828,0.0008857424428033451
smc_sweep_confirmed,5.950760841369629,-0.003764488953211684
smc_wick_body_ratio,5.726926326751709,-0.002417507932311821
smc_consecutive_candles,5.650400638580322,-0.013430738435059042
smc_displacement_strength,5.172630786895752,-0.001908640369612434
smc_close_position_in_candle,5.1402740478515625,-0.008845437046837502
smc_is_in_value_area,4.21384334564209,-0.002110865826977357
smc_market_structure_Range,3.669907331466675,-0.0015903466959889926
smc_market_structure_Uptrend,0.0,-0.0021910020565247723
