feature
meta_volatility_regime
meta_trendiness
meta_volume_shock
meta_efficiency
meta_autocorr
log_ret
range_expansion_ratio
vol_move_confirmation
vol_breakout_validation
vol_trend_persistence
vol_liquidity_momentum
volatility_1h
volatility_4h
volatility_1d
vol_of_vol
vol_percentile_1d
volatility_regime
vol_regime_medium
vol_regime_high
kalman_trend
kalman_uncertainty
ma_distance_kalman
momentum_kalman
momentum_per_vol
ma_distance_per_vol
volatility_5
volatility_20
volatility_ratio
volatility_ema
sma_slope
price_vs_sma20
atr_14
trend_strength_atr_32
range_to_atr_96
volume_trend
vol_price_corr
volume_zscore
volume_spike
signed_volume_ema
event_intensity_96
volume_x_rv_48
trend_x_participation_48
momentum_5
momentum_10
momentum_20
range_position
kalman_range_position
close_minus_vwap
hour
day_of_week
hour_sin
hour_cos
is_good_hour
is_bad_hour
is_sunday
cvd_proxy
volume_pressure
ofi_proxy
volume_imbalance
absorption_ratio
liquidity_gap_up
liquidity_gap_down
liquidity_gap_abs
kalman_trend_x_vol_ratio
sma_slope_x_vol_ratio
price_vs_sma20_x_vol_ratio
range_position_x_vol_ratio
meta_trendiness_x_meta_volatility_regime
meta_volume_shock_x_kalman_trend
meta_volume_shock_x_sma_slope
