id,family,name_base,params,events,labels,metrics,jaccard,uniqueness,passed,ic,f_stat,n_events,stability_std,entropy,score
CUSUM_0,VOLATILITY,CUSUM,"{'multiplier': 0.5, 'vol_window': 24, 'pt': 1.0, 'sl': 1.0, 'horizon': 12}","DatetimeIndex(['2023-01-01 06:00:00', '2023-01-01 06:15:00',
               '2023-01-01 06:30:00', '2023-01-01 06:45:00',
               '2023-01-01 07:30:00', '2023-01-01 07:45:00',
               '2023-01-01 08:00:00', '2023-01-01 08:15:00',
               '2023-01-01 08:30:00', '2023-01-01 08:45:00',
               ...
               '2023-01-11 06:15:00', '2023-01-11 06:30:00',
               '2023-01-11 06:45:00', '2023-01-11 07:30:00',
               '2023-01-11 07:45:00', '2023-01-11 08:00:00',
               '2023-01-11 08:15:00', '2023-01-11 08:30:00',
               '2023-01-11 09:15:00', '2023-01-11 09:45:00'],
              dtype='datetime64[ns]', length=654, freq=None)","2023-01-01 06:00:00    1
2023-01-01 06:15:00    1
2023-01-01 06:30:00   -1
2023-01-01 06:45:00    1
2023-01-01 07:30:00   -1
                      ..
2023-01-11 07:45:00    1
2023-01-11 08:00:00    1
2023-01-11 08:15:00    1
2023-01-11 08:30:00    1
2023-01-11 09:15:00   -1
Name: label, Length: 637, dtype: int64","{'balance': np.float64(0.37362637362637363), 'events_per_day': 63.7, 'n_events': 637, 'time_spread': np.float64(0.28327482127769316), 'psr': np.float64(0.9897432829270336), 'anova_min_p': np.float64(6.231559195731075e-76), 'max_mi': np.float64(0.30185551850838777)}",0.9848024316109423,1.0,True,0.6697216308755819,450.2171370098004,637,0.040473554142587444,0.6608575273573023,75.25913841348006
CUSUM_1,VOLATILITY,CUSUM,"{'multiplier': 0.5, 'vol_window': 24, 'pt': 1.0, 'sl': 1.0, 'horizon': 24}","DatetimeIndex(['2023-01-01 06:00:00', '2023-01-01 06:15:00',
               '2023-01-01 06:30:00', '2023-01-01 06:45:00',
               '2023-01-01 07:30:00', '2023-01-01 07:45:00',
               '2023-01-01 08:00:00', '2023-01-01 08:15:00',
               '2023-01-01 08:30:00', '2023-01-01 08:45:00',
               ...
               '2023-01-11 06:15:00', '2023-01-11 06:30:00',
               '2023-01-11 06:45:00', '2023-01-11 07:30:00',
               '2023-01-11 07:45:00', '2023-01-11 08:00:00',
               '2023-01-11 08:15:00', '2023-01-11 08:30:00',
               '2023-01-11 09:15:00', '2023-01-11 09:45:00'],
              dtype='datetime64[ns]', length=654, freq=None)","2023-01-01 06:00:00    1
2023-01-01 06:15:00    1
2023-01-01 06:30:00   -1
2023-01-01 06:45:00    1
2023-01-01 07:30:00   -1
                      ..
2023-01-11 07:45:00    1
2023-01-11 08:00:00    1
2023-01-11 08:15:00    1
2023-01-11 08:30:00    1
2023-01-11 09:15:00   -1
Name: label, Length: 653, dtype: int64","{'balance': np.float64(0.3552833078101072), 'events_per_day': 65.3, 'n_events': 653, 'time_spread': np.float64(0.28327482127769316), 'psr': np.float64(0.99498496079714), 'anova_min_p': np.float64(2.518077997038259e-73), 'max_mi': np.float64(0.2816929301366642)}",0.9848024316109423,1.0,True,0.6526714100661876,426.9787435018722,653,0.0402152827893905,0.6506560064481516,70.49439511828936
CUSUM_2,VOLATILITY,CUSUM,"{'multiplier': 0.5, 'vol_window': 24, 'pt': 1.0, 'sl': 1.0, 'horizon': 48}","DatetimeIndex(['2023-01-01 06:00:00', '2023-01-01 06:15:00',
               '2023-01-01 06:30:00', '2023-01-01 06:45:00',
               '2023-01-01 07:30:00', '2023-01-01 07:45:00',
               '2023-01-01 08:00:00', '2023-01-01 08:15:00',
               '2023-01-01 08:30:00', '2023-01-01 08:45:00',
               ...
               '2023-01-11 06:15:00', '2023-01-11 06:30:00',
               '2023-01-11 06:45:00', '2023-01-11 07:30:00',
               '2023-01-11 07:45:00', '2023-01-11 08:00:00',
               '2023-01-11 08:15:00', '2023-01-11 08:30:00',
               '2023-01-11 09:15:00', '2023-01-11 09:45:00'],
              dtype='datetime64[ns]', length=654, freq=None)","2023-01-01 06:00:00    1
2023-01-01 06:15:00    1
2023-01-01 06:30:00   -1
2023-01-01 06:45:00    1
2023-01-01 07:30:00   -1
                      ..
2023-01-11 07:45:00    1
2023-01-11 08:00:00    1
2023-01-11 08:15:00    1
2023-01-11 08:30:00    1
2023-01-11 09:15:00   -1
Name: label, Length: 653, dtype: int64","{'balance': np.float64(0.3552833078101072), 'events_per_day': 65.3, 'n_events': 653, 'time_spread': np.float64(0.28327482127769316), 'psr': np.float64(0.99498496079714), 'anova_min_p': np.float64(2.518077997038259e-73), 'max_mi': np.float64(0.2816929301366642)}",0.9848024316109423,1.0,True,0.6526714100661876,426.9787435018722,653,0.0402152827893905,0.6506560064481516,70.49439511828936
CUSUM_3,VOLATILITY,CUSUM,"{'multiplier': 0.5, 'vol_window': 24, 'pt': 1.0, 'sl': 1.0, 'horizon': 96}","DatetimeIndex(['2023-01-01 06:00:00', '2023-01-01 06:15:00',
               '2023-01-01 06:30:00', '2023-01-01 06:45:00',
               '2023-01-01 07:30:00', '2023-01-01 07:45:00',
               '2023-01-01 08:00:00', '2023-01-01 08:15:00',
               '2023-01-01 08:30:00', '2023-01-01 08:45:00',
               ...
               '2023-01-11 06:15:00', '2023-01-11 06:30:00',
               '2023-01-11 06:45:00', '2023-01-11 07:30:00',
               '2023-01-11 07:45:00', '2023-01-11 08:00:00',
               '2023-01-11 08:15:00', '2023-01-11 08:30:00',
               '2023-01-11 09:15:00', '2023-01-11 09:45:00'],
              dtype='datetime64[ns]', length=654, freq=None)","2023-01-01 06:00:00    1
2023-01-01 06:15:00    1
2023-01-01 06:30:00   -1
2023-01-01 06:45:00    1
2023-01-01 07:30:00   -1
                      ..
2023-01-11 07:45:00    1
2023-01-11 08:00:00    1
2023-01-11 08:15:00    1
2023-01-11 08:30:00    1
2023-01-11 09:15:00   -1
Name: label, Length: 653, dtype: int64","{'balance': np.float64(0.3552833078101072), 'events_per_day': 65.3, 'n_events': 653, 'time_spread': np.float64(0.28327482127769316), 'psr': np.float64(0.99498496079714), 'anova_min_p': np.float64(2.518077997038259e-73), 'max_mi': np.float64(0.2816929301366642)}",0.9848024316109423,1.0,True,0.6526714100661876,426.9787435018722,653,0.0402152827893905,0.6506560064481516,70.49439511828936
CUSUM_4,VOLATILITY,CUSUM,"{'multiplier': 0.5, 'vol_window': 24, 'pt': 1.5, 'sl': 1.0, 'horizon': 12}","DatetimeIndex(['2023-01-01 06:00:00', '2023-01-01 06:15:00',
               '2023-01-01 06:30:00', '2023-01-01 06:45:00',
               '2023-01-01 07:30:00', '2023-01-01 07:45:00',
               '2023-01-01 08:00:00', '2023-01-01 08:15:00',
               '2023-01-01 08:30:00', '2023-01-01 08:45:00',
               ...
               '2023-01-11 06:15:00', '2023-01-11 06:30:00',
               '2023-01-11 06:45:00', '2023-01-11 07:30:00',
               '2023-01-11 07:45:00', '2023-01-11 08:00:00',
               '2023-01-11 08:15:00', '2023-01-11 08:30:00',
               '2023-01-11 09:15:00', '2023-01-11 09:45:00'],
              dtype='datetime64[ns]', length=654, freq=None)","2023-01-01 06:00:00   -1
2023-01-01 06:15:00    1
2023-01-01 06:30:00   -1
2023-01-01 06:45:00    1
2023-01-01 07:30:00   -1
                      ..
2023-01-11 07:45:00    1
2023-01-11 08:00:00    1
2023-01-11 08:15:00    1
2023-01-11 08:30:00    1
2023-01-11 09:15:00   -1
Name: label, Length: 627, dtype: int64","{'balance': np.float64(0.4130781499202552), 'events_per_day': 62.7, 'n_events': 627, 'time_spread': np.float64(0.28327482127769316), 'psr': np.float64(0.990680399432626), 'anova_min_p': np.float64(7.015475201958887e-77), 'max_mi': np.float64(0.33536155146738844)}",0.9848024316109423,1.0,True,0.6850050309389257,459.8714233508083,627,0.04532499769280638,0.6779593169864344,71.66845199782354
CUSUM_5,VOLATILITY,CUSUM,"{'multiplier': 0.5, 'vol_window': 24, 'pt': 1.5, 'sl': 1.0, 'horizon': 24}","DatetimeIndex(['2023-01-01 06:00:00', '2023-01-01 06:15:00',
               '2023-01-01 06:30:00', '2023-01-01 06:45:00',
               '2023-01-01 07:30:00', '2023-01-01 07:45:00',
               '2023-01-01 08:00:00', '2023-01-01 08:15:00',
               '2023-01-01 08:30:00', '2023-01-01 08:45:00',
               ...
               '2023-01-11 06:15:00', '2023-01-11 06:30:00',
               '2023-01-11 06:45:00', '2023-01-11 07:30:00',
               '2023-01-11 07:45:00', '2023-01-11 08:00:00',
               '2023-01-11 08:15:00', '2023-01-11 08:30:00',
               '2023-01-11 09:15:00', '2023-01-11 09:45:00'],
              dtype='datetime64[ns]', length=654, freq=None)","2023-01-01 06:00:00   -1
2023-01-01 06:15:00    1
2023-01-01 06:30:00   -1
2023-01-01 06:45:00    1
2023-01-01 07:30:00   -1
                      ..
2023-01-11 07:45:00    1
2023-01-11 08:00:00    1
2023-01-11 08:15:00    1
2023-01-11 08:30:00    1
2023-01-11 09:15:00   -1
Name: label, Length: 652, dtype: int64","{'balance': np.float64(0.3773006134969325), 'events_per_day': 65.2, 'n_events': 652, 'time_spread': np.float64(0.28327482127769316), 'psr': np.float64(0.9984783372114414), 'anova_min_p': np.float64(1.2605561140206124e-72), 'max_mi': np.float64(0.30733613107451396)}",0.9848024316109423,1.0,True,0.6567928089651996,421.8462777867828,652,0.03708295130011779,0.6627271683106029,78.20449781457104
CUSUM_6,VOLATILITY,CUSUM,"{'multiplier': 0.5, 'vol_window': 24, 'pt': 1.5, 'sl': 1.0, 'horizon': 48}","DatetimeIndex(['2023-01-01 06:00:00', '2023-01-01 06:15:00',
               '2023-01-01 06:30:00', '2023-01-01 06:45:00',
               '2023-01-01 07:30:00', '2023-01-01 07:45:00',
               '2023-01-01 08:00:00', '2023-01-01 08:15:00',
               '2023-01-01 08:30:00', '2023-01-01 08:45:00',
               ...
               '2023-01-11 06:15:00', '2023-01-11 06:30:00',
               '2023-01-11 06:45:00', '2023-01-11 07:30:00',
               '2023-01-11 07:45:00', '2023-01-11 08:00:00',
               '2023-01-11 08:15:00', '2023-01-11 08:30:00',
               '2023-01-11 09:15:00', '2023-01-11 09:45:00'],
              dtype='datetime64[ns]', length=654, freq=None)","2023-01-01 06:00:00   -1
2023-01-01 06:15:00    1
2023-01-01 06:30:00   -1
2023-01-01 06:45:00    1
2023-01-01 07:30:00   -1
                      ..
2023-01-11 07:45:00    1
2023-01-11 08:00:00    1
2023-01-11 08:15:00    1
2023-01-11 08:30:00    1
2023-01-11 09:15:00   -1
Name: label, Length: 653, dtype: int64","{'balance': np.float64(0.3767228177641654), 'events_per_day': 65.3, 'n_events': 653, 'time_spread': np.float64(0.28327482127769316), 'psr': np.float64(0.9987676415166995), 'anova_min_p': np.float64(1.3858604150916544e-72), 'max_mi': np.float64(0.30488471339944123)}",0.9848024316109423,1.0,True,0.6562717801397009,421.3587127423628,653,0.03454357498611418,0.6624369695298806,83.7964305965251
CUSUM_7,VOLATILITY,CUSUM,"{'multiplier': 0.5, 'vol_window': 24, 'pt': 1.5, 'sl': 1.0, 'horizon': 96}","DatetimeIndex(['2023-01-01 06:00:00', '2023-01-01 06:15:00',
               '2023-01-01 06:30:00', '2023-01-01 06:45:00',
               '2023-01-01 07:30:00', '2023-01-01 07:45:00',
               '2023-01-01 08:00:00', '2023-01-01 08:15:00',
               '2023-01-01 08:30:00', '2023-01-01 08:45:00',
               ...
               '2023-01-11 06:15:00', '2023-01-11 06:30:00',
               '2023-01-11 06:45:00', '2023-01-11 07:30:00',
               '2023-01-11 07:45:00', '2023-01-11 08:00:00',
               '2023-01-11 08:15:00', '2023-01-11 08:30:00',
               '2023-01-11 09:15:00', '2023-01-11 09:45:00'],
              dtype='datetime64[ns]', length=654, freq=None)","2023-01-01 06:00:00   -1
2023-01-01 06:15:00    1
2023-01-01 06:30:00   -1
2023-01-01 06:45:00    1
2023-01-01 07:30:00   -1
                      ..
2023-01-11 07:45:00    1
2023-01-11 08:00:00    1
2023-01-11 08:15:00    1
2023-01-11 08:30:00    1
2023-01-11 09:15:00   -1
Name: label, Length: 653, dtype: int64","{'balance': np.float64(0.3767228177641654), 'events_per_day': 65.3, 'n_events': 653, 'time_spread': np.float64(0.28327482127769316), 'psr': np.float64(0.9987676415166995), 'anova_min_p': np.float64(1.3858604150916544e-72), 'max_mi': np.float64(0.30488471339944123)}",0.9848024316109423,1.0,True,0.6562717801397009,421.3587127423628,653,0.03454357498611418,0.6624369695298806,83.7964305965251
CUSUM_8,VOLATILITY,CUSUM,"{'multiplier': 0.5, 'vol_window': 24, 'pt': 2.0, 'sl': 1.0, 'horizon': 12}","DatetimeIndex(['2023-01-01 06:00:00', '2023-01-01 06:15:00',
               '2023-01-01 06:30:00', '2023-01-01 06:45:00',
               '2023-01-01 07:30:00', '2023-01-01 07:45:00',
               '2023-01-01 08:00:00', '2023-01-01 08:15:00',
               '2023-01-01 08:30:00', '2023-01-01 08:45:00',
               ...
               '2023-01-11 06:15:00', '2023-01-11 06:30:00',
               '2023-01-11 06:45:00', '2023-01-11 07:30:00',
               '2023-01-11 07:45:00', '2023-01-11 08:00:00',
               '2023-01-11 08:15:00', '2023-01-11 08:30:00',
               '2023-01-11 09:15:00', '2023-01-11 09:45:00'],
              dtype='datetime64[ns]', length=654, freq=None)","2023-01-01 06:00:00   -1
2023-01-01 06:15:00    1
2023-01-01 06:30:00   -1
2023-01-01 06:45:00    1
2023-01-01 07:30:00   -1
                      ..
2023-01-11 07:45:00    1
2023-01-11 08:00:00    1
2023-01-11 08:15:00    1
2023-01-11 08:30:00    1
2023-01-11 09:15:00   -1
Name: label, Length: 618, dtype: int64","{'balance': np.float64(0.4401294498381877), 'events_per_day': 61.8, 'n_events': 618, 'time_spread': np.float64(0.28327482127769316), 'psr': np.float64(0.9799634708503551), 'anova_min_p': np.float64(1.2081806429043114e-75), 'max_mi': np.float64(0.3208483900853081)}",0.9848024316109423,1.0,True,0.6867355144103322,452.0121015299282,618,0.016542808302632547,0.6859609846381376,197.58917201548368
CUSUM_9,VOLATILITY,CUSUM,"{'multiplier': 0.5, 'vol_window': 24, 'pt': 2.0, 'sl': 1.0, 'horizon': 24}","DatetimeIndex(['2023-01-01 06:00:00', '2023-01-01 06:15:00',
               '2023-01-01 06:30:00', '2023-01-01 06:45:00',
               '2023-01-01 07:30:00', '2023-01-01 07:45:00',
               '2023-01-01 08:00:00', '2023-01-01 08:15:00',
               '2023-01-01 08:30:00', '2023-01-01 08:45:00',
               ...
               '2023-01-11 06:15:00', '2023-01-11 06:30:00',
               '2023-01-11 06:45:00', '2023-01-11 07:30:00',
               '2023-01-11 07:45:00', '2023-01-11 08:00:00',
               '2023-01-11 08:15:00', '2023-01-11 08:30:00',
               '2023-01-11 09:15:00', '2023-01-11 09:45:00'],
              dtype='datetime64[ns]', length=654, freq=None)","2023-01-01 06:00:00   -1
2023-01-01 06:15:00    1
2023-01-01 06:30:00   -1
2023-01-01 06:45:00    1
2023-01-01 07:30:00   -1
                      ..
2023-01-11 07:45:00    1
2023-01-11 08:00:00    1
2023-01-11 08:15:00    1
2023-01-11 08:30:00    1
2023-01-11 09:15:00   -1
Name: label, Length: 645, dtype: int64","{'balance': np.float64(0.39689922480620154), 'events_per_day': 64.5, 'n_events': 645, 'time_spread': np.float64(0.28327482127769316), 'psr': np.float64(0.9989379952231626), 'anova_min_p': np.float64(1.617498826038294e-72), 'max_mi': np.float64(0.30607624935428257)}",0.9848024316109423,1.0,True,0.6606729499916993,422.2720739841627,645,0.0234077331431937,0.6717343626029918,126.53947743564558
