feature
close_minus_vwap
vol_regime_high
volatility_regime_age
regime_leaf_raw__regime_memory__t17_3.0
kalman_trend_x_vol_ratio
returns_mean_50
regime_leaf_raw__regime_volatility__t64_9.0
dist_from_recent_low_50
kalman_range_position
momentum_20_x_regime_medium
volatility_20
momentum_10_x_regime_medium
ma_distance_per_vol
range_to_atr_96
trend_regime_age
event_intensity_96
obv_divergence_kalman
price_vs_sma20_x_vol_ratio
obv_divergence
range_4h
range_position_x_vol_ratio
meta_efficiency
close_range_20
meta_trendiness
dist_from_recent_high_20
ma_distance_kalman
volatility_1d_lag_1
return_entropy_20
close_min_50
kalman_close_minus_vwap
close_range_50
ofi_proxy
regime_leaf_momentum_10__regime_volatility
regime_leaf_raw__regime_volatility__t65_4.0
regime_leaf_raw__regime_memory__t12_11.0
momentum_kalman_lag_1
momentum_5_x_regime_medium
vol_breakout_validation
regime_leaf_raw__regime_memory__t76_7.0
hour_cos
hurst_exponent_30
pullback_depth_50
permutation_entropy_30
meta_volatility_regime
cvd_proxy
momentum_10_div_volatility_1d
volume_at_low_20
volume_at_high_20
meta_volume_shock_x_kalman_trend
volatility_1h_agg
volatility_4h_agg
volume_imbalance
high_dist_x_vol
regime_leaf_raw__regime_volatility__t3_1.0
regime_leaf_raw__regime_memory__t23_10.0
log_ret
vol_of_vol
entropy_kalman
volatility_ratio
atr_ratio
regime_leaf_raw__regime_memory__t58_5.0
sma_slope_x_vol_ratio
vol_price_dir_corr_10
regime_leaf_raw__regime_memory__t24_9.0
volatility_1h
volume_at_high_10
regime_leaf_raw__regime_memory__t25_9.0
momentum_5_div_volatility_1d
pullback_depth_20
regime_leaf_momentum_std_5__regime_trend_efficiency
