feature,p_value,category
climax_volume_flag_w150,0.0,strong_rejection
donchian_width_w100,0.0,strong_rejection
directional_consistency_w10,0.0,strong_rejection
donchian_width_w10,0.0,strong_rejection
body_to_range,0.0,strong_rejection
donchian_width_w200,0.0,strong_rejection
range_per_volume_w150,0.0,strong_rejection
range_per_volume_w10,0.0,strong_rejection
range_per_volume_w200,0.0,strong_rejection
range_per_volume_w100,0.0,strong_rejection
delta_volume_divergence_w200,0.0,strong_rejection
range_per_volume_w50,0.0,strong_rejection
bars_since_breakout_attempt_w200,0.0,strong_rejection
trend_alignment_score_w200,0.0,strong_rejection
range_per_volume_w20,0.0,strong_rejection
donchian_width_w150,0.0,strong_rejection
climax_volume_flag_w200,0.0,strong_rejection
trend_duration_w150,4.440892098500626e-16,strong_rejection
climax_volume_flag_w100,2.7755575615628914e-15,strong_rejection
returns_1h,7.993605777301127e-15,strong_rejection
tail_event_flag_w150,2.6964430688281027e-11,strong_rejection
vol_compression_duration_w10,3.295214268117519e-08,strong_rejection
trend_alignment_score_w100,1.675006070511742e-07,strong_rejection
donchian_width_w50,2.014802254701742e-06,strong_rejection
cci_w200,3.5428480724686295e-06,strong_rejection
entropy,4.379941681342814e-06,strong_rejection
donchian_width_w20,2.2581457987502773e-05,strong_rejection
rogers_satchell_volatility_w100,2.5398745179594506e-05,strong_rejection
tail_event_flag_w200,3.0140674001644108e-05,strong_rejection
illiquidity,6.312477641101655e-05,strong_rejection
bars_since_trend_exhaustion_signal_w200,6.330960774580952e-05,strong_rejection
false_break_rate_w20,7.160103613035318e-05,strong_rejection
trend_alignment_score_w150,0.00013180005288659924,strong_rejection
stochastic_k_w20,0.00014512287250767475,strong_rejection
donchian_position_w20,0.00014512287250767475,strong_rejection
close_location_value_w20,0.0001451232505265132,strong_rejection
rogers_satchell_volatility_w200,0.0001519468016503156,strong_rejection
cci_w50,0.0004886666059237266,strong_rejection
volume_weighted_rsi_w10,0.0005581832441596823,strong_rejection
cmf_w150,0.0005871579466919519,strong_rejection
tail_event_flag_w100,0.0013610575318793172,strong_rejection
body_to_range_w200,0.0022504374868066446,strong_rejection
absorption_x_vol_spike_w10,0.0024483083515531856,strong_rejection
