layer,metric,value
label_based_layer_2,n_total,4971
label_based_layer_2,n_labeled,4971
label_based_layer_2,coverage,1.0
label_based_layer_2,pos_rate,0.0
label_based_layer_2,mean_return,-0.0029999999999999996
label_based_layer_2,median_return,-0.003
label_based_layer_2,std_return,4.336808689942018e-19
label_based_layer_2,mean_weight,1.0
label_based_layer_2,median_weight,1.0
label_based_layer_2,std_weight,0.0
label_based_layer_2,weight_entropy_norm,0.9999999995938677
label_based_layer_3,n_eval,4971
label_based_layer_3,auc,
label_based_layer_3,log_loss,1.522508379729459
label_based_layer_3,brier,0.32626664685879564
label_based_layer_3,ece,0.5364450564197437
label_based_layer_3,target_is_binary_like,False
label_based_layer_3,prob_mean,0.5364450564197436
label_based_layer_3,prob_std,0.19619721787429528
label_based_layer_3,meta_prob_nan,0
label_based_layer_3,meta_prob_nan_pct,0.0
label_based_layer_3,size_trade_n,1997
label_based_layer_3,size_trade_n_eval,1997
label_based_layer_3,size_trade_auc,
label_based_layer_3,size_trade_log_loss,2.963292559441721
label_based_layer_3,size_trade_brier,0.5401807264164707
label_based_layer_3,size_trade_ece,0.7066068823951459
label_based_layer_3,size_trade_target_is_binary_like,False
label_based_layer_3,size_trade_prob_mean,0.7066068823951459
label_based_layer_3,size_trade_prob_std,0.20220642959184817
label_based_layer_4,layer4_enabled,False
label_based_layer_4,reason,SimpleMultiModelRiskEngine.__init__() got an unexpected keyword argument 'n_estimators'
label_based_layer_5,Total PnL,-0.19182315558366633
label_based_layer_5,Avg Trade PnL,-9.60556612837588e-05
label_based_layer_5,Trade Count,1997
label_based_layer_5,Turnover Estimate,1543.415232570768
label_based_layer_5,Net Sortino,-4.199713472543378
label_based_layer_5,Maximum Drawdown,0.17461044945135196
label_based_layer_5,Total Return,-0.1746104494505265
label_based_layer_5,AUC,
label_based_layer_5,Runtime,"{'n_rows': 4971, 'total_ms': 3.243916988139972}"
label_based_layer_5,pmin_sweep_csv,outcomes/layer5_pmin_sweep_20260102_171248.csv
