,volume_kalman,moving_average,fisher,raw_price
2024-12-15 14:45:00,3907.080078125,,,3907.08
2024-12-15 15:00:00,3894.9419165870154,,,3891.69
2024-12-15 15:15:00,3897.9182533340404,,,3901.79
2024-12-15 15:30:00,3896.5233149624487,,,3897.01
2024-12-15 15:45:00,3894.6799434644167,,,3894.76
2024-12-15 16:00:00,3894.394251495821,,,3895.5
2024-12-15 16:15:00,3895.0688725205737,,,3896.5
2024-12-15 16:30:00,3903.748931281339,,,3910.49
2024-12-15 16:45:00,3909.537228689122,,,3911.81
2024-12-15 17:00:00,3914.860935513835,,,3915.99
2024-12-15 17:15:00,3912.423815895968,,,3907.49
2024-12-15 17:30:00,3914.371560361321,,,3914.39
2024-12-15 17:45:00,3912.8958731754215,,,3910.41
2024-12-15 18:00:00,3905.2124511346,,,3899.08
2024-12-15 18:15:00,3900.6074346852265,,,3898.9
2024-12-15 18:30:00,3899.2101464834395,,,3900.45
2024-12-15 18:45:00,3897.9330343812876,,,3898.82
2024-12-15 19:00:00,3899.877389669029,,,3902.8
2024-12-15 19:15:00,3905.957706985465,,,3910.86
2024-12-15 19:30:00,3907.431068292239,3903.6525024414063,,3907.23
2024-12-15 19:45:00,3906.1960733679966,3903.5030029296877,,3904.09
2024-12-15 20:00:00,3903.9590767194127,3904.01201171875,,3901.87
2024-12-15 20:15:00,3904.806212833251,3904.2080078125,,3905.71
2024-12-15 20:30:00,3902.9326831060157,3904.4340087890623,,3901.53
2024-12-15 20:45:00,3896.3446143617557,3904.296008300781,,3892.0
2024-12-15 21:00:00,3882.567258261691,3903.2470092773438,,3874.52
2024-12-15 21:15:00,3861.388929629808,3900.96201171875,,3850.8
2024-12-15 21:30:00,3858.402226553861,3898.6800170898437,-0.34591625233439827,3864.85
2024-12-15 21:45:00,3853.48304725536,3895.901013183594,-0.6273281628962664,3856.23
2024-12-15 22:00:00,3857.2330184714738,3893.368017578125,-0.37227313045100685,3865.33
2024-12-15 22:15:00,3867.843472517329,3891.897021484375,0.02404617105127471,3878.07
2024-12-15 22:30:00,3878.06809686685,3890.396520996094,0.08642696319466434,3884.38
