feature,p_value,category
log_ret,0.0,strong_rejection
compression_x_momentum_w100,0.0,strong_rejection
vol_trend_conflict_w100,0.0,strong_rejection
vol_ratio_w100_vs_w400,0.0,strong_rejection
rsi_ratio_w100_vs_w400,0.0,strong_rejection
sma_ratio_w100_vs_w400,0.0,strong_rejection
price_vol_correlation_w100,0.0,strong_rejection
trend_alignment_score_w100,0.0,strong_rejection
bars_since_trend_exhaustion_signal_w100,0.0,strong_rejection
bars_since_breakout_attempt_w100,0.0,strong_rejection
tail_event_flag_w100,0.0,strong_rejection
absorption_x_vol_spike_w100,0.0,strong_rejection
max_adverse_excursion_w100,0.0,strong_rejection
max_runup_w100,0.0,strong_rejection
left_tail_var_ratio_w100,0.0,strong_rejection
downside_semivariance_w100,0.0,strong_rejection
rolling_kurtosis_w100,0.0,strong_rejection
rolling_skewness_w100,0.0,strong_rejection
false_break_rate_w100,0.0,strong_rejection
breakout_follow_through_w100,0.0,strong_rejection
range_expansion_ratio_w100,0.0,strong_rejection
time_weighted_sr_strength_w100,0.0,strong_rejection
touch_count_near_price_w100,0.0,strong_rejection
drawdown_w100,0.0,strong_rejection
body_to_range_w150,0.0,strong_rejection
shadow_asymmetry_w150,0.0,strong_rejection
close_location_value_w150,0.0,strong_rejection
ehlers_fisher_transform_w150,0.0,strong_rejection
donchian_width_w150,0.0,strong_rejection
donchian_position_w150,0.0,strong_rejection
hurst_proxy_w150,0.0,strong_rejection
macd_hist_w150,0.0,strong_rejection
adx_trend_strength_w150,0.0,strong_rejection
adx_w150,0.0,strong_rejection
trend_slope_stability_w150,0.0,strong_rejection
trend_per_vol_w150,0.0,strong_rejection
momentum_decay_w150,0.0,strong_rejection
trend_duration_w150,0.0,strong_rejection
directional_consistency_w150,0.0,strong_rejection
trend_efficiency_ratio_w150,0.0,strong_rejection
bars_since_compression_ended_w150,0.0,strong_rejection
vol_compression_duration_w150,0.0,strong_rejection
bars_since_vol_spike_w150,0.0,strong_rejection
vol_acceleration_w150,0.0,strong_rejection
volatility_trend_slope_w150,0.0,strong_rejection
volatility_zscore_w150,0.0,strong_rejection
volatility_w150,0.0,strong_rejection
parkinson_volatility_w150,0.0,strong_rejection
rogers_satchell_volatility_w150,0.0,strong_rejection
yang_zhang_volatility_w150,0.0,strong_rejection
volume_weighted_rsi_w100,0.0,strong_rejection
aroon_oscillator_w150,0.0,strong_rejection
ease_of_movement_w100,0.0,strong_rejection
obv_slope_w100,0.0,strong_rejection
vol_acceleration_w100,0.0,strong_rejection
volatility_trend_slope_w100,0.0,strong_rejection
volatility_zscore_w100,0.0,strong_rejection
volatility_w100,0.0,strong_rejection
parkinson_volatility_w100,0.0,strong_rejection
rogers_satchell_volatility_w100,0.0,strong_rejection
yang_zhang_volatility_w100,0.0,strong_rejection
close_location_value_w100,0.0,strong_rejection
shadow_asymmetry_w100,0.0,strong_rejection
body_to_range_w100,0.0,strong_rejection
bars_since_vol_spike_w100,0.0,strong_rejection
absorption_x_vol_spike_w50,0.0,strong_rejection
vol_trend_conflict_w50,0.0,strong_rejection
vol_ratio_w50_vs_w200,0.0,strong_rejection
rsi_ratio_w50_vs_w200,0.0,strong_rejection
sma_ratio_w50_vs_w200,0.0,strong_rejection
price_vol_correlation_w50,0.0,strong_rejection
