feature,n,n_finite,n_nan,pct_nan,mean,std,min,p01,p50,p99,max,zero_frac,pearson_target,pearson_meta_prob,spearman_target,spearman_meta_prob,drift_smd,drift_nan_delta
volatility_risk_ratio,15353,15353,0,0.0,1.1531363159173929,0.5311719853945486,0.3089776369839508,0.44237442619224443,1.0435211473930937,3.0289041013576106,4.516513920101216,0.0,,,,,0.48093480965438146,0.0
volatility_1d,15353,15353,0,0.0,0.0034594089477521786,0.001593515956183646,0.0009269329109518525,0.0013271232785767332,0.003130563442179281,0.009086712304072831,0.01354954176030365,0.0,,,,,0.48093480931213,0.0
time_since_last_vol_spike,15353,15353,0,0.0,77.4850517814108,80.058950801425,0.0,0.0,60.0,308.0,1000.0,0.08786556373347229,,,,,0.30227018898227354,0.0
candle_shape,15353,15353,0,0.0,0.0047332736613354,0.0036154211187946453,0.0005936507368460298,0.0011244994727894664,0.003819113364443183,0.01829080834984778,0.09558641165494919,0.0,,,,,0.2995377153390675,0.0
nn_embed_0,15353,15353,0,0.0,0.05265262329789632,0.037143502084156836,0.0005877793882973492,0.017656022012233735,0.04286843165755272,0.21314228832721704,0.5499041080474854,0.0,,,,,0.2737944048711488,0.0
nn_embed_1,15353,15353,0,0.0,0.022431177025661636,0.014300674843576658,0.0,0.0,0.02176997810602188,0.056691495627164835,0.0728532001376152,0.049631993747150396,,,,,0.2714886149577251,0.0
nn_embed_3,15353,15353,0,0.0,0.16493866337046037,0.1387147527751911,0.022564245387911797,0.03689619183540344,0.12473747134208679,0.6782378506660457,1.9064372777938843,0.0,,,,,0.23822976954000652,0.0
nn_embed_4,15353,15353,0,0.0,0.015959279523263543,0.03625535321533707,-0.15002679824829102,-0.05523242712020874,0.01274903118610382,0.11047057092189785,0.1466623842716217,0.0,,,,,0.2116179807654972,0.0
nn_embed_5,15353,15353,0,0.0,0.09073244378631654,0.1463119554952761,-0.5751183032989502,-0.3863875830173492,0.12754960358142853,0.302908182144165,0.3434557616710663,0.0,,,,,0.20130219646885028,0.0
candle_shape_4,15353,15353,0,0.0,0.010759271251747594,0.011067310348386651,0.001112427725895555,0.002620675342456541,0.008114671734554903,0.05101831941256149,0.27452287148677157,0.0,,,,,0.1894906299576436,0.0
permutation_entropy,15353,15353,0,0.0,0.9512972757354544,0.06280697025545934,0.0,0.8463009386615532,0.960995776590008,0.9950775654905186,0.9991182419609461,0.003321826353155735,,,,,0.18599727036993519,0.0
nn_embed_7,15353,15353,0,0.0,0.1859598561392493,0.10001080619567124,0.059591203927993774,0.1102660471200943,0.14454856514930725,0.6141566753387447,0.8571560382843018,0.0,,,,,0.16043306925734024,0.0
nn_embed_2,15353,15353,0,0.0,0.02183150467618809,0.032115693644527724,0.0,0.0002718663960695267,0.016152743250131607,0.1295079761743544,0.630620539188385,0.007816062007425259,,,,,0.1399005339680827,0.0
day_of_week,15353,15353,0,0.0,2.9927701426431317,2.0164147190682975,0.0,0.0,3.0,6.0,6.0,0.15143620139386438,,,,,0.12516123963740616,0.0
nn_embed_6,15353,15353,0,0.0,-0.21197498515408442,0.04886937490587704,-0.28048405051231384,-0.26634483218193056,-0.2235555648803711,-0.0013480752706527847,0.15196210145950317,0.0,,,,,0.11695058803600063,0.0
is_weekend,15353,15353,0,0.0,0.28333224776916566,0.45061633918804783,0.0,0.0,0.0,1.0,1.0,0.7166677522308343,,,,,0.11389374433230931,0.0
choppiness_index,15353,15353,0,0.0,48.27321705951128,10.66582743294516,0.0,17.499339236057022,49.57715774686644,67.79175930972744,97.07806362973777,0.001237543151175666,,,,,0.0759891884526622,0.0
momentum_short,15353,15353,0,0.0,0.010022826532407644,0.01583916709690914,0.0,8.223195996833966e-05,0.005337588023394346,0.08759368658065783,0.21219907701015472,0.0007816062007425259,,,,,0.07438305599795245,0.0
adx_proxy,15353,15353,0,0.0,25.982523021251904,12.43213842691844,0.0,8.071151788318414,23.394873835592712,63.47859085163189,91.76731713110931,0.001693480101608806,,,,,0.07260607404291933,0.0
slope_short,15353,15353,0,0.0,0.010101010261634534,0.016491997725461775,0.0,8.20159912109375e-05,0.0053348541259765625,0.0903871154785156,0.2385096549987793,0.0007816062007425259,,,,,0.06998159400373567,0.0
price_position_in_range,15353,15353,0,0.0,0.539791807909258,0.32451873966127187,0.0,0.0,0.5754524754931422,0.9999999999418822,0.9999999999831246,0.026639744675307758,,,,,0.060164799575083305,0.0
trend_consistency_12,15353,15353,0,0.0,0.5768036648646301,0.3282747151478001,0.0,0.0,0.6666666666666666,1.0,1.0,0.06982348726633231,,,,,0.056133143657841,0.0
momentum_weighted_agreement,15353,15353,0,0.0,0.00014746482229571322,0.026499733574829647,-0.4074108600616455,-0.10752663373947144,0.0013710856437683105,0.05435253143310542,0.2305048704147339,0.00026053540024750864,,,,,0.04952530314160556,0.0
variance_ratio,15353,15353,0,0.0,0.9271397905626186,1.5419806699569893,0.0,0.2252417031926104,0.7330752203242087,4.890266357855151,57.310536046401985,0.004494235654269524,,,,,0.04770211382868118,0.0
time_since_last_large_candle,15353,15353,0,0.0,0.7164723506806487,26.757410525896546,0.0,0.0,0.0,0.0,1000.0,0.9992835276493194,,,,,0.04234199946760126,0.0
momentum_agreement,15353,15353,0,0.0,0.11378883605809939,0.8009679101782515,-1.0,-1.0,0.0,1.0,1.0,0.3442323975770208,,,,,0.03710247014979406,0.0
hour_sin,15353,15353,0,0.0,0.029784948473272232,0.7096332484867884,-1.0,-1.0,1.2246467991473532e-16,1.0,1.0,0.040773790138735104,,,,,0.029058555322048603,0.0
efficiency_ratio,15353,15353,0,0.0,0.30138196176989646,0.22419626593687714,0.0,0.004339658465112217,0.2552252742884427,0.8883098896202113,0.9999999999268256,0.000846740050804403,,,,,0.02235355089573029,0.0
momentum_agreement_abs,15353,15353,0,0.0,0.6549208623721748,0.4749485828765672,0.0,0.0,1.0,1.0,1.0,0.3442323975770208,,,,,0.01947425458851728,0.0
hour_cos,15353,15353,0,0.0,-0.0031134713734378553,0.7039345252099367,-1.0,-1.0,6.123233995736766e-17,1.0,1.0,0.0,,,,,0.006024521233748011,0.0
vol_at_signal,15353,15353,0,0.0,1.0460944509712273,1.0610654243770865,0.07680735601085409,0.19521307338509003,0.7497453543873207,5.298989558540784,25.924698363994565,0.0,,,,,0.005432602736893472,0.0
snr,15353,15353,0,0.0,0.7130515630061633,0.5417480371867307,0.0,0.010704575601139398,0.6192411584900505,2.365641480847387,4.363720459772239,0.0007816062007425259,,,,,0.0027966941584540556,0.0
ensemble_prob,15353,15353,0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,,,,,0.0,0.0
max_base_prob,15353,15353,0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,,,,,0.0,0.0
min_base_prob,15353,15353,0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,,,,,0.0,0.0
base_prob_range,15353,15353,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0
logit_prob,15353,15353,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0
logit_momentum_5,15353,15353,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0
logit_momentum_1,15353,15353,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0
ens_prediction_dispersion,15353,15353,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0
ens_confidence_gap,15353,15353,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0
ens_uncertainty,15353,15353,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0
ens_prediction_range,15353,15353,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0
ens_avg_divergence,15353,15353,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0
ens_max_confidence,15353,15353,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0
ens_disagreement_rate,15353,15353,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0
ens_snr_internal,15353,15353,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0
ens_snr_consensus,15353,15353,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0
