family,params,pt_mult,sl_mult,horizon,risk_budget,status,n,pos_rate,min_p,max_mi,signals_per_day,target_signals_per_day,adaptive_used
CAUSAL_SURPRISE,"{'params': (1.5, 'all')}",1.5,0.75,16,0.4,PASS,58,0.7586206896551724,0.045091004780325294,0.10905588676849298,0.36,7.5,False
CAUSAL_SURPRISE,"{'params': (1.5, 'all')}",1.5,0.75,16,0.7,PASS,58,0.8103448275862069,0.06113646684598508,0.07813981935999603,0.36,7.5,False
CAUSAL_SURPRISE,"{'params': (1.5, 'all')}",1.5,0.75,16,1.0,PASS,58,0.8620689655172413,0.046088108582306164,0.06652851976916319,0.36,7.5,False
CAUSAL_SURPRISE,"{'params': (1.5, 'all')}",1.5,0.75,24,0.4,PASS,58,0.7586206896551724,0.045091004780325294,0.10905588676849298,0.36,7.5,False
CAUSAL_SURPRISE,"{'params': (1.5, 'all')}",1.5,0.75,24,0.7,PASS,58,0.8103448275862069,0.06113646684598508,0.07813981935999603,0.36,7.5,False
CAUSAL_SURPRISE,"{'params': (1.5, 'all')}",1.5,0.75,24,1.0,PASS,58,0.8620689655172413,0.046088108582306164,0.06652851976916319,0.36,7.5,False
CAUSAL_SURPRISE,"{'params': (1.5, 'all')}",1.5,0.75,48,0.4,PASS,58,0.7413793103448276,0.06215646743152836,0.12174929800917544,0.36,7.5,False
CAUSAL_SURPRISE,"{'params': (1.5, 'all')}",1.5,0.75,48,0.7,PASS,58,0.7758620689655172,0.05154880383464439,0.13006288297700852,0.36,7.5,False
CAUSAL_SURPRISE,"{'params': (1.5, 'all')}",1.5,0.75,48,1.0,PASS,58,0.8103448275862069,0.06296343567994854,0.0854898379700102,0.36,7.5,False
CAUSAL_SURPRISE,"{'params': (1.5, 'all')}",1.5,0.5,16,0.4,PASS,58,0.8620689655172413,0.06614129825049836,0.05316342985748079,0.36,7.5,False
CAUSAL_SURPRISE,"{'params': (1.5, 'all')}",1.5,0.5,16,0.7,PASS,58,0.8620689655172413,0.06614129825049836,0.05316342985748079,0.36,7.5,False
CAUSAL_SURPRISE,"{'params': (1.5, 'all')}",1.5,0.5,16,1.0,PASS,58,0.896551724137931,0.07184399817856983,0.05842718055044216,0.36,7.5,False
CAUSAL_SURPRISE,"{'params': (1.5, 'all')}",1.5,0.5,24,0.4,PASS,58,0.8620689655172413,0.06614129825049836,0.05316342985748079,0.36,7.5,False
CAUSAL_SURPRISE,"{'params': (1.5, 'all')}",1.5,0.5,24,0.7,PASS,58,0.8620689655172413,0.06614129825049836,0.05316342985748079,0.36,7.5,False
CAUSAL_SURPRISE,"{'params': (1.5, 'all')}",1.5,0.5,24,1.0,PASS,58,0.896551724137931,0.07184399817856983,0.05842718055044216,0.36,7.5,False
CAUSAL_SURPRISE,"{'params': (1.5, 'all')}",1.5,0.5,48,0.4,PASS,58,0.8448275862068966,0.03244934731683157,0.09859199238874883,0.36,7.5,False
CAUSAL_SURPRISE,"{'params': (1.5, 'all')}",1.5,0.5,48,0.7,PASS,58,0.8448275862068966,0.03244934731683157,0.09859199238874883,0.36,7.5,False
CAUSAL_SURPRISE,"{'params': (1.5, 'all')}",1.5,0.5,48,1.0,PASS,58,0.8793103448275862,0.04303602308203626,0.10439453168538382,0.36,7.5,False
CAUSAL_SURPRISE,"{'params': (1.5, 'all')}",2.0,0.8,16,0.4,PASS,58,0.7931034482758621,0.042874669383153846,0.06860230864954353,0.36,7.5,False
CAUSAL_SURPRISE,"{'params': (1.5, 'all')}",2.0,0.8,16,0.7,PASS,58,0.8620689655172413,0.10397861954484597,0.048308788731872276,0.36,7.5,False
CAUSAL_SURPRISE,"{'params': (1.5, 'all')}",2.0,0.8,16,1.0,PASS,58,0.896551724137931,0.04656372364188511,0.025965568251099302,0.36,7.5,False
CAUSAL_SURPRISE,"{'params': (1.5, 'all')}",2.0,0.8,24,0.4,PASS,58,0.7931034482758621,0.042874669383153846,0.06860230864954353,0.36,7.5,False
