p_min,n_prob_ge_pmin,gate_n_eval,gate_auc,gate_ece,gate_avg_pnl,gate_total_pnl,gate_profit_factor,gate_win_rate,n_trades,avg_trade_pnl,total_pnl,profit_factor,win_rate
0.2,30585,30585,,,0.0,0.0,,0.0,30585,0.0,0.0,,0.0
0.25,30585,30585,,,0.0,0.0,,0.0,30585,0.0,0.0,,0.0
0.3,30585,30585,,,0.0,0.0,,0.0,30585,0.0,0.0,,0.0
0.35,30585,30585,,,0.0,0.0,,0.0,30585,0.0,0.0,,0.0
0.4,30585,30585,,,0.0,0.0,,0.0,30585,0.0,0.0,,0.0
0.45,30585,30585,,,0.0,0.0,,0.0,30585,0.0,0.0,,0.0
0.5,30585,30585,,,0.0,0.0,,0.0,0,,0.0,,
0.55,0,0,,,,0.0,,,0,,0.0,,
0.6,0,0,,,,0.0,,,0,,0.0,,
