slice,n,auc,pr_auc,ece
rolling_decile_0,702,0.46102771051923597,0.22629652142737355,0.17346011367506609
rolling_decile_1,702,0.39918276289880145,0.20136528002722845,0.20223842536350764
rolling_decile_2,702,0.6108160437686514,0.42613608797731783,0.03709408523549007
rolling_decile_3,702,0.5344047516939703,0.30387695293073735,0.11225388425518122
rolling_decile_4,703,0.5383663142676425,0.353634363773737,0.08025966924923104
rolling_decile_5,702,0.4996009810028028,0.2802495114353965,0.07655314089296691
rolling_decile_6,702,0.588700895377914,0.3403811216633169,0.08568709226768718
rolling_decile_7,702,0.5470519864750634,0.2999214302296882,0.10704729159866505
rolling_decile_8,702,0.51862345380416,0.28365020155148524,0.08397559003723387
rolling_decile_9,703,0.5041277703689592,0.30658458852015,0.13531890813824018
trend_regime=High,3259,0.5212764462399542,0.2930787627776305,0.10776587288230836
trend_regime=Low,3763,0.5241742440526997,0.2960222859278788,0.09932836444286791
vol_regime=High,1783,0.49327938643528,0.26285488930655676,0.1590573514963052
vol_regime=Low,5239,0.5372584134397316,0.31224481675563953,0.0821874992190587
