metric,scope,regime,n_samples,wcov_between,wcov_within,wcov_ratio,mean,std
parkinson_volatility,GLOBAL,ALL,104508,2.3043756981025636,1.4861257497617764,1.5505926621391393,0.008341657204794569,1.2290647933991112
parkinson_volatility,REGIME,0,33853,,,,0.24508772099290133,0.70002271946283
parkinson_volatility,REGIME,1,53815,,,,-0.7145246806550697,0.5679811123500206
parkinson_volatility,REGIME,2,16840,,,,1.8424561153110783,1.4873352746685502
rolling_kurtosis,GLOBAL,ALL,104508,2.151375993203917,3.2689838627779513,0.6581176527419508,0.03291133104725435,1.1396884239540297
rolling_kurtosis,REGIME,0,33853,,,,0.13232950457223916,0.9639952008296453
rolling_kurtosis,REGIME,1,53815,,,,-0.43770199104437785,0.5597371494824918
rolling_kurtosis,REGIME,2,16840,,,,1.3369762063453468,1.662308151666583
rolling_skewness,GLOBAL,ALL,104508,4.436613519364483,24.971519762070844,0.17766694057309923,-7.308353146391963e-05,1.0887036965503223
rolling_skewness,REGIME,0,33853,,,,0.0959791997924738,1.118114305568972
rolling_skewness,REGIME,1,53815,,,,-0.013233672011862256,0.6773026949400381
rolling_skewness,REGIME,2,16840,,,,-0.1511075774918337,1.8261045294265783
volatility_of_volatility,GLOBAL,ALL,104508,2.260899032540051,0.8976631451745692,2.518649695609231,0.023576858242099735,1.2191211821806431
volatility_of_volatility,REGIME,0,33853,,,,0.22981383548112946,0.36410633891123906
volatility_of_volatility,REGIME,1,53815,,,,-0.7699490340897217,0.3499651485937763
volatility_of_volatility,REGIME,2,16840,,,,2.144827185163958,1.40294390941922
risk_score,GLOBAL,ALL,104508,,,,,
risk_score,REGIME,0,33853,,,,,
risk_score,REGIME,1,53815,,,,,
risk_score,REGIME,2,16840,,,,,
